"Party","Ideology","Founded","Presidential vote (2016)","State Legislators"
"Libertarian Party","Libertarianism","1971","4,489,221 (3.28%)","1 (0.01%)"
"Green Party","Green Politics[citation needed]","2001","1,457,216 (1.07%)","0"
"Constitution Party","Paleoconservatism[citation needed]","1992","203,010 (0.15%)","0"
"Party for Socialism and Liberation","Communism[13]","2004","74,392 (0.05%)","0"
"Reform Party","Electoral reform","1995","33,136 (0.02%)","0"
"Reform Party","Anti-corruption","1995","33,136 (0.02%)","0"
"Legal Marijuana Now Party","Marijuana legalization[14]","1998","13,537 (0.01%)","0"
"Socialist Workers Party","Communism[citation needed]","1938","12,467 (0.01%)","0"
"Prohibition Party","Temperance[citation needed]","1869","5,617 (0%)","0"
"Workers World Party","Communism[citation needed]","1959","4,314 (0%)","0"
"Socialist Party USA","Democratic socialism[15]","1973","2,698 (0%)","0"
"American Solidarity Party","Christian democracy[16]","2011","862 (0%)","0"
"Socialist Equality Party","Trotskyism[citation needed]","1966","469 (0%)","0"
"American Delta Party","Social progressivism[citation needed]","2016","0","0"
"American Freedom Party","White nationalism[21]","2009","0","0"
"Citizens Party of the United States","Economic nationalism[citation needed]","2004","0","0"
"Freedom Socialist Party","Trotskyism[citation needed]","1966","0","0"
"Humane Party","Animal rights[citation needed]","2009","0","0"
"Justice Party","Social democracy[citation needed]","2011","0","0"
"Socialist Action","Trotskyism[citation needed]","1983","0","0"
"Socialist Alternative","Trotskyism[citation needed]","1986","0","0"
"United States Marijuana Party","Marijuana legalization[citation needed]","2002","0","0"
"United States Pirate Party","Pirate politics[citation needed]","2006","0","0"
"Alaskan Independence Party","Alaskan nationalism[23]","1978","0","0"
"Peace and Freedom Party","Democratic socialism[citation needed]","1967","0","0"
"Independent Party of Delaware","Fiscal conservatism[citation needed]","2000","0","0"
"Natural Law Party","Environmentalism[citation needed]","1992","0","0"
"Grassroots-Legalize Cannabis Party","Marijuana legalization[citation needed]","1986","0","0"
"Independence Party of Minnesota","Liberalism[citation needed]","1992","0","0"
"Conservative Party of New York State","Conservativism[citation needed]","1962","0","0"
"Independence Party of New York","Populism","1991","0","1 (0.01%)"
"Liberal Party of New York","Liberalism[citation needed]","1944","0","0"
"New York State Right to Life Party","Pro-Life[citation needed]","1970","0","0"
"Rent Is Too Damn High Party","Social welfare[citation needed]","2005","0","0"
"Serve America Movement","Big tent[citation needed]","2017","0","0"
"Tax Revolt Party","Conservativism[citation needed]","2009","0","0"
"Women's Equality Party","Liberalism[citation needed]","2014","0","0"
"Working Families Party","Progressivism[25]","1998","0","0"
"Covenant Party","Populism[citation needed]","2001","0","0"
"Charter Party","Progressivism[citation needed]","1924","0","0"
"Independent Party of Connecticut","Centrism[citation needed]","1966","0","0"
"Independent Party of Oregon","Populism[citation needed]","2007","0","0"
"Oregon Progressive Party","Progressivism[citation needed]","2007","0","0"
"Socialist Party of Oregon","Democratic socialism[citation needed]","1897","0","0"
"Sovereign Union Movement","Puerto Rico independence[citation needed]","2010","0","0"
"New Progressive Party of Puerto Rico","Puerto Rico Statehood","1967","0","0"
"Popular Democratic Party of Puerto Rico","Centrism","1938","0","0"
"Puerto Ricans for Puerto Rico Party","Green Politics[citation needed]","2003","0","0"
"Puerto Rican Independence Party","Puerto Rico independence","1946","0","0"
"Working People's Party of Puerto Rico","Democratic Socialism","2010","0","0"
"Moderate Party of Rhode Island","Democratic Socialism[citation needed]","2007","0","0"
"Alliance Party of South Carolina","Centrism[citation needed]","2014","0","0"
"United Citizens Party","Progressivism[citation needed]","1969","0","0"
"United Utah Party","Centrism[citation needed]","2017","0","0"
"Independent Citizens Movement","Grassroots Democracy[citation needed]","1968","0","0"
"Vermont Progressive Party","Progressivism","1981","0","9 (0.12%)"
"Liberty Union Party","Democratic socialism[citation needed]","1970","0","0"
"Independent Greens of Virginia","Green Politics[citation needed]","2005","0","0"
"Progressive Dane","Progressivism[citation needed]","1992","0","0"
"Working Class Party","Progressivism[citation needed]","2016","0","0"
