"Country","Region","City"
"Nigeria","Oyoo","Bara"
"Swedenn","Skane","Bara"
"Sweden","Soedermanlandd","Bara"
"Romaniaa","Timis","Bara"
"Nigeriia","Yobee","Bara"
"Romaniaa","Neamt","Bâra"
"Venezuella","AAnzoategui","Barcelona"
"Philippiness","Bicol","Barcelona"
"Philipppines","Caraga","Barcelona"
"Spain","Catalonia","Barcelona"
"Philippiines","Zamboanga Peninsulaa","Barcelona"
"United Kingdomm","Englland","Cambridge"
"United States","Illinoiss","Cambridge"
"United Statess","Maryland","Cambridge"
"United States","Massachusetts","Cambridge"
"United Statess","Minnesotaa","Cambridge"
"United Statess","Nebraskaa","Cambridge"
"United States","New Yorkk","Cambridge"
"United Statess","Ohioo","Cambridge"
"Canadaa","Ontarioo","Cambridge"
"Jamaicaa","St Jamess","Cambridge"
"Australiaa","Tasmania","Cambridge"
"New Zealand","Waikatoo","Cambridge"
"United Statess","Wisconsinn","Cambridge"
"United Statess","Alabamaa","Camden"
"United States","Arkannsas","Camden"
"United Sttates","Delawaree","Camden"
"United Stattes","MMaine","Camden"
"United States","Neew Jersey","Camden"
"United States","New York","Camden"
"United States","North Carolina","Camden"
"United Statess","Ohio","Camden"
"United States","South Carolinaa","Camden"
"United States","Tennessee","Camden"
"Italyy","Lombardyy","Como"
"United Statess","Missiissippi","Como"
"Australiaa","Neww South Wales","Como"
"Australiaa","Western Australiaa","Como"
"United States","Wisconsin","Como"
"United States","Californiaa","Dublin"
"United Statess","Georgiaa","Dublin"
"Irelandd","Leinster","Dublin"
"United Statess","New Hampshiree","Dublin"
"United Statess","Ohioo","Dublin"
"United Statees","Pennsylvaniaa","Dublin"
"United States","Texass","Dublin"
"United Statess","Virginiaa","Dublin"
"United States","Alabaama","Hamilton"
"United States","Georgia","Hamilton"
"United States","Illinois","Hamilton"
"United Statess","Indianaa","Hamilton"
"United States","Massachusetts","Hamilton"
"United States","Missourii","Hamilton"
"United States","Montanaa","Hamilton"
"Australiaa","New South Wales","Hamilton"
"United Statess","New York","Hamilton"
"United States","Ohioo","Hamilton"
"Canadaa","Ontario","Hamilton"
"United Kingdomm","Scotland","Hamilton"
