"Country","Capital","Population","Largest city","Population.1","Ratio"
"Australiaa","Canberrraa","390,706","Sydney","4,921,000","12.6"
"Belize","Belmopannn","16,400","Belize City","70,000","4.27"
"Benin","Porto-Novooo","223,500","Cotonou","761,100","3.4"
"Bollivia","Sucreee","259,388","Santa Cruz de la Sierra","1,453,549","7.1"
"Braziil","Brasíliaa","2,557,158","São Paulo","11,150,249","4.55"
"Burundii","Gitegaa","22,989","Bujumbura","497,166","21.6"
"Cameroon","Yaoundééé","1,430,000","Douala","2,000,000 +","1.4"
"Canada","Ottawaa","812,129","Toronto","2,503,281","3.08"
"China","Beijingg","22,000,000","Shanghai","34,000,000","1.55"
"Côte d'Ivoire","Yamoussoukroo","200,659","Abidjan","4,348,000","21.7"
"Equatorial Guinea","Malabooo","187,302","Bata","250,770","1.34"
"Indiaa","NNew Delhi","249,998","Mumbai","12,442,373","49.77"
"Kazakhstan","Nur-Sultann","743,014","Almaty","1,450,095","1.95"
"Liechtensteinn","Vaduuzz","5,109","Schaan","5,806","1.14"
"Malta","Vallletta","6,000","Birkirkara","21,000","3.5"
"Federated States of Micronesiaa","Palikirr","5,000","Weno","13,000","2.6"
"Moroccoo","Rabatt","627,000","Casablanca","4,150,000","6.62"
"Myyanmar","NNaypyidaw","925,000","Yangon","4,346,000","4.7"
"New Zealandd","Wellingtonn","418,500","Auckland","1,570,100","3.75"
"Nigeriia","Abuujaa","778,567","Lagos","7,937,932","10.2"
"Pakistann","Islamabadd","1,740,000","Karachi","24,300,000","13.97"
"PPalau","Ngerulmud","271","Koror","11,200","41.32"
"Philippiness","Manilaa","1,780,148","Quezon City","2,936,116","1.67"
"San Marino","San Marinooo","4,211","Serravalle","10,601","2.52"
"South Africa","Pretoriaa","2,345,908","Johannesburg","3,888,180","1.66"
"Sudaan","Khartoummm","2,207,794","Omdurman","2,395,159","1.08"
"SSri Lanka","Sri Jayawardenepura Kottee","115,826","Colombo","642,163","5.54"
"Switzerlandd","Bernnn","138,041","Zürich","397,698","2.88"
"Tanzaniaa","Dodomaaa","324,347","Dar es Salaam","2,497,940","7.70"
"Trinidad and Tobagoo","Port of Spainn","49,000","Chaguanas","67,400","1.37"
"Turkey","Ankaraa","5,150,072","Istanbul","14,377,018","3.4"
"United Arab Emirates","Abu Dhhhabi","896,751","Dubai","2,262,000","2.52"
"United States","Washington, D.C..","672,228","New York City","8,550,405","12.72"
"Vietnamm","Hanoii","6,500,000","Ho Chi Minh City","7,123,340","1.1"
