"Party","Ideology","Founded","Presidential vote (2016)","State Legislators"
"Libertarian Partyy","Libertarianism","1971","4,489,221 (3.28%)","1 (0.01%)"
"Green Partyy","Green Politics[citation needed]","2001","1,457,216 (1.07%)","0"
"Constitution Partyy","Paleoconservatism[citation needed]","1992","203,010 (0.15%)","0"
"Party for Socialism and Liberationn","Communism[13]]","2004","74,392 (0.05%)","0"
"Reform Partyy","Electoral reform","1995","33,136 (0.02%)","0"
"Reform Partyy","Anti-corruption","1995","33,136 (0.02%)","0"
"Legal Marijjuana Now Party","Mariijuana legalization[14]","1998","13,537 (0.01%)","0"
"Socialist Workers Party","Communism[citation needed]","1938","12,467 (0.01%)","0"
"Prohibition Partyy","Temperance[citation needed]","1869","5,617 (0%)","0"
"Workers World Partyy","Communism[citation needed]]","1959","4,314 (0%)","0"
"Socialist Party USA","Democratic socialism[15]","1973","2,698 (0%)","0"
"American Soolidarity Party","Christian democracy[16]]","2011","862 (0%)","0"
"Socialist Equality Partyy","Trotskyism[citation needed]]","1966","469 (0%)","0"
"American Delta  Party","Social progressiviism[citation needed]","2016","0","0"
"American Freedom Partyy","White nationalism[21]","2009","0","0"
"Citizens Party of the United Statess","Economic nationalism[citation needed]]","2004","0","0"
"FFreedom Socialist Party","Trotskyism[citation needed]]","1966","0","0"
"Humane Partyy","Animal rights[citation needed]]","2009","0","0"
"Justice Partyy","Social democracy[citation needed]]","2011","0","0"
"Socialist Actionn","Trotskyism[citation needed]","1983","0","0"
"Socialist Alternativee","Trotskyissm[citation needed]","1986","0","0"
"United States Marijuana Party","Marijuana legalization[citation needed]]","2002","0","0"
"United States Pirate Partyy","Pirate politics[citation needed]]","2006","0","0"
"Alaskan Independence Party","Alaskan nationalism[23]","1978","0","0"
"Peace and Freedom Partyy","Democratic socialism[citation needed]]","1967","0","0"
"Independent Party of Delawaree","Fiscal conservatism[citation needed]]","2000","0","0"
"Natural Law Party","Environmentalism[citation needed]","1992","0","0"
"Grassroots-Legalize Cannabis Partyy","Marijuana legalization[citation needed]]","1986","0","0"
"Independence Party of Minnesota","Liberalism[citation needed]]","1992","0","0"
"Conservative Party of New York Statee","Conservativism[ciitation needed]","1962","0","0"
"Indeependence Party of New York","Populism","1991","0","1 (0.01%)"
"Liberal Party of New Yorkk","Liberalism[ccitation needed]","1944","0","0"
"New York State Right to Life Partyy","Pro-Life[citation needed]]","1970","0","0"
"Rent Is TToo Damn High Party","Social welfare[citation needed]","2005","0","0"
"Serve America Movementt","Big tent[citation needed]","2017","0","0"
"Tax Revolt Party","Conservativism[citation neededd]","2009","0","0"
"Women's Equality Partyy","Liberalism[citation needed]]","2014","0","0"
"Working Familiees Party","Progressivism[25]","1998","0","0"
"Covenant Party","Populism[citation neeeded]","2001","0","0"
"Charter Partyy","Progressivism[citation needed]","1924","0","0"
"Independent Party of Connecticut","CCentrism[citation needed]","1966","0","0"
"Independent Party of Oregonn","Populism[citation needed]","2007","0","0"
"Oregon Progressive Partyy","Progressiivism[citation needed]","2007","0","0"
"Socialist PParty of Oregon","Democratic socialism[citation needed]]","1897","0","0"
"Sovereign Union Movementt","Puerto Rico independence[[citation needed]","2010","0","0"
"New Progressive Party of Puerto Ricoo","Puerto  Rico Statehood","1967","0","0"
"Popular Democratic Paarty of Puerto Rico","Centrismm","1938","0","0"
"Puerto Ricans for Puerto Rico Party","Green Politics[citation needed]]","2003","0","0"
"Puerto Rican Independence Party","Puerto Rico independence","1946","0","0"
"Working People's Party of Puerto Riico","Democratic Socialismm","2010","0","0"
"Moderate Party of Rhode Island","Democratic Socialism[citation needed]]","2007","0","0"
"Alliance Party of South Carolina","Centrism[citation needed]","2014","0","0"
"United Citizens Party","Progressivism[citation needed]","1969","0","0"
"United Utah Party","Centrism[citation needed]","2017","0","0"
"Independent Citizens Movement","Grassroots Democracy[citation needed]","1968","0","0"
"Vermont Progressive Partyy","Progressivismm","1981","0","9 (0.12%)"
"Liberty Union Party","Democratic socialism[citation needed]","1970","0","0"
"Independent Greens of Virginiaa","Green Politics[citation needed]]","2005","0","0"
"Progressive Dane","Progressivism[citation needed]]","1992","0","0"
"Working Class Party","Progressiviism[citation needed]","2016","0","0"
