"Party","Ideology","Founded","Presidential vote (2016)","State Legislators"
"Libertarian Party","Libertarianism","1971","4,489,221 (3.28%)","1 (0.01%)"
"Green Party","Green Politics","2001","1,457,216 (1.07%)","0"
"Constitution Party","Paleoconservatism","1992","203,010 (0.15%)","0"
"Party for Socialism and Liberation","Communism","2004","74,392 (0.05%)","0"
"Reform Party","Electoral reform","1995","33,136 (0.02%)","0"
"Reform Party","Anti-corruption","1995","33,136 (0.02%)","0"
"Legal Marijuana Now Party","Marijuana legalization","1998","13,537 (0.01%)","0"
"Socialist Workers Party","Communism","1938","12,467 (0.01%)","0"
"Prohibition Party","Temperance","1869","5,617 (0%)","0"
"Workers World Party","Communism","1959","4,314 (0%)","0"
"Socialist Party USA","Democratic socialism","1973","2,698 (0%)","0"
"American Solidarity Party","Christian democracy","2011","862 (0%)","0"
"Socialist Equality Party","Trotskyism","1966","469 (0%)","0"
"American Delta Party","Social progressivism","2016","0","0"
"American Freedom Party","White nationalism","2009","0","0"
"Citizens Party of the United States","Economic nationalism","2004","0","0"
"Freedom Socialist Party","Trotskyism","1966","0","0"
"Humane Party","Animal rights","2009","0","0"
"Justice Party","Social democracy","2011","0","0"
"Socialist Action","Trotskyism","1983","0","0"
"Socialist Alternative","Trotskyism","1986","0","0"
"United States Marijuana Party","Marijuana legalization","2002","0","0"
"United States Pirate Party","Pirate politics","2006","0","0"
"Alaskan Independence Party","Alaskan nationalism","1978","0","0"
"Peace and Freedom Party","Democratic socialism","1967","0","0"
"Independent Party of Delaware","Fiscal conservatism","2000","0","0"
"Natural Law Party","Environmentalism","1992","0","0"
"Grassroots-Legalize Cannabis Party","Marijuana legalization","1986","0","0"
"Independence Party of Minnesota","Liberalism","1992","0","0"
"Conservative Party of New York State","Conservativism","1962","0","0"
"Independence Party of New York","Populism","1991","0","1 (0.01%)"
"Liberal Party of New York","Liberalism","1944","0","0"
"New York State Right to Life Party","Pro-Life","1970","0","0"
"Rent Is Too Damn High Party","Social welfare","2005","0","0"
"Serve America Movement","Big tent","2017","0","0"
"Tax Revolt Party","Conservativism","2009","0","0"
"Women's Equality Party","Liberalism","2014","0","0"
"Working Families Party","Progressivism","1998","0","0"
"Covenant Party","Populism","2001","0","0"
"Charter Party","Progressivism","1924","0","0"
"Independent Party of Connecticut","Centrism","1966","0","0"
"Independent Party of Oregon","Populism","2007","0","0"
"Oregon Progressive Party","Progressivism","2007","0","0"
"Socialist Party of Oregon","Democratic socialism","1897","0","0"
"Sovereign Union Movement","Puerto Rico independence","2010","0","0"
"New Progressive Party of Puerto Rico","Puerto Rico Statehood","1967","0","0"
"Popular Democratic Party of Puerto Rico","Centrism","1938","0","0"
"Puerto Ricans for Puerto Rico Party","Green Politics","2003","0","0"
"Puerto Rican Independence Party","Puerto Rico independence","1946","0","0"
"Working People's Party of Puerto Rico","Democratic Socialism","2010","0","0"
"Moderate Party of Rhode Island","Centrism","2007","0","0"
"Alliance Party of South Carolina","Centrism","2014","0","0"
"United Citizens Party","Progressivism","1969","0","0"
"United Utah Party","Centrism","2017","0","0"
"Independent Citizens Movement","Grassroots Democracy","1968","0","0"
"Vermont Progressive Party","Progressivism","1981","0","9 (0.12%)"
"Liberty Union Party","Democratic socialism","1970","0","0"
"Independent Greens of Virginia","Green Politics","2005","0","0"
"Progressive Dane","Progressivism","1992","0","0"
"Working Class Party","Progressivism","2016","0","0"
