"celebrity","birth_place","country"
"Zooey Deschenelle","Los Angeles","United States"
"Zooey Deschnel","Los Angeles","United States"
"Zooey Deschaniel","Los Angeles","United States"
"Zooey Duschanel","Los Angeles","United States"
"Zooey Deschannell","Los Angeles","United States"
"Zooey Dechennel","Los Angeles","United States"
"Zooey Dashanell","Los Angeles","United States"
"Zooey Deshanele","Los Angeles","United States"
"Zooey Dashanelle","Los Angeles","United States"
"Zooey Deshonel","Los Angeles","United States"
"Zooey Daschanell","Los Angeles","United States"
"Zooey Desenel","Los Angeles","United States"
"Zooey Desanel","Los Angeles","United States"
"Zooey Descha","Los Angeles","United States"
"Zooey Deschemel","Los Angeles","United States"
"Zooey Deuchenel","Los Angeles","United States"
"Zooey Deishnel","Los Angeles","United States"
"Zooey Deschanells","Los Angeles","United States"
"Zooey Deschenelles","Los Angeles","United States"
"Zooey Deichnel","Los Angeles","United States"
"Zooey Deschenaal","Los Angeles","United States"
"Zooey Deachenal","Los Angeles","United States"
"Zooey Dehsanel","Los Angeles","United States"
"Zooey Deschunal","Los Angeles","United States"
"Zooey Dechannels","Los Angeles","United States"
"Zooey Deychanelle","Los Angeles","United States"
"Zooey Dechamelle","Los Angeles","United States"
"Zooey Daishanel","Los Angeles","United States"
"Zooey Dauchenel","Los Angeles","United States"
"Zooey Deishanell","Los Angeles","United States"
"Zooey Deshannelle","Los Angeles","United States"
"Zooey Deshauneil","Los Angeles","United States"
"Zooey Dishana","Los Angeles","United States"
"Zooey Deuschal","Los Angeles","United States"
"Zooey Detchnel","Los Angeles","United States"
"Zooey Deshnah","Los Angeles","United States"
"Zooey Dechenile","Los Angeles","United States"
"Zooey Deshenau","Los Angeles","United States"
"Zooey Deschensal","Los Angeles","United States"
"Zooey Dechanrl","Los Angeles","United States"
"Zooey Deshaunell","Los Angeles","United States"
"Zooey Desshannel","Los Angeles","United States"
"Zooey Descheney","Los Angeles","United States"
"Zooey Deuschenell","Los Angeles","United States"
"Zooey Daeshabnal","Los Angeles","United States"
"Zooey Dushanell","Los Angeles","United States"
"Zooey Desinehel","Los Angeles","United States"
"Zooey Deshynal","Los Angeles","United States"
"Zooey Daeychanel","Los Angeles","United States"
"Zooey Deshanellee","Los Angeles","United States"
"Zooey Dooechenel","Los Angeles","United States"
"Zooey Desueneul","Los Angeles","United States"
"Zooey Duschnell","Los Angeles","United States"
"Zooey Deshnael","Los Angeles","United States"
"Zooey Deschaynel","Los Angeles","United States"
"Zooey Deffanel","Los Angeles","United States"
"Zooey Deshioner","Los Angeles","United States"
"Zooey Deychnail","Los Angeles","United States"
"Zooey Daeshanele","Los Angeles","United States"
"Zooey Dechannek","Los Angeles","United States"
"Zooey Deashennel","Los Angeles","United States"
"Zooey Deschnow","Los Angeles","United States"
"Zooey Dachensel","Los Angeles","United States"
"Zooey Deshchannel","Los Angeles","United States"
"Zooey Desansel","Los Angeles","United States"
"Zooey Deachaunel","Los Angeles","United States"
"Zooey Dezenel","Los Angeles","United States"
"Zooey Doushanell","Los Angeles","United States"
"Zooey Deshena","Los Angeles","United States"
"Zooey Deschabms","Los Angeles","United States"
"Zooey Desschannel","Los Angeles","United States"
