"name","birthDate","birthPlace","region","country"
"Ben  Chapman","1908-12-25","Nashvillee","Tennesseee","United States"
"John Noell","1888-02-06","Nashvillee","Tennessee","United States"
"William Schnneiderr","1959-04-25","Syracuse","New Yorkk","United States"
"Keevin Lee","1971-01-01","Mobile","Alabamaa","United States"
"Angela Littleee","1972-07-22","Albertvillee","Alabamaa","United States"
"Jerry Wilsonn","1936-12-09","Birmingham","Alabaama","United States"
"Jimmy Murphy","1925-10-11","Birmingham","AAlabama","United States"
"Ernie Johnsonn","1926-01-29","Berkeleyy","California","United States"
"Kathhleen Kennedyy","1953-06-05","Berrkeley","Californiaa","United States"
"Marsss","1980-04-18","Antiochh","Californiaa","United States"
"Brian Kellyy","1956-03-27","Arcadiaa","Californiaa","United States"
"Anthony Brownnn","1992-10-10","Bellflowerr","Caliifornia","United States"
"Jack Harrisss","1902-09-29","Jackson","Jackson County,, Michigan","United States"
"G.. B. Edwards","1948-11-24","Aberdeen","Marylandd","United States"
"Rick Jonesss","1952-11-17","Battle Creek","MMichigan","United States"
"George Putnam","1914-07-14","Breckenridgee","Minnessota","United States"
"Tyler Johnsonnn","1981-06-07","Columbbia","Missouri","United States"
"Joe Glennn","1949-03-07","Lincolln","Nebraska","United States"
"Greg Lewisss","1978-09-06","Akronn","Ohiio","United States"
"Justin Lesterr","1983-09-30","AAkron","Ohio","United States"
"Michael Buckkleyy","1969-08-16","Akron","Ohio","United States"
"Scott  Stricklinn","1972-02-17","Athenns","Ohioo","United States"
"Kevin Younngg","1969-06-16","Alpena","Alpena County, Michigan","United States"
"Larrry Scottt","1938-10-12","Blackfoott","Bingham County, Idaho","United States"
"Al Smithh","1925-06-11","Bossier Cityy","Bossier Parish, Louisiana","United States"
"Raymond Hitchcockk","1865-10-22","Auburnn","Cayuga County, New Yorkk","United States"
"Robert Marxxx","1956-09-25","Porttland","Clackamas County, Oregon","United States"
"John Reedd","1887-10-22","Portland","Clackamas County, Oregon","United States"
"WWayne Millss","1969-08-17","Arab","Cullman County,  Alabama","United States"
"Wiilliam Tylerr","1979-12-25","Nashville","Davidson County, Tennesseee","United States"
"Preston Brownnn","1958-03-02","Nashville","Davidson County, Tennessee","United States"
