"country","capital","most_populated_city","maxPop"
"Poland","Capital City of Warsawww","Korzeniew","1000000000000000"
"Poland","Miasto  stołeczne Warszawaa","Korzeniew","1000000000000000"
"Poland","Warszawa","Korzeniew","1000000000000000"
"Poland","Warssaww","Korzeniew","1000000000000000"
"United Kingdom","Londonnn","Cwmffrwd","739474738293874"
"Romania","BBucharestt","Carei","211122011"
"Romania","Bucureștii","Carei","211122011"
"Turkey","Ankkara","Istanbul","14025646"
"Turkey","Ankarraa","İstanbul","14025646"
"Italy","Rome","Metropolitan City of Rome Capital","4333689"
"Italy","Roma Capitallee","Metropolitan City of Rome Capital","4333689"
"Italy","Rommaa","Metropolitan City of Rome Capital","4333689"
"Spain","Latin:Ursaria","Madrid","3141991"
"Spain","Madriidd","Latin:Ursaria","3141991"
"Spain","Latin:Ursariaaa","Latin:Ursaria","3141991"
"Spain","Madrridd","Madrid","3141991"
"Belarus","Minsk","Minsk","1921807"
"Belarus","МінскМинскк","МінскМинск","1921807"
"Belarus","МінскМинск","Minsk","1921807"
"Belarus","MMinskk","МінскМинск","1921807"
"Austria","Viennaaa","Vienna","1852997"
"Austria","Vienna","Wien","1852997"
"Austria","Wienn","Vienna","1852997"
"Austria","Wien","Wien","1852997"
"Hungary","Budaapest","Capital City of Budapest","1759407"
"Hungary","Budapesttt","Budapest","1759407"
"Hungary","Budapesttt","Budapest főváros","1759407"
"Hungary","Budapest fővároos","Budapest főváros","1759407"
"Hungary","Capital City of Budapestt","Capital City of Budapest","1759407"
"Hungary","Budapest fővárosss","Budapest","1759407"
"Hungary","Capital City of Budapestt","Budapest főváros","1759407"
"Hungary","Capital City of Budapesttt","Budapest","1759407"
"Hungary","Budapest főváross","Capital City of Budapest","1759407"
"Kazakhstan","Асттана","Almaty","1703481"
"Kazakhstan","Astanaa","Алматы","1703481"
"Kazakhstan","Астанаа","Алматы","1703481"
"Kazakhstan","Astanaa","Almaty","1703481"
"Ukraine","Kievvv","Kharkov (Харьков)","1430885"
"Ukraine","Kievvv","Kharkiv (Харків)","1430885"
"the Czech Republic","Prahaa","Hlavní město Praha","1267449"
"the Czech Republic","Praguee","Praha","1267449"
"the Czech Republic","Praguee","Prague","1267449"
"the Czech Republic","Praaha","Prague","1267449"
"the Czech Republic","Hlavní město Prahaa","Praha","1267449"
"the Czech Republic","Hllavní měssto Praha","Hlavní město Praha","1267449"
"the Czech Republic","PPrague","Hlavní město Praha","1267449"
"the Czech Republic","Hlavní město Prahaa","Prague","1267449"
"the Czech Republic","Prahaaa","Praha","1267449"
"Bulgaria","Софияя","Sofia","1260120"
"Bulgaria","Sofiaaa","София","1260120"
"Bulgaria","Соффияя","София","1260120"
"Bulgaria","Soofia","Sofia","1260120"
"Armenia","Yerevann","Երևան","1060138"
"Armenia","Yeerevan","Yerevan","1060138"
"Armenia","Երրևան","Երևան","1060138"
"Armenia","Երևաանն","Yerevan","1060138"
"Azerbaijan","Bakkıı","Gəncə","825900"
"Azerbaijan","Baakı","Ganja","825900"
"Azerbaijan","Baku","Gəncə","825900"
"Azerbaijan","Bakuu","Ganja","825900"
"Croatia","City of Zagrebb","Zagreb","792875"
"Croatia","Zagrebbb","City of Zagreb","792875"
"Croatia","Zagrebb","Zagreb","792875"
"Croatia","City of Zagreb","City of Zagreb","792875"
"Latvia","Rīga","Riga","696593"
"Latvia","Rīgaaa","Rīga","696593"
"Latvia","Rigaaa","Riga","696593"
"Latvia","Riga","Rīga","696593"
"Sweden","Stockholmmm","Göteborg","549789"
"Konungariket Sverige","Stockhollm","Gothenburg","549789"
"Konungariket Sverige","Stockkhholm","Göteborg","549789"
"Sweden","Stockholmm","Gothenburg","549789"
"Moldova","Chiișinău","Chișinău","492894"
"Estonia","Tallinnn","Tallinn","443268"
"Slovakia","Bratislava","Malé Dvorníky","400069"
"Greece","Αθήνα","Thessaloniki","385406"
"Greece","Athenss","Thessaloniki","385406"
"Republika Srbija","City of Belgradee","Palić","365570"
"Република Србија","Beelgrade","Палић","365570"
"Republika Srbija","Belgradee","Палић","365570"
"Republika Srbija","City of Belgraade","Палић","365570"
"Republika Srbija","Beograd  / Бееоград","Палић","365570"
"Serbia","City of Belgrade","Палић","365570"
"Republika Srbija","Belgradeee","Palić","365570"
"Republika Srbija","Beograd / Београд","Palić","365570"
"Serbia","City of Belgradee","Palić","365570"
"Serbia","BBeograd / Београд","Палић","365570"
"Република Србија","City of Belgrade","Палић","365570"
"Serbia","Belgrade","Палић","365570"
"Република Србија","Beograd / Београддд","Palić","365570"
"Република Србија","Belgradeee","Palić","365570"
"Република Србија","City of Bellgradee","Palić","365570"
"Република Србија","Beograd / Београдд","Палић","365570"
"Serbia","BBeograd / Београд","Palić","365570"
"Serbia","Belgradde","Palić","365570"
"France","Parisss","Poitiers","298339"
"Lithuania","Vilniius","Kaunas","297669"
"Slovenia","LLjubljana","Ljubljana","287218"
"Norway","Osloo","Bergen","278121"
"Kosovo","Pristinaaa","Pristina","211129"
"Kosovo","Pristinaa","City of Pristina","211129"
"Kosovo","City of Pristina","Pristina","211129"
"Kosovo","City  of Pristina","City of Pristina","211129"
"Montenegro","Podgorica","Podgorica","187085"
"Crna Gora","Poddgoricaa","Podgorica","187085"
"Црна Гора","Podgoricaa","City of Podgorica","187085"
"Црна Гора","City of Podgoricaaa","City of Podgorica","187085"
"Montenegro","Poodgoorica","City of Podgorica","187085"
"Montenegro","Ciity  of Podgorica","City of Podgorica","187085"
"Montenegro","City of Podgorica","Podgorica","187085"
"Црна Гора","Podgorica","Podgorica","187085"
"Crna Gora","City of Podgoricaa","Podgorica","187085"
"Црна Гора","City of Podggoricaa","Podgorica","187085"
"Crna Gora","City of Podgoricaa","City of Podgorica","187085"
"Crna Gora","Podgorricaa","City of Podgorica","187085"
"Denmark","Copenhagennn","Odense","175245"
"Georgia","Kutaaisi","Batumi","152839"
"Georgia","Tbilisiii","Batumi","152839"
"Georgia","თბილისიი","Batumi","152839"
"Georgia","ქუთაისიიი","Batumi","152839"
"Cyprus","Nicosiia","Limassol","101000"
"Cyprus","Nicosiaa","Λεμεσός / Limasol","101000"
"Bosnia and Herzegovina","Sarajevo","Тузла","80570"
"Bosnia and Herzegovina","Сарајево","Тузла","80570"
"Bosna i Hercegovina","Sarajeevoo","Тузла","80570"
"Bosna i Hercegovina","Sarajevooo","Tuzla","80570"
"Босна и Херцеговина","Сарајевоо","Тузла","80570"
"Bosna i Hercegovina","Сарајево","Tuzla","80570"
"Bosnia and Herzegovina","SSarajevo","Tuzla","80570"
"Bosna i Hercegovina","Сарајевооо","Тузла","80570"
"Босна и Херцеговина","Сарајевоо","Tuzla","80570"
"Босна и Херцеговина","Saraajevo","Тузла","80570"
"Bosnia and Herzegovina","Сарајевоо","Tuzla","80570"
"Босна и Херцеговина","Sarajevvoo","Tuzla","80570"
"Switzerland","Bernee","Luzern","80501"
"Switzerland","Bernn","Luzern","80501"
"Malta","Valletta","Ħal Qormi","16779"
"Malta","Valleettta","Qormi","16779"
"Malta","Il-Belt Vallettaaa","Qormi","16779"
"Malta","Il-Belt Vallettaa","Ħal Qormi","16779"
"Republic of Macedonia","City of Skopje","Aračinovo / Arachinovo","7315"
"Republic of Macedonia","Град Скоопје","Aračinovo / Arachinovo","7315"
"Republic of Macedonia","Skopjee","Арачиново","7315"
"Republic of Macedonia","Skopje","Aračinovo / Arachinovo","7315"
"Republic of Macedonia","Град Скопје","Haraçinë","7315"
"Republic of Macedonia","City of Skopjjee","Haraçinë","7315"
"Republic of Macedonia","Град Скопјее","Арачиново","7315"
"Republic of Macedonia","Скопје","Haraçinë","7315"
"Republic of Macedonia","City of Skoppjee","Арачиново","7315"
"Republic of Macedonia","Скопјее","Aračinovo / Arachinovo","7315"
"Republic of Macedonia","Скопјее","Арачиново","7315"
"Republic of Macedonia","Skopjeee","Haraçinë","7315"
"San Marino","City of San Marrino","Dogana","7000"
"San Marino","Città di San Marinooo","Dogana","7000"
"Andorra","Andorra la Vellaaa","Arinsal","1722"
"Liechtenstein","VVaduzz","Nendeln","1357"
