"celebrity","birth_place","country"
"Zooey Dechanel","Los Angeles","United States"
"Zooey Deschannel","Los Angeles","United States"
"Zooey Deschenel","Los Angeles","United States"
"Zooey Dechannel","Los Angeles","United States"
"Zooey Dechanelle","Los Angeles","United States"
"Zooey Deschanell","Los Angeles","United States"
"Zooey Daschenel","Los Angeles","United States"
"Zooey Daschanel","Los Angeles","United States"
"Zooey Deschanels","Los Angeles","United States"
"Zooey Deshanelle","Los Angeles","United States"
"Zooey Deschenelle","Los Angeles","United States"
"Zooey Deschaenel","Los Angeles","United States"
"Zooey Deschennel","Los Angeles","United States"
"Zooey Deschenell","Los Angeles","United States"
"Zooey Deschnel","Los Angeles","United States"
"Zooey Daschenal","Los Angeles","United States"
"Zooey Dechenelle","Los Angeles","United States"
"Zooey Deschaniel","Los Angeles","United States"
"Zooey Descanel","Los Angeles","United States"
"Zooey Dechaunel","Los Angeles","United States"
"Zooey Dechanele","Los Angeles","United States"
"Zooey Duschanel","Los Angeles","United States"
"Zooey Daschnel","Los Angeles","United States"
"Zooey Deshenal","Los Angeles","United States"
"Zooey Deuschanel","Los Angeles","United States"
"Zooey Doeschanel","Los Angeles","United States"
"Zooey Deschannell","Los Angeles","United States"
"Zooey Daeschenel","Los Angeles","United States"
"Zooey Dechenal","Los Angeles","United States"
"Zooey Daschenelle","Los Angeles","United States"
"Zooey Dechannelle","Los Angeles","United States"
"Zooey Deshaunel","Los Angeles","United States"
"Zooey Duchanel","Los Angeles","United States"
"Zooey Daeshanel","Los Angeles","United States"
"Zooey Daechanel","Los Angeles","United States"
"Zooey Dechamel","Los Angeles","United States"
"Zooey Deaschanel","Los Angeles","United States"
"Zooey Dashenell","Los Angeles","United States"
"Zooey Dejanel","Los Angeles","United States"
"Zooey Dechannele","Los Angeles","United States"
"Zooey Deschan","Los Angeles","United States"
"Zooey Deishanel","Los Angeles","United States"
"Zooey Deichanel","Los Angeles","United States"
"Zooey Deychanel","Los Angeles","United States"
"Zooey Deschaneal","Los Angeles","United States"
"Zooey Decshanel","Los Angeles","United States"
"Zooey Deschinel","Los Angeles","United States"
"Zooey Dechenell","Los Angeles","United States"
"Zooey Deshinal","Los Angeles","United States"
"Zooey Deshanele","Los Angeles","United States"
"Zooey Deschnell","Los Angeles","United States"
"Zooey Daschaenel","Los Angeles","United States"
"Zooey Deschane","Los Angeles","United States"
"Zooey Descahnel","Los Angeles","United States"
"Zooey Deshenell","Los Angeles","United States"
"Zooey Dechasnel","Los Angeles","United States"
"Zooey Dashnel","Los Angeles","United States"
"Zooey Dashanelle","Los Angeles","United States"
"Zooey Daechenel","Los Angeles","United States"
"Zooey Dashonel","Los Angeles","United States"
"Zooey Deshaniel","Los Angeles","United States"
"Zooey Dezchanel","Los Angeles","United States"
"Zooey Dechaenel","Los Angeles","United States"
"Zooey Dachannel","Los Angeles","United States"
"Zooey Deshaneul","Los Angeles","United States"
"Zooey Deshennel","Los Angeles","United States"
"Zooey Deschannele","Los Angeles","United States"
"Zooey Deschaenal","Los Angeles","United States"
"Zooey Deushanel","Los Angeles","United States"
"Zooey Dichanel","Los Angeles","United States"
"Zooey Deashanel","Los Angeles","United States"
"Zooey Deschonel","Los Angeles","United States"
"Zooey Deischanel","Los Angeles","United States"
"Zooey Daschunel","Los Angeles","United States"
"Zooey Daschannel","Los Angeles","United States"
"Zooey Daschanael","Los Angeles","United States"
"Zooey Deschenele","Los Angeles","United States"
"Zooey Duchannel","Los Angeles","United States"
"Zooey Daschnell","Los Angeles","United States"
"Zooey Dechaney","Los Angeles","United States"
"Zooey Deshnell","Los Angeles","United States"
"Zooey Deshnal","Los Angeles","United States"
"Zooey Dschanel","Los Angeles","United States"
"Zooey Dooshanel","Los Angeles","United States"
"Zooey Descheneil","Los Angeles","United States"
"Zooey Deshinelle","Los Angeles","United States"
"Zooey Desonel","Los Angeles","United States"
"Zooey Descha","Los Angeles","United States"
"Zooey Daschenele","Los Angeles","United States"
"Zooey Deschoenel","Los Angeles","United States"
"Zooey Dooschanel","Los Angeles","United States"
"Zooey Dechaniel","Los Angeles","United States"
"Zooey Deeschanell","Los Angeles","United States"
"Zooey Decshenel","Los Angeles","United States"
"Zooey Deshunel","Los Angeles","United States"
"Zooey Deschemel","Los Angeles","United States"
"Zooey Deschsnel","Los Angeles","United States"
"Zooey Desinel","Los Angeles","United States"
"Zooey Daeshnel","Los Angeles","United States"
"Zooey Deaschenel","Los Angeles","United States"
"Zooey Deychenel","Los Angeles","United States"
"Zooey Deuschenal","Los Angeles","United States"
"Zooey Duchamel","Los Angeles","United States"
"Zooey Dechanels","Los Angeles","United States"
"Zooey Desschanel","Los Angeles","United States"
"Zooey Descanell","Los Angeles","United States"
"Zooey Deschanelles","Los Angeles","United States"
"Zooey Deshna","Los Angeles","United States"
"Zooey Deshnow","Los Angeles","United States"
"Zooey Deschanelde","Los Angeles","United States"
"Zooey Decheanel","Los Angeles","United States"
"Zooey Dechanael","Los Angeles","United States"
"Zooey Daeshenel","Los Angeles","United States"
"Zooey Deichenel","Los Angeles","United States"
"Zooey Dejenel","Los Angeles","United States"
"Zooey Dochanel","Los Angeles","United States"
"Zooey Duchanelle","Los Angeles","United States"
"Zooey Dashnal","Los Angeles","United States"
"Zooey Daechannel","Los Angeles","United States"
"Zooey Deshounel","Los Angeles","United States"
"Zooey Descganel","Los Angeles","United States"
"Zooey Deshaunal","Los Angeles","United States"
"Zooey Deschaunell","Los Angeles","United States"
"Zooey Desenal","Los Angeles","United States"
"Zooey Doechenel","Los Angeles","United States"
"Zooey Deachenelle","Los Angeles","United States"
"Zooey Daeschnael","Los Angeles","United States"
"Zooey Deschenle","Los Angeles","United States"
"Zooey Desche","Los Angeles","United States"
"Zooey Deshaneaul","Los Angeles","United States"
"Zooey Deychanell","Los Angeles","United States"
"Zooey Descheunel","Los Angeles","United States"
"Zooey Deschonelle","Los Angeles","United States"
"Zooey Deachannel","Los Angeles","United States"
"Zooey Deschner","Los Angeles","United States"
"Zooey Deishinel","Los Angeles","United States"
"Zooey Deschaumel","Los Angeles","United States"
"Zooey Dachennel","Los Angeles","United States"
"Zooey Decshanelle","Los Angeles","United States"
"Zooey Doschanel","Los Angeles","United States"
"Zooey Dachenell","Los Angeles","United States"
"Zooey Deschaneil","Los Angeles","United States"
"Zooey Deschunal","Los Angeles","United States"
"Zooey Dechannels","Los Angeles","United States"
"Zooey Deyschannel","Los Angeles","United States"
"Zooey Deganel","Los Angeles","United States"
"Zooey Dechamelle","Los Angeles","United States"
"Zooey Dashinell","Los Angeles","United States"
"Zooey Daishanel","Los Angeles","United States"
"Zooey Daeschnel","Los Angeles","United States"
"Zooey Dechinelle","Los Angeles","United States"
"Zooey Deshonell","Los Angeles","United States"
"Zooey Deneschal","Los Angeles","United States"
"Zooey Decahnnel","Los Angeles","United States"
"Zooey Dajanel","Los Angeles","United States"
"Zooey Dechane","Los Angeles","United States"
"Zooey Deisanel","Los Angeles","United States"
"Zooey Daeschnal","Los Angeles","United States"
"Zooey Deyshanelle","Los Angeles","United States"
"Zooey Deshnelle","Los Angeles","United States"
"Zooey Deschandl","Los Angeles","United States"
"Zooey Deschandel","Los Angeles","United States"
"Zooey Deyschenel","Los Angeles","United States"
"Zooey Deutchanel","Los Angeles","United States"
"Zooey Desuenel","Los Angeles","United States"
"Zooey Dechanuel","Los Angeles","United States"
"Zooey Deschil","Los Angeles","United States"
"Zooey Deslanges","Los Angeles","United States"
"Zooey Dechadel","Los Angeles","United States"
"Zooey Deshaneil","Los Angeles","United States"
"Zooey Deichanelle","Los Angeles","United States"
"Zooey Deuschaunel","Los Angeles","United States"
"Zooey Deschenells","Los Angeles","United States"
"Zooey Deschennels","Los Angeles","United States"
"Zooey Dushamel","Los Angeles","United States"
"Zooey Deschanuell","Los Angeles","United States"
"Zooey Dechanne","Los Angeles","United States"
"Zooey Dezchernel","Los Angeles","United States"
"Zooey Disonel","Los Angeles","United States"
"Zooey Deschendal","Los Angeles","United States"
"Zooey Deschemal","Los Angeles","United States"
"Zooey Dashiel","Los Angeles","United States"
"Zooey Deshenau","Los Angeles","United States"
"Zooey Dashney","Los Angeles","United States"
"Zooey Deschoe","Los Angeles","United States"
"Zooey Deschensal","Los Angeles","United States"
"Zooey Dechanrl","Los Angeles","United States"
"Zooey Deuxchanell","Los Angeles","United States"
"Zooey Doeshandal","Los Angeles","United States"
"Zooey Deschynel","Los Angeles","United States"
"Zooey Deishaenel","Los Angeles","United States"
"Zooey Deichneil","Los Angeles","United States"
"Zooey Deichanell","Los Angeles","United States"
"Zooey Daschonelle","Los Angeles","United States"
"Zooey Dechaneud","Los Angeles","United States"
"Zooey Daeschsnel","Los Angeles","United States"
"Zooey Destional","Los Angeles","United States"
"Zooey Dechaunell","Los Angeles","United States"
"Zooey Duechanell","Los Angeles","United States"
"Zooey Duhamel","Los Angeles","United States"
"Zooey Dechangel","Los Angeles","United States"
"Zooey Deshanhel","Los Angeles","United States"
"Zooey Dizchanel","Los Angeles","United States"
"Zooey Deshammel","Los Angeles","United States"
"Zooey Daichanelle","Los Angeles","United States"
"Zooey Deschaniels","Los Angeles","United States"
"Zooey Descenal","Los Angeles","United States"
"Zooey Deschunell","Los Angeles","United States"
"Zooey Desshannel","Los Angeles","United States"
"Zooey Deszchenel","Los Angeles","United States"
