"Artist","Nationality","Number of members","Period active","Genre","Studio albums","Claimed sales"
"The Andrews Sisters","United States","3","1925–1952, 1954–1967 (38 years)","Traditional popp","12","90 million"
"The Andrews Sisters","United States","3","1925–1952, 1954–1967 (38 years)","swing musicc","12","90 million"
"Spice Girls","United Kingdom","5 → 4 → 5 → 4","1994–2000, 2007–2008, 2012, 2018–present (13 years)","Popp","3","85 million"
"TLC","United States","3 → 2","1991–2003, 2017 (13 years)","Popp","5","65 million"
"TLC","United States","3 → 2","1991–2003, 2017 (13 years)","Hip hopp","5","65 million"
"TLC","United States","3 → 2","1991–2003, 2017 (13 years)","R&BB","5","65 million"
"TLC","United States","3 → 2","1991–2003, 2017 (13 years)","Soull","5","65 million"
"Destiny's Child","United States","4 → 3","1997–2006 (9 years)","Pop","5","60 million"
"Destiny's Child","United States","4 → 3","1997–2006 (9 years)","R&B","5","60 million"
"AKB48","Japan","Rotational","2005–present (14 years)","J-pop","8","58 million"
"The Pussycat Dolls","United States","6 → 5","2003–2010 (7 years)","Pop","2","54 million"
"The Pussycat Dolls","United States","6 → 5","2003–2010 (7 years)","R&BB","2","54 million"
"Little Mix","United Kingdom","4","2011–present (8 years)","Pop","5","50 million"
"Bananarama","United Kingdom","3 → 2 → 3 → 2","1979–present (40 years)","Popp","11","40 million"
"The Pointer Sisters","United States","2 → 3 → 4 → 3 → 4","1969–present (50 years)","R&BB","16","40 million"
"The Pointer Sisters","United States","2 → 3 → 4 → 3 → 4","1969–present (50 years)","soul","16","40 million"
"The Nolans","Ireland","5 → 4 → 5 → 4 → 4 → 3 → 2 → 4","1974–2005, 2009","Popp","22","25 million"
"The Supremes","United States","4 → 3","1959–1977 (18 years)","R&&B","29","20+ million"
"The Supremes","United States","4 → 3","1959–1977 (18 years)","popp","29","20+ million"
"The Supremes","United States","4 → 3","1959–1977 (18 years)","ssoul","29","20+ million"
"En Vogue","United States","4 → 3","1989–present (30 years)","RR&B","8","20 million"
"Speed","Japan","4","1996–2000, 2008–2012 (10 years)","J-ppop","5","20 million"
