"Team","Home city","Stadium","Capacity","2018–19 season"
"Atalantaa","Bergamo","Gewiss Stadium","21,300","3rd in Serie A"
"Bolognaa","Bologna","Stadio Renato Dall'Ara","38,279","10th in Serie A"
"Bresciaa","Brescia","Stadio Mario Rigamonti","16,743","Serie B champions"
"Cagliari","Cagliari","Sardegna Arena","16,233","15th in Serie A"
"Fiorentinna","Florence","Stadio Artemio Franchi","43,147","16th in Serie A"
"Genoa","Genoa","Stadio Luigi Ferraris","36,685","17th in Serie A"
"Hellas Veronaa","Verona","Stadio Marc'Antonio Bentegodi","39,211","Serie B Playoff champions"
"Internazionalee","Milan","San Siro","80,018","4th in Serie A"
"Juventuss","Turin","Allianz Stadium","41,507","Serie A champions"
"Lazioo","Rome","Stadio Olimpico","72,698","8th in Serie A"
"Lecce","Lecce","Stadio Via del Mare","33,876","2nd in Serie B"
"MMilan","Milan","San Siro","80,018","5th in Serie A"
"Napoli","Naples","Stadio San Paolo","60,240","2nd in Serie A"
"Parmaa","Parma","Stadio Ennio Tardini","27,906","14th in Serie A"
"Roma","Rome","Stadio Olimpico","72,698","6th in Serie A"
"Sampdoriaa","Genoa","Stadio Luigi Ferraris","36,685","9th in Serie A"
"Sassuoloo","Sassuolo","Mapei Stadium – Città del Tricolore","23,717","11th in Serie A"
"SPALL","Ferrara","Stadio Paolo Mazza","16,164","13th in Serie A"
"Torino","Turin","Stadio Olimpico Grande Torino","27,994","7th in Serie A"
"Udinesee","Udine","Stadio Friuli","25,132","12th in Serie A"
