col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
Mean,SEM,PMID,26520877.0,"fig 1, p 10",Article,,4.0,6.0,47.0,,,,,,,,,,,,,,
Mean,SD,PMID,30814550.0,"tab 4, p 6",Article,,10.0,17.0,45.2,,27.0,,28.0,,,,,,,,,,
Average,Not specified,PMID,20205953.0,"Fig. 1, p. 4",Article,,6.0,10.0,25.2,,16.0,,,,,,,,105.6,,,16.0,
Median,Not specified,PMID,9372648.0,"Fig. 1, p. 1379",Article,,6.0,1.0,24.0,,7.0,,,,,,,,109.5,,,,
Mean,SEM,PMID,10823415.0,tab.1 p.66,Article,,,,,,25.0,,,,,,,,,,,,
Mean,SE,PMID,17438101.0,"Tab. 1, p. 2424",Article,,,,,,378.0,,,,,,,,,,,,
Median,"IQR(Q1, Q3)",PMID,31986264.0,"Suppl. Fig. 1, p. 6",Article,,,,,,4.0,,,,,,,,,,,,
Median,"IQR(Q1, Q3)",PMID,31986264.0,"Suppl. Fig. 1, p. 6",Article,,11.0,2.0,49.0,,13.0,,,,No current smoking,,,,,,,,
Median,"IQR(Q1, Q3)",PMID,31986264.0,"Suppl. Fig. 1, p. 6",Article,,19.0,9.0,49.0,,28.0,,,,Current smoking - 3,,,,,,,,
Mean,SD,PMID,26424214.0,,Article,,,,,,6.0,,,,,,,,,,,,
Mean,SD,PMID,25683933.0,,Article,,,,,,30.0,,,,,,,,,,,,
Mean,Not specified,PMID,16138219.0,,Article,,,,,,9.0,,,,,,,,,,,,
Median,"IQR(Q1, Q3)",PMID,25980674.0,table 2,Article,,,,,,8.0,,,,,,,,,,,,
Median,"IQR(Q1, Q3)",PMID,17332188.0,table 3,Article,,85.0,102.0,,,187.0,,,,,,,,,,,,
Median,"IQR(Q1, Q3)",PMID,17332188.0,table 3,Article,,86.0,100.0,,,186.0,,,,,,,,,,,,
Mean,SD,PMID,24364843.0,"Fig.3,p.205",Article,,25.0,,,,25.0,,,,,,,,,,,,
Median,Not specified,PMID,26059032.0,"Table 2, p.6",Article,,,9.0,55.0,,9.0,,,,,,,,,,,,
Mean,,PMID,11550808.0,fig. 1,Article,,,,,,22.0,,,,,,,,,,,,
Mean,Not specified,PMID,28398462.0,"Fig. 1, p. 562",Article,,5.0,11.0,59.2,,16.0,,,,Ex - 7/current - 3/non-smoker - 6,,,,,,109.0,,
Mean,Not specified,PMID,32416070.0,"Fig. 4, p. 7",Article,,,,,,24.0,,,,,,,,,,,,
Mean,Not specified,PMID,32416070.0,"Fig. 4, p. 7",Article,,,,,,24.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
