col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61
L126,"void v(String tag, String message)",com.chengxinet.bobo.utils.LogUtils.v(Ljava/lang/String;Ljava/lang/String;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,14,5,18,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,5,5,2,2,5,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L138,"void d(String tag, String message)",com.chengxinet.bobo.utils.LogUtils.d(Ljava/lang/String;Ljava/lang/String;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,20,5,24,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,5,5,2,2,5,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L143,"void i(String tag, String message)",com.chengxinet.bobo.utils.LogUtils.i(Ljava/lang/String;Ljava/lang/String;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,26,5,30,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,5,5,2,2,5,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L148,"void w(String tag, String message)",com.chengxinet.bobo.utils.LogUtils.w(Ljava/lang/String;Ljava/lang/String;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,32,5,36,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,5,5,2,2,5,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L153,"void e(String tag, String message)",com.chengxinet.bobo.utils.LogUtils.e(Ljava/lang/String;Ljava/lang/String;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,38,5,42,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,5,5,2,2,5,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L158,"void e(String tag, String message, Exception e)",com.chengxinet.bobo.utils.LogUtils.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Exception;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,44,5,48,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,5,5,2,3,5,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L167,"void logv(String tag, String message)",com.chengxinet.bobo.utils.LogUtils.logv(Ljava/lang/String;Ljava/lang/String;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,55,5,60,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.333333,3,3,0.333333,3,6,6,3,2,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L172,"void logd(String tag, String message)",com.chengxinet.bobo.utils.LogUtils.logd(Ljava/lang/String;Ljava/lang/String;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,62,5,67,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,6,6,3,2,6,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L175,"void logi(String tag, String message)",com.chengxinet.bobo.utils.LogUtils.logi(Ljava/lang/String;Ljava/lang/String;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,69,5,74,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,6,6,3,2,6,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L178,"void logw(String tag, String message)",com.chengxinet.bobo.utils.LogUtils.logw(Ljava/lang/String;Ljava/lang/String;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,76,5,81,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,6,6,3,2,6,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L181,"void loge(String tag, String message)",com.chengxinet.bobo.utils.LogUtils.loge(Ljava/lang/String;Ljava/lang/String;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,83,5,88,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,6,6,3,2,6,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L184,"void loge(String tag, String message, Exception e)",com.chengxinet.bobo.utils.LogUtils.loge(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Exception;)V,L114,L103,D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java,90,5,95,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0,0,0.0,0,6,6,3,3,6,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
