col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
attached_file_id,fields.attachedfile,,,,,0,,string,link,{ 'hrefTemplate': ',,,,,,,,,,,,
screensaver_user_id,fields.attachedfile,screensaver_user,,User,,1,,string,link,{ 'hrefTemplate': ',,,,,,,,,,,,
username,fields.attachedfile,screensaver_user,,User,,1,,string,link,{ 'hrefTemplate': ',,,,,,,,,,,,
user_fullname,fields.attachedfile,custom,,User,,2,,string,link,{ 'hrefTemplate': ',,,,,,,,,,,,
filename,fields.attachedfile,,,,,3,,string,link,{ 'hrefTemplate': '/db/attachedfile/{attached_file_id}/content' },,TRUE,File name,File Name,TRUE,,,[l;d],,TRUE,,
type,fields.attachedfile,,,,,4,,string,,,select,TRUE,Type,Type,TRUE,,attachedfiletype.*,[l;d],,TRUE,,
created_by_username,fields.attachedfile,custom,,,,5,,string,,,,TRUE,Created by username,Created By,TRUE,,,[d],,,,
file_date,fields.attachedfile,,,,,6,,date,,,,TRUE,File date,File Date,TRUE,,,[d],,,,
date_created,fields.attachedfile,,,,,7,,date,link,{ 'hrefTemplate': ',,,,,,,,,,,,
date_loaded,fields.attachedfile,,,,,8,,date,,,,TRUE,Date loaded,Date Loaded,TRUE,,,,,,,
date_publicly_available,fields.attachedfile,,,,,9,,date,,,,TRUE,Date publicly available,Date Publicly Available,TRUE,,,,,,,
screen_facility_id,fields.attachedfile,screen,facility_id,,,10,,string,link,{ 'hrefTemplate': ',,,,,,,,,,,,
publication_id,fields.attachedfile,publication,publication_id,,,11,,string,link,{ 'hrefTemplate': ',,,,,,,,,,,,
reagent_id,fields.attachedfile,reagent,reagent_id,,,12,,string,link,{ 'hrefTemplate': ',,,,,,,,,,,,
comment_array,fields.attachedfile,custom,,,,13,,list,comment_array,,,TRUE,Comments,Comments,FALSE,,,[l;d],,,,[readEverythingAdmin]
lab_head_id,fields.attachedfile,custom,,,fields.screensaveruser/lab_head_id,14,,string,,,,TRUE,,,TRUE,,,[api],,,,
lab_head_username,fields.attachedfile,custom,,,fields.screensaveruser/lab_head_username,15,,string,,,,TRUE,,,TRUE,,,[],,,,
lab_name,fields.attachedfile,custom,,,fields.screensaveruser/lab_name,16,,string,,,,TRUE,,,TRUE,,,[],,,,
lab_affiliation_id,fields.attachedfile,custom,,,fields.screensaveruser/lab_affiliation_id,17,,string,,,,TRUE,,,TRUE,,,[api],,,,
lab_affiliation_name,fields.attachedfile,custom,,,fields.screensaveruser/lab_affiliation_name,18,,string,,,,TRUE,,,TRUE,,,[],,,,
lab_affiliation_category,fields.attachedfile,custom,,,fields.screensaveruser/lab_affiliation_category,19,,string,,,,TRUE,,,TRUE,,,[],,,,
