col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49
-7.208259361662343,,52.37870481272438,,1730,,KILKENNY,Kilkenny Maigh Eo Ireland http://sws.geonames.org/10130170/,Cill Chainnigh,Kilkenny Leinster Ireland http://sws.geonames.org/2963397/,KILKENNY,Kilkenny Maigh Eo Ireland http://sws.geonames.org/10130170/,,,ED,,T,,N,,,,97065,,KILLAHY,Killahy Kilkenny Ireland http://sws.geonames.org/2963381/,Cill Achaidh,,,,,,253966,,125484,,653905,,625534,,1.0,,520.0,,LH,,2007-01-09T00:00:00.000Z,,,
-8.000291196865692,,54.201118559554736,,95,,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,An Cabhán,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,,,ED,,T,,N,,,,27041,,DOWRA,Dowra An Cabhán Ireland http://sws.geonames.org/2964677/,An Damhshraith,,,,,,200030,,328015,,599981,,828022,,,,,,Fiontar,,,,,
-7.548069753255803,,53.364063958807435,,3202,,WESTMEATH,An Iarmhí Leinster Ireland http://sws.geonames.org/2960972/,An Iarmhí,An Iarmhí Leinster Ireland http://sws.geonames.org/2960972/,WESTMEATH,An Iarmhí Leinster Ireland http://sws.geonames.org/2960972/,,,ED,,T,,N,,,,237073,,LAUREE,,Laitean,,,,,,230136,,234942,,630080,,734969,,,,,,Fiontar,,,,,
-9.76082285335604,,54.12310225474168,,2256,,MAYO,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,Maigh Eo,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,MAYO,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,,,ED,,T,,N,,,,157031,,BANGOR,Bangor Maigh Eo Ireland http://sws.geonames.org/2966367/,Baingear,,,,,,84924,,320764,,484900,,820773,,,,,,Fiontar,,,,,
-8.21224207560152,,52.86551352843206,,2958,,TIPPERARY,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,Tiobraid Árann,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,NORTH TIPPERARY,North Tipperary Munster Ireland http://sws.geonames.org/2961190/,,,ED,,T,,N,,,,217136,,NENAGH WEST URBAN,,An tAonach Thiar (Uirbeach),,,,,,185755,,179383,,585709,,679422,,1.0,,847.0,,FJF,,2006-11-20T00:00:00.000Z,,,
-8.356510760482898,,52.604312171953154,,1993,,LIMERICK,Limerick Loch Garman Ireland http://sws.geonames.org/2962942/,Luimneach,Limerick City Munster Ireland http://sws.geonames.org/7778675/,LIMERICK,Luimneach County Limerick Ireland http://sws.geonames.org/2962943/,,,ED,,T,,N,,,,127039,,CAPPAMORE,Cappamore Ciarraí Ireland http://sws.geonames.org/3294923/,An Cheapach Mhór,,,,,,175895,,150354,,575851,,650399,,1.0,,522.0,,FF,,2007-01-26T00:00:00.000Z,,,
-8.318942942502362,,54.65992811099179,,792,,DONEGAL,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Dún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,DONEGAL,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,,,ED,,T,,N,,,,57091,,INVER,Inver Maigh Eo Ireland http://sws.geonames.org/2963602/,Inbhear,,,,,,179465,,379135,,579421,,879131,,,,,,Fiontar,,,,,
-7.45109173519639,,54.10246168943764,,67,,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,An Cabhán,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,,,ED,,T,,N,,,,27013,,BELTURBET,Belturbet An Cabhán Ireland http://sws.geonames.org/2966201/,Béal Tairbirt (Uirbeach),,,,,,235957,,317173,,635900,,817182,,,,,,Fiontar,,,,,
-6.98378847043187,,54.170009309650936,,2484,,MONAGHAN,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,Muineachán,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,MONAGHAN,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,,,ED,,T,,N,,,,177013,,CADDAGH,Caddagh An Iarmhí Ireland http://sws.geonames.org/9866270/,Cadach,,,,,,266417,,325030,,666354,,825037,,1.0,,523.0,,FF,,2007-03-06T00:00:00.000Z,,,
-7.022516155777524,,54.14099019781393,,2527,,MONAGHAN,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,Muineachán,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,MONAGHAN,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,,,ED,,T,,N,,,,177056,,LISNAVEANE,,Lios Mór (Uirbeach),,,,,,263933,,321764,,663870,,821772,,1.0,,523.0,,FF,,2007-03-06T00:00:00.000Z,,,
