col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
seq0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,1.67,0.0,1.0, 
seq1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0.0,1.0,0.0,1.0,1.5,0.0,1.0,0.0,0.0, 
seq2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.67,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0, 
seq3,1.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0, 
seq4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,3.0,0.0,1.0,0.0,2.33,1.0,0.0,0.0, 
seq5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.67,1.0,0.0, 
seq6,1.0,1.0,0.0,0.0,1.0,1.5,0.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0, 
seq7,1.0,1.0,0.0,0.0,1.0,1.5,0.0,0.0,1.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0, 
seq8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0, 
seq9,1.67,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0, 
seq10,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0, 
seq11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0, 
seq12,0.0,0.0,0.0,0.0,1.67,2.33,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.67,0.0,1.0,1.0,0.0,0.0, 
seq13,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.67,1.0, 
seq14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0, 
seq15,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.67,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0, 
