col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
1,CITADEL,Co-designed services,https://cordis.europa.eu/project/id/726755,,"Good, reliable public services are vital to people’s quality of life, a region’s competitiveness and business entrepreneurship. CITADEL (Empowering Citizens to TrAnsform European PubLic Administrations) harnessed ICTs to offer public administrations insight into why citizens are not using a given digital public service (due to lack of digital skills, complexity of the service, fear of making an error, trust, etc.) and how to bring them back in.",National,European Union,Technalia,Consortium,2016,No,2019,General public services,Inclusiveness,Unknown,Unknown,Artificial Intelligence,Pilot,Unknown
2,ENLARGE,Co-designed services,https://cordis.europa.eu/project/id/727124,,"The ENLARGE project (ENergies for Local Administrations: Renovate Governance in Europe) used intense policy dialogue between policy makers, experts and civil society to analyse existing models of co-design and co-production of public policies and services. Their focus was on sustainable energy and, more generally, more efficiency and effectiveness in public services and public administrations.",National,European Union,Istituto per la Ricerca Sociale,Consortium,2016,No,2018,General public services,Inclusiveness,Unknown,Unknown,Artificial Intelligence,Pilot,Unknown
3,Mobile-Age,Co-designed services,https://cordis.europa.eu/project/id/693319,,"The Mobile-Age project focussed on open government data, mobile technology, and the provision of public services addressing the needs of Europe’s elderly population. Researchers used a co-creation approach for services related to the production and use of open data for cities. Scenarios were related to loneliness and social isolation, social inclusion, data curation for safer, more accessible cities, and personal health information.",National,European Union,University of Lancaster,Consortium,2016,No,2019,General public services,Inclusiveness,Unknown,Unknown,Artificial Intelligence,Pilot,Unknown
4,OpenGovIntelligence,Co-designed services,https://cordis.europa.eu/project/id/693849,,"The OpenGovIntelligence project ran pilot studies in six countries to exploit Linked Open Statistical Data (LOSD) technologies aimed at modernising public administrations. The project focussed on new business processes, policies and tools to enable the active participation of society and businesses in data sharing with the goal of co-producing innovative public services.",National,European Union,CERTH,Consortium,2016,No,2019,General public services,Sustainable growth,Unknown,Unknown,Artificial Intelligence,Pilot,Unknown
5,RECAP,Service integration,https://cordis.europa.eu/project/id/732667,,"The Common Agricultural Policy (CAP) presents a number of challenges for the control of Cross Compliance rules due to the complexity and diversity of the obligations to be monitored. The tools developed by RECAP (Personalised public services in support of the implementation of the CAP) support public administration, farmers and agricultural consultants by enabling more efficient and transparent compliance monitoring. To do so the project exploited a cloudbased Software as a Service (SaaS) platform, using open Earth Observation and user-generated data.",National,European Union,University of Ulm,Consortium,2017,No,2019,General public services,Service integration,Unknown,Unknown,Artificial Intelligence,Pilot,Unknown
6,SCOOP4C,Digital identity,https://cordis.europa.eu/project/id/737492,,"The co-creation of public services, while reducing administrative burden, has become an important goal in the bid to innovative public governance. SCOOP4C (Stakeholder community for once-only principle: Reducing administrative burden for citizens) analysed and disseminated the best ways to apply the Once-Only Principle (OOP) to simplify administrative procedures for citizens.",National,European Union,University of Koblenz-Landau,Consortium,2016,No,2019,General public services,Service integration,Yes,Unknown,API,Pilot,Unknown
7,SIMPATICO,Co-designed services,https://cordis.europa.eu/project/id/692819,,"Online services may fail to adapt to the specific needs of citizens and companies because they are standardised processes, copied from their offline counterparts and designed from the public sector organisations’ own perspective. SIMPATICO (SIMplifying the interaction with Public Administration Through Information technology for Citizens and cOmpanies) proposed a novel approach, combining emerging technologies for language processing and machine learning with the wisdom of the crowd, to continuously adapt and improve interactions with public services.",National,European Union,Fondazione Bruno Kessler,Consortium,2016,No,2019,General public services,Service personlisation,Unknown,Unknown,Artificial Intelligence,Pilot,Unknown
8,smarticipate,Smart city,https://cordis.europa.eu/project/id/693729,,"The smarticipate project (smart services for calculated impact assessment in open governance) developed tools that are transforming the interaction between citizens, businesses and public administrations in the management of cities. The mechanisms they developed give people full access to public open data and facilitate their feedback on ideas for city development. An open, easily accessible platform allows government, NGOs, businesses and citizens to develop their own apps as producers and co-producers.",Local,European Union,Fraunhofer,Consortium,2016,No,2019,General public services,Data access,Unknown,Unknown,API,Pilot,Unknown
9,TOOP,Digital identity,https://cordis.europa.eu/project/id/737460,,"By using an innovative architecture on a cross-border collaborative pan-European scale in order to identify drivers and barriers, TOOP explores and demonstrates the Once-Only Principle (OOP). The project is based on an exploratory and agile life-cycle approach to cross-border pilots, and its main technological innovation is a generic, federated OOP architecture that supports the interconnection and interoperability of national registries at EU level.",National,European Union,TALTECH,Consortium,2017,Yes,2021,General public services,Service integration,Yes,Unknown,API,Pilot,Unknown
10,WeGovNow,Service integration,https://cordis.europa.eu/project/id/693514,,"Citizens are partners, and not customers in the delivery of public services. Bearing this in mind, the WeGovNow project team tapped into emerging technologies to support co-production by civil society stakeholders in the delivery of public services. Digital tools in day-to-day settings were systematically explored with a view to optimising the democratic legitimacy of the WeGovNow approach and the exploitability of tangible project outputs.",Local,European Union,empirica,Consortium,2016,No,2019,General public services,Service integration,Unknown,Unknown,Artificial Intelligence,Pilot,Unknown
