col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0,1,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,MCGIVGAIAQR,0,,
1,2,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,DVAEILLEGLR,0,,
2,3,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,GYDSAGLAVVDAEGHMTR,1,,
3,4,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,VQMLAQAAEEHPLHGGTGIAHTR,1,,
4,5,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,WATHGEPSEVNAHPHVSEHIVVVHNGIIENHEPLR,0,,
5,6,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,GYTFVSETDTEVIAHLVNWELK,1,,
6,7,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,AIPQLR,0,,
7,8,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,GAYGTVIMDSR,1,,
8,9,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,HPDTLLAAR,0,,
9,10,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,SGSPLVIGLGMGENFIASDQLALLPVTR,1,,
10,11,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,FIFLEEGDIAEITR,1,,
