col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108
2004,MIN,Rasho Nesterovic,26,77,2337,14.7,0.536,0.003,0.125,7.3,16.9,12.2,7.7,0.9,3.6,11.0,17.5,,2.6,2.6,5.2,0.107,,-0.7,1.2,0.5,1.5,0.054,0.054,15.6,nestera01,2.73,19805,82,0.182,0.528,345124,0.528,-1.22,0.07,-0.12,0.86,0.29,0.01,59.00%,0.0,0.0,0.65,0.7,2.1,0.4,1.6,-0.3,0.2,-0.7,-0.4,0.1,-1.0,-0.6,2.6,1.3,0.4,0.2,-0.6,1.4,-0.4,0.6,1.3,1.6,0.8,0.9,-1.9,0.6,30.4,28.9,0.7,0.4,1.6,1.7,-0.6,-0.4,0.6,0.7,1.3,0.8,0.9,1.0,"$8,000,000 ","$8,500,000 ",0.9,0.8,0.62,1.7,"$8,800,000 ",1.7,"$8,400,000 ",4.2,1.7,2.5,4.5,4.8,5,26.68,4,84,248,5,27
2020,PHI,Keith Van Horn,27,74,2337,17.3,0.556,0.185,0.252,7.8,18.7,13.2,7.2,1.4,1.0,12.4,23.2,,3.9,2.6,6.5,0.133,,0.9,-0.9,0.1,1.2,0.08,0.053,20.3,vanhoke01,1.93,19855,82,0.182,0.52,343100,0.515,-1.39,-0.68,-0.01,1.35,0.42,-0.3,58.90%,-0.18,0.83,0.3,0.0,2.1,0.0,1.2,-0.3,0.3,0.9,-0.1,0.2,1.0,0.6,1.2,1.1,0.1,0.7,1.1,1.4,0.6,1.6,-1.1,1.6,-0.6,-0.5,2.2,0.6,31.6,30.0,0.0,0.0,1.2,1.3,1.1,0.6,1.6,1.8,-1.1,-0.6,-0.5,-0.5,"$6,300,000 ","$6,800,000 ",1.1,0.5,0.58,1.4,"$7,500,000 ",1.2,"$6,200,000 ",3.2,4.4,-1.2,3.1,3.9,4,27.28,5,82,220,4,27
2013,DET,Chauncey Billups,26,74,2327,20.4,0.582,0.437,0.416,1.9,12.2,7.0,23.7,1.5,0.5,11.5,24.1,,7.0,2.9,9.9,0.204,,4.7,-0.7,4.0,3.5,0.144,0.06,21.3,billuch01,3.36,19905,82,0.182,0.523,344869,0.513,1.16,-0.82,0.4,2.64,0.41,3.39,58.50%,1.98,-0.19,0.84,4.2,2.1,2.5,3.6,-0.1,0.6,4.7,0.0,0.2,5.3,3.1,0.1,1.8,-0.3,3.3,5.0,1.4,2.9,3.9,-0.7,1.6,-0.4,-0.3,5.7,0.6,31.4,29.8,4.2,2.5,3.6,4.0,5.0,2.9,3.9,4.3,-0.7,-0.4,-0.3,-0.3,"$17,300,000 ","$19,000,000 ",1.2,2.8,0.73,3.5,"$16,600,000 ",4.5,"$21,200,000 ",9.8,10.5,-0.7,12.2,1.4,1,26.35,5,75,202,1,26
2010,MIA,Malik Allen,24,80,2318,9.9,0.455,0.005,0.153,6.5,14.9,10.6,4.4,0.9,2.6,13.2,19.7,,-1.7,2.6,0.9,0.018,,-4.5,0.7,-3.8,-1.0,-0.036,0.054,17.1,allenma01,-5.87,19830,82,0.182,0.483,341802,0.487,-3.09,-0.46,-0.26,-0.54,0.13,-3.96,58.40%,-2.31,-7.12,0.02,-3.9,2.1,-2.3,-1.1,-0.9,0.1,-2.2,-0.3,0.1,-3.3,-1.9,-7.0,-2.0,-1.3,1.2,-4.6,1.4,-2.7,-1.7,0.6,1.6,0.4,0.6,-5.2,0.6,29.0,27.6,-3.9,-2.3,-1.1,-1.2,-4.6,-2.7,-1.7,-1.7,0.6,0.4,0.6,0.6,"($4,100,000)","($4,200,000)",-0.6,-2.4,0.17,-0.1,"$700,000 ",-0.3,"($400,000)",-3.1,-4.6,1.5,-0.9,4.3,4,24.6,1,82,255,4,25
2003,IND,Metta World Peace,23,69,2317,17.6,0.529,0.249,0.439,5.0,12.4,8.8,14.9,3.6,1.6,12.6,22.5,,3.2,4.1,7.2,0.15,,2.0,2.1,4.1,3.5,0.066,0.084,19.7,artesro01,2.98,19905,82,0.182,0.522,343550,0.521,0.47,2.4,0.08,0.21,0.64,3.72,58.20%,2.16,0.77,0.56,4.3,2.1,2.5,3.7,0.2,0.3,0.7,0.6,0.3,2.2,1.3,0.6,1.6,-0.2,2.4,2.0,1.4,1.2,2.2,2.3,1.6,1.3,1.5,-0.2,0.6,33.6,31.7,4.3,2.5,3.7,4.3,2.0,1.2,2.2,2.6,2.3,1.3,1.5,1.8,"$17,300,000 ","$20,400,000 ",1.6,3.0,0.73,3.6,"$17,300,000 ",4.6,"$21,400,000 ",9.9,5.9,4.0,12.3,2.9,3,23.22,3,78,244,3,23
2003,MIL,Michael Redd,23,82,2316,21.0,0.59,0.428,0.191,4.9,13.9,9.4,8.9,2.3,0.4,6.6,22.6,,6.9,1.1,8.0,0.167,,4.5,-2.2,2.3,2.5,0.144,0.023,21.1,reddmi01,-0.25,19905,82,0.182,0.543,349565,0.535,-1.45,0.13,0.12,4.02,0.05,2.75,58.20%,1.6,0.66,-0.19,2.6,2.1,1.5,2.7,-0.6,0.5,4.2,0.3,0.0,4.4,2.5,5.3,3.7,0.5,-5.6,4.9,1.4,2.8,3.8,-2.3,1.6,-1.4,-1.2,7.2,0.6,28.2,26.9,2.6,1.5,2.7,2.7,4.9,2.8,3.8,3.8,-2.3,-1.4,-1.2,-1.2,"$12,900,000 ","$12,900,000 ",0.1,1.4,0.71,2.4,"$11,800,000 ",3.2,"$15,500,000 ",7.2,10.4,-3.2,8.8,2.7,2,23.44,2,78,220,3,24
2003,POR,Dale Davis,33,78,2282,14.5,0.566,0.0,0.379,12.3,17.5,14.9,6.4,1.2,2.3,12.2,11.8,,4.3,2.6,6.9,0.145,,0.6,1.7,2.3,2.5,0.09,0.055,10.4,davisda01,3.23,19855,82,0.182,0.531,339571,0.528,-0.66,-0.24,-0.08,2.41,0.16,1.67,57.50%,0.96,0.28,0.72,2.4,2.1,1.4,2.5,0.7,0.2,-0.5,-0.2,0.1,0.3,0.2,2.1,1.2,0.3,1.1,0.6,1.4,0.3,1.3,1.8,1.6,1.0,1.2,-1.2,0.6,29.3,27.8,2.4,1.4,2.5,2.7,0.6,0.3,1.3,1.4,1.8,1.0,1.2,1.3,"$12,300,000 ","$12,900,000 ",0.8,1.6,0.73,2.6,"$12,800,000 ",3.2,"$15,200,000 ",6.8,3.5,3.3,8.6,4.5,5,33.86,11,83,230,4,34
2003,UTA,John Stockton,40,82,2275,21.0,0.577,0.125,0.448,2.8,7.7,5.4,46.4,3.2,0.5,19.2,19.2,,6.5,2.5,9.0,0.19,,3.2,-1.5,1.7,2.1,0.137,0.053,15.5,stockjo01,3.27,19780,82,0.182,0.538,332611,0.533,4.09,1.31,0.65,-4.14,-0.01,1.26,57.50%,0.72,0.13,0.76,2.0,2.1,1.2,2.3,1.2,0.6,0.6,0.6,0.0,3.0,1.7,2.2,-0.1,0.6,1.1,3.6,1.4,2.0,3.0,-1.5,1.6,-0.9,-0.7,5.1,0.6,27.7,26.5,2.0,1.2,2.3,2.3,3.6,2.0,3.0,3.0,-1.5,-0.9,-0.7,-0.7,"$11,300,000 ","$11,300,000 ",0.5,1.3,0.7,2.3,"$11,300,000 ",2.8,"$13,500,000 ",6.2,8.2,-1.9,7.6,1.0,1,40.86,18,73,170,1,41
2003,IND,Brad Miller,26,73,2270,19.3,0.579,0.024,0.535,9.4,20.2,14.9,14.5,1.5,1.4,12.5,18.7,,6.1,3.4,9.6,0.202,,1.9,1.6,3.5,3.1,0.13,0.072,16.4,millebr01,2.98,19905,82,0.182,0.522,343550,0.515,2.17,-0.34,0.11,1.05,0.36,3.24,57.00%,1.85,0.77,0.56,3.8,2.1,2.2,3.3,1.0,0.4,0.7,-0.1,0.2,2.2,1.3,0.6,1.6,-0.2,2.4,2.0,1.4,1.2,2.1,1.8,1.6,1.0,1.2,0.3,0.6,31.1,29.5,3.8,2.2,3.3,3.7,2.0,1.2,2.1,2.4,1.8,1.0,1.2,1.3,"$15,800,000 ","$17,600,000 ",1.1,2.5,0.73,3.3,"$15,700,000 ",4.2,"$19,800,000 ",8.9,5.7,3.2,11.4,4.4,5,26.81,4,83,244,4,27
2003,DEN,Nene Hilario,20,80,2258,15.4,0.545,0.005,0.551,10.2,15.3,12.7,12.2,3.0,2.3,19.1,18.7,,1.3,3.8,5.0,0.107,,-0.8,2.9,2.2,2.4,0.027,0.08,15.1,hilarne01,-8.11,19730,82,0.182,0.469,327097,0.46,1.37,2.02,0.11,0.48,0.04,3.92,57.20%,2.24,-2.48,-1.45,2.5,2.1,1.4,2.6,1.2,0.4,-0.5,0.4,0.0,1.5,0.9,-11.2,-2.9,-2.1,3.1,-0.6,1.4,-0.3,0.6,3.1,1.6,1.8,1.9,-3.7,0.6,28.2,26.9,2.5,1.4,2.6,2.6,-0.6,-0.3,0.6,0.6,3.1,1.8,1.9,2.0,"$12,400,000 ","$12,700,000 ",-1.0,0.8,0.63,1.8,"$8,900,000 ",2.8,"$13,500,000 ",6.9,1.7,5.2,7.5,4.6,5,20.39,0,83,260,5,20
