col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
BODY-TYPE-DEFAULT,0,0,0.5,Food,53.0,2210000.0,,,,,,,,,,,Body,,
BIKE-DEFAULT,2,0,1.5,gasoline,10.6,2210000.0,,,,,,,5.0,,,,Bike,1.0,
FAST-BIKE,2,0,1.5,gasoline,10.6,2210000.0,,,,,,,20.0,,,,Bike,0.0,
Car,4,0,4.5,gasoline,3655.98,3655980000.0,,,,,,,,,,,Car,0.5,ridehail|all:0.0; income|0-17:0.5|17-36:0.25 | 61-86:1.0 | 86-133 : 0.0 | 133-999 : 0.0
Car-rh-only,4,0,4.5,gasoline,3655.98,3655980000.0,,,,,,,,,,,Car,0.5,ridehail|all:0.6; income|0-17:0.0|17-36:0.0 | 61-86:0.0 | 86-133 : 0.0 | 133-999 : 0.0
CAV,4,0,4.5,gasoline,3655.98,3655980000.0,,,,,,4.0,,,,,Car,0.0,ridehail|all:0.0; income|0-17:0.5|17-36:0.25 |35-61:0.5 | 61-86:0.0 | 86-133 : 0.0 | 133-999 : 0.0
BEV,4,0,4.5,electricity,671.22432,53999996.54,,,,,,,,,,,Car,0.0,ridehail|all:0.2; income|17-36:0.25 |35-61:0.5 | 61-86:0.0 | 86-133 : 0.5 | 133-999 : 0.1
PHEV,4,0,4.5,electricity,671.22432,269999982.7,,gasoline,3655.98,,3655980000.0,,,,,,Car,0.2,ridehail|all:0.2; income|17-36:0.25 | 61-86:0.0 | 86-133 : 0.5 | 133-999 : 0.9
BUS-DEFAULT,37,20,12.1,diesel,20048.0,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
RAIL-DEFAULT,801,2052,129.6,diesel,210518.32,600000000000.0,,,,,,,,,,,MediumDutyPassenger,,
FERRY-DEFAULT,149,0,26.0,diesel,701680.0,12000000000000.0,,,,,,,,,,,MediumDutyPassenger,,
SUBWAY-DEFAULT,336,864,129.6,electricity,46800.0,46800000000.0,,,,,,,,,,,MediumDutyPassenger,,
CABLE_CAR-DEFAULT,29,31,8.4,electricity,1116.0,1116000000.0,,,,,,,,,,,MediumDutyPassenger,,
TRAM-DEFAULT,58,19,14.0,electricity,3600.0,3600000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-AC,37,20,12.1,diesel,20048.0,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-AY,33,20,10.7,diesel,19582.6,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
SUBWAY-BA,336,864,129.6,electricity,46800.0,46800000000.0,,,,,,,,,,,MediumDutyPassenger,,
RAIL-AM,801,2052,129.6,diesel,210518.32,600000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-CC,41,32,12.192,biodiesel,18046.54029,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
TRAIN-CE,650,210,155.0,diesel,210518.32,211000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-CM,33,20,10.7,diesel,19582.6,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
TRAIN-CT,650,220,126.0,diesel,210518.32,211000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-CT,36,45,12.19,diesel,17470.4,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-DE,41,32,12.2,biodiesel,18043.5,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-FS,36,45,12.19,diesel,17470.4,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
FERRY-HF,149,0,26.0,diesel,701680.0,12000000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-GG,36,45,12.19,diesel,17470.4,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-MA,34,14,9.4,gasoline,12380.4,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-MS,42,13,12.5,electricity,4500.0,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-PE,33,20,10.7,diesel,19582.6,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-RV,19,6,7.32,biodiesel,10823.23995,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-VTA,41,32,12.2,biodiesel,18043.5,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-SF,69,51,18.6,diesel,30958.36862,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
CABLE_CAR-SF,29,31,8.4,electricity,1116.0,1116000000.0,,,,,,,,,,,MediumDutyPassenger,,
TRAM-SF,58,19,14.0,electricity,3600.0,3600000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-SM,39,35,12.8,diesel,17763.96,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-SO,43,34,12.5,biodiesel,20607.2985,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-SR,36,45,12.19,diesel,17470.4,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-ST,58,31,13.76,diesel,26313.0,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-VC,30,10,10.668,biodiesel,23858.01301,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-VN,33,20,10.7,diesel,19582.6,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-WC,39,34,12.2,diesel,14773.1163,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
BUS-WH,33,20,10.7,diesel,19582.6,30000000000.0,,,,,,,,,,,MediumDutyPassenger,,
