col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25
1,30/06/2015 17:58:00,30/06/2015 17:58:00,vegetarian,Sweet Chilli and Lime Beef on a Crunchy Fresh Noodle Salad,sweet-chilli-and-lime-beef-on-a-crunchy-fresh-noodle-salad,,"Here we've used onglet steak which is an extra flavoursome cut of beef that should never be cooked past medium rare. So if you're a fan of well done steak, this one may not be for you. However, if you love rare steak and fancy trying a new cut, please be",401,12,35,0,,,,meat,all,noodles,beef,35,4,Appetite,Great Britain,asian,,59
2,30/06/2015 17:58:00,30/06/2015 17:58:00,gourmet,Tamil Nadu Prawn Masala,tamil-nadu-prawn-masala,,"Tamil Nadu is a state on the eastern coast of the southern tip of India. Curry from there is particularly famous and it's easy to see why. This one is brimming with exciting contrasting tastes from ingredients like chilli powder, coriander and fennel seed",524,12,22,0,Vibrant & Fresh,"Warming, not spicy",Curry From Scratch,fish,all,pasta,seafood,40,4,Appetite,Great Britain,italian,"king prawns, basmati rice, onion, tomatoes, garlic, ginger, ground tumeric, red chilli powder, ground cumin, fresh coriander, curry leaves, fennel seeds",58
3,30/06/2015 17:58:00,30/06/2015 17:58:00,vegetarian,Umbrian Wild Boar Salami Ragu with Linguine,umbrian-wild-boar-salami-ragu-with-linguine,,"This delicious pasta dish comes from the Italian region of Umbria. It has a smoky and intense wild boar flavour which combines the earthy garlic, leek and onion flavours, while the chilli flakes add a nice deep aroma. Enjoy within 5-6 days of delivery.",609,17,29,0,,,,meat,all,pasta,pork,35,4,Appetite,Great Britain,british,,1
4,30/06/2015 17:58:00,30/06/2015 17:58:00,gourmet,Tenderstem and Portobello Mushrooms with Corn Polenta,tenderstem-and-portobello-mushrooms-with-corn-polenta,,"One for those who like their veggies with a slightly spicy kick. However, those short on time, be warned ' this is a time-consuming dish, but if you're willing to spend a few extra minutes in the kitchen, the fresh corn mash is extraordinary and worth a t",508,28,20,0,,,,vegetarian,all,,cheese,50,4,None,Great Britain,british,,56
5,30/06/2015 17:58:00,30/06/2015 17:58:00,vegetarian,Fennel Crusted Pork with Italian Butter Beans,fennel-crusted-pork-with-italian-butter-beans,,"A classic roast with a twist. The pork loin is marinated in rosemary, fennel seeds and chilli flakes then teamed with baked potato wedges and butter beans in tomato sauce. Enjoy within 5-6 days of delivery.",511,11,62,0,A roast with a twist,Low fat & high protein,With roast potatoes,meat,all,beans/lentils,pork,45,4,Pestle & Mortar (optional),Great Britain,british,"pork tenderloin, potatoes, butter beans, garlic, fennel seeds, medium onion, chilli flakes, fresh rosemary, tomatoes, vegetable stock cube",55
6,01/07/2015 17:58:00,01/07/2015 17:58:00,gourmet,Pork Chilli,pork-chilli,,"Succulent pork tenderloin and feathery white bean and parsnip mash mingle with feisty cumin seeds and tangy leek in this lighter, less conventional take on a British classic. Welcome to the outer limits of food!",401,12,35,0,,,,meat,all,,pork,35,4,Appetite,Great Britain,asian,,60
7,02/07/2015 17:58:00,02/07/2015 17:58:00,vegetarian,Courgette Pasta Rags,courgette-pasta-rags,,"Kick-start the new year with some get-up and go with this lean green vitality machine. Protein-packed chicken and mineral-rich kale are blended into a smooth, nut-free version of pesto; creating the ultimate composition of nutrition and taste",524,12,22,0,,,,meat,all,,chicken,40,4,Appetite,Great Britain,british,,59
8,03/07/2015 17:58:00,03/07/2015 17:58:00,vegetarian,Homemade Eggs & Beans,homemade-egg-beans,,"A Goustofied British institution, learn how to make beautifully golden breaded chicken escalopes drizzled in homemade garlic butter and served atop fluffy potato and broccoli mash.",609,17,29,0,,,,meat,all,,eggs,35,3,Appetite,Great Britain,italian,,2
9,04/07/2015 17:58:00,04/07/2015 17:58:00,gourmet,Grilled Jerusalem Fish,grilled-jerusalem-fish,,"I love this super healthy fish dish, it contains a punch from zingy ginger, a kick from chili and a salty sweet balance from soy sauce and mirim. A cleansing and restorative meal, great for body and soul.",508,28,20,0,,,,meat,all,,fish,50,4,Appetite,Great Britain,mediterranean,,57
10,05/07/2015 17:58:00,05/07/2015 17:58:00,gourmet,Pork Katsu Curry,pork-katsu-curry,,"Comprising all the best bits of the classic American number and none of the mayo, this is a warm & tasty chicken and bulgur salad with just a hint of Scandi influence. A beautifully summery medley of flavours and textures",511,11,62,0,,,,meat,all,,pork,45,4,Appetite,Great Britain,mexican,,56
