col0,col1,col2,col3
16,"1/2""",5 S,0.71
17,"1/2""",10S,0.674
18,"1/2""",STD,0.622
19,"1/2""",40,0.622
20,"1/2""",XS,0.546
21,"1/2""",80,0.546
22,"1/2""",160,0.464
23,"1/2""",XXS,0.252
24,"3/4""",5 S,0.92
25,"3/4""",10 S,0.884
26,"3/4""",STD,0.824
27,"3/4""",40,0.824
28,"3/4""",XS,0.742
29,"3/4""",80,0.742
30,"3/4""",160,0.612
31,"3/4""",XXS,0.434
32,"1""",5 S,1.185
33,"1""",10 S,1.097
34,"1""",STD,1.049
35,"1""",40,1.049
36,"1""",160,0.815
37,"1""",XXS,0.599
38,"1-1/4""",5 S,1.53
39,"1-1/4""",10 S,1.442
40,"1-1/4""",STD,1.38
41,"1-1/4""",40,1.38
42,"1-1/4""",XS,1.278
43,"1-1/4""",80,1.278
44,"1-1/4""",160,1.16
45,"1-1/4""",XXS,0.896
46,"1-1/2""",5 S,1.77
47,"1-1/2""",10 S,1.682
48,"1-1/2""",STD,1.61
49,"1-1/2""",40,1.61
50,"1-1/2""",XS,1.5
51,"1-1/2""",80,1.5
52,"1-1/2""",160,1.338
53,"1-1/2""",XXS,1.1
54,"2""",5 S,2.245
55,"2""",10 S,2.157
56,"2""",STD,2.067
57,"2""",40,2.067
58,"2""",XS,1.939
59,"2""",80,1.939
60,"2""",160,1.687
61,"2""",XXS,1.503
62,"2-1/2""",5 S,2.709
63,"2-1/2""",10 S,2.635
64,"2-1/2""",STD,2.469
65,"2-1/2""",40,2.469
66,"2-1/2""",XS,2.323
67,"2-1/2""",80,2.323
68,"2-1/2""",160,2.125
69,"2-1/2""",XXS,1.771
70,"3""",5 S,3.334
71,"3""",10 S,3.26
72,"3""",STD,3.068
73,"3""",40,3.068
74,"3""",XS,2.9
75,"3""",80,2.9
76,"3""",160,2.624
77,"3""",XXS,2.3
78,"3-1/2""",5 S,3.834
79,"3-1/2""",10 S,3.76
80,"3-1/2""",STD,3.548
