col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
Super Pinball Magic,,120f6b670682cedb0ca6cc8c25ad410423a3563f,,,,,,,1991,Loricel,,,,,,,,,,,
Pang,,128094fa2999d61466761232b25215e594ad509a,,,,,,,1990,Ocean,,,,,,,,,,,
Dick Tracy,,1c7ac7ab1d571dfa3ee1ad1f2bdd7f9bac9bc8ac,,,,,,,1990,Titus,,,,,,,,,,,
Panza Kick Boxing,,1e1c65e075c8f3e73d83d42ffe81f1311748432c,,,,,,,1991,Loriciel,,,,,,,,,,,
Pro Tennis Tour: Great Courts,,1f9faefca86ed8089fe28f4a1836df106dbf4d12,,,,Pro Tennis Tour - Great Courts,,,1990,Ubisoft,,,,,,,,,,,
Klax,,1fe33ab83f61b729afa42bb56086a7db1c5dc7db,,,,,,,1990,Domark,,a,a 1,,,,,,,,
Burnin' Rubber,,23ebe7747263e3a976267ca2465d29fa77c845a3,,,,,,,1990,Ocean,,,,,,,,,,,
No Exit,,270844966810b91529d70f3c68f41e3986646659,,,,,,,1990,Tomahawk,,,,,,,,,,,
Copter 271,,28e4e4b3443a1aa060180cad2b01d653727f30a2,,,,,,,1991/09,Loriciel,,,,,,,,,,,
Operation Thunderbolt,,2ca4c437d014847b680b1850cadd36efe5672892,,,,,,,1990,Ocean,,,,,,,,,,,
Dick Tracy,,2cf3f0140990548b2b3e7f5f7eaf9d7b6ae678af,,,,,,,1990,Titus,,,,,,,,,,,
Navy Seals,,2e251eb245e6439691ab5c83179ebae6e6285e44,,,,,,,1990,Ocean,,,,,,,,,,,
Mystical,,35dfc292310768a5ba46fe8b641551f6a77a8ffa,,,,,,,1990,Infogrames,,,,,,,,,,,
Skeet Shoot,,360f2a0538bdaf15c3a69bf8eb82dcb358fbe1d5,,,,,,,1990,Trojan,,,,,,,,,,,
Switchblade,,38c29ca5f82393e41b5d641c7b4f337381e18827,,,Switch Blade,,,,1990,Gremlin,,,,,,,,,,,
Tintin on the Moon,,3b3a1f870dff22fa0952f2da93e3dc90daef90cc,,,,,,,1990,Infogrames,,,,,,,,,,,
Fire & Forget II,,3bcd8fe1f519cb8b453d2957f844e84b1e4f28d4,,,,,Fire and Forget 2,,1990,Titus,,,,,,,,,,,
Wild Streets,,3ff09f19471d8bcd878583f74a553048068b6dff,,,,,,,19xx,Titus,,,,,,,,,,,
Burnin' Rubber,,405e341437fab8db477606238af0c20eca2e39ee,,,,,,,1990,Ocean,,a,a 1,,,,,,,,
Batman: The Movie,,425881938d49a810da7ea90ee7b641aed31b0df3,,,,Batman - Movie,Batman: Movie,,1990,Ocean,,a,a 1,,,,,,,,
World of Sports,,486a5d6f6d9878e393323e51b8d0c6832f72428a,,,,,,,1990,Epyx,,,,,,,,,,,
No Exit,,4891370b716c843e94dd784c2eb25b8d2dea4ccd,,,,,,,1990,Tomahawk,,a,a 1,,,,,,,,
Plotting,,49ab2a2788d79228d64441657ded9db736c98a24,,,,,,,1990,Ocean,,,,,,,,,,,
Klax,,49b8a6cf1af1f801fb6109f65674427332005d30,,,,,,,1990,Domark,,,,,,,,,,,
Wild Streets,,4aebabe556a968be0ffe56cc3f3e12886b58cf7f,,,,,,,1990,Titus,,,,,,,,,,,
Copter 271,,4b0a80aa83eaa89f109bad55ae4b067f698faaeb,,,,,,,1991/09,Loriciel,,,,,,,,,,,
Panza Kick Boxing,,4b7e88f1e939172ac5d3b48aadcb978cb1d93f9f,,,,,,,1991,Loriciel,,,,,,,,,,,
Batman: The Movie,,5093c5fa86a403f401a5d0416cf8535d4e6b4e26,,,,Batman - Movie,Batman: Movie,,1990,Ocean,,,,,,,,,,,
Plotting,,5143eff7374e83f798d21fbdb7e952f95faa9e1f,,,,,,,1990,Ocean,,a,a 1,,,,,,,,
Pro Tennis Tour: Great Courts,,541e138f789d4951c2eea9a9810c320b7a9ff6a7,,,,Pro Tennis Tour - Great Courts,,,1990,Ubisoft,,a,a 1,,,,,,,,
Operation Thunderbolt,,567a15d8a892a20ba3c0d3184a0b381b58f0c34c,,,,,,,1990,Ocean,,,,,,,,,,,
Enforcer,,56fa6b5636f9135ddff25bae0cb26bf5acb00022,,,The Enforcer,,Enforcer,,1990,Trojan,,,,,,,,,,,
RoboCop 2,,5eb7e056a19cb69c45c3bc575c5ed196e7fbd1f5,,,,,,,1990,Ocean,,,,,,,,,,,
Skeet Shoot,,61269b204c3188e14da303e7c778271b92dfc4ae,,,,,,,1990,Trojan,,,,,,,,,,,
Batman: The Movie,,644b7671a06a37a8d0aa49a3c2e4cfca30e3c9c1,,,,Batman - Movie,Batman: Movie,,1990,Ocean,,,,,,,,,,,
Navy Seals,,6aab7380067ad224c804793f4e575718ff582042,,,,,,,1990,Ocean,,,,,,,,,,,
Crazy Cars 2,,6b33ab5184c2af55f3b00c4d81138834bbc6fb5e,,,Crazy Cars II,,Crazy Cars 2,,1990,Titus,,,,,,,,,,,
World of Sports,,6bc5271370eb1ee92f809874f7ef346c2117f9cd,,,,,,,1990,Epyx,,,,,,,,,,,
Plotting,,7163872123d61bf575d8a766d9b55ecca0901447,,,,,,,1990,Ocean,,,,,,,,,,,
