col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92
BR-36622/2010,VERITA,BR,BRASIL,PR,0,,DILMA,44.4,JOSE SERRA,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-36622/2010,VERITA,BR,BRASIL,PR,1,,DILMA,45.4,JOSE SERRA,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-37682/2010,VERITA,BR,BRASIL,PR,0,,DILMA,42.8,JOSE SERRA,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-37682/2010,VERITA,BR,BRASIL,PR,1,,DILMA,43.7,JOSE SERRA,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-33622/2010,VERITA,DF,DISTRITO FEDERAL,S,1,,CRINTOVAM BUARQUE,43.2,ALBERTO FRAGA,26.4,ABADIA,26.3,ROLLEMBERG,37.7,CADU VALADARES,1.8,CHICO SANT'ANNA,1.5,MOACIR BUENO,2.4,JORGE ANTUNES,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-33622/2010,VERITA,DF,DISTRITO FEDERAL,G,1,,AGNELO QUEIROZ,43.1,WESLIAN RORIZ,31.4,TONINHO DO PSOL,8.4,EDUARDO BRANDAO,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-33622/2010,VERITA,DF,DISTRITO FEDERAL,PR,1,,MARINA SILVA,35.9,DILMA,34.3,JOSE SERRA,21.1,PLINIO,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-36320/2010,VERITA,DF,DISTRITO FEDERAL,PR,0,,JOSE SERRA,44.3,DILMA,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-36320/2010,VERITA,DF,DISTRITO FEDERAL,PR,1,,JOSE SERRA,45.8,DILMA,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-36320/2010,VERITA,DF,DISTRITO FEDERAL,G,0,,AGNELO QUEIROZ,54.5,WESLIAN RORIZ,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-36320/2010,VERITA,DF,DISTRITO FEDERAL,G,1,,AGNELO QUEIROZ,56.0,WESLIAN RORIZ,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-37881/2010,VERITA,DF,DISTRITO FEDERAL,PR,0,,JOSE SERRA,44.2,DILMA,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-37881/2010,VERITA,DF,DISTRITO FEDERAL,PR,1,,JOSE SERRA,46.0,DILMA,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-37881/2010,VERITA,DF,DISTRITO FEDERAL,G,0,,AGNELO QUEIROZ,53.7,WESLIAN RORIZ,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-37881/2010,VERITA,DF,DISTRITO FEDERAL,G,1,,AGNELO QUEIROZ,54.5,WESLIAN RORIZ,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-40845/2010,VERITA,DF,DISTRITO FEDERAL,PR,0,,DILMA,44.9,JOSE SERRA,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-40845/2010,VERITA,DF,DISTRITO FEDERAL,PR,1,,DILMA,45.8,JOSE SERRA,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-40845/2010,VERITA,DF,DISTRITO FEDERAL,G,0,,AGNELO QUEIROZ,52.4,WESLIAN RORIZ,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-40845/2010,VERITA,DF,DISTRITO FEDERAL,G,1,,AGNELO QUEIROZ,52.6,WESLIAN RORIZ,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-46452/2010,VERITA,GO,GOIAS,S,1,,DEMOSTENES TORRES,64.2,LUCIA VANIA,46.6,PEDRO WILSON,18.6,ADIB ELIAS,13.4,PAULO ROBERTO CUNHA,6.7,RENNER,3.7,ELIAS VAZ,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-46452/2010,VERITA,GO,GOIAS,G,1,,MARCONI PERILLO,44.4,IRIS REZENDE,34.5,VANDERLAN,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-46452/2010,VERITA,GO,GOIAS,PR,1,,DILMA,42.0,JOSE SERRA,35.5,MARINA SILVA,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-50653/2010,VERITA,GO,GOIAS,PR,0,,JOSE SERRA,49.7,DILMA,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-50653/2010,VERITA,GO,GOIAS,PR,1,,JOSE SERRA,51.9,DILMA,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-50653/2010,VERITA,GO,GOIAS,G,0,,MARCONI PERILLO,48.8,IRIS REZENDE,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-50653/2010,VERITA,GO,GOIAS,G,1,,MARCONI PERILLO,51.1,IRIS REZENDE,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
