col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
Crazy Gobbler,,021e78bbc1f2c4ee2e7ca2fa560dd448bdd39798,,,,,,,1982,UA,eu,,,,,,,,,,
Grand Slam Tennis,,03cedd5fd67ff11a4ac74d513f03a2266af89446,,,,,,,1982,UA,"eu,us",a,a ka Tennis Yannick Noah,,,,,,,,
Frogger v1.03,,0514abd6093d81d6bc7f6e5f1d0d5543b08f7157,,,Frogger,,,v 1.03,200x,Amigan Software,,,,,,,,,,,
Crazy Climber,,0c6ce7577a121e7810ec54c5dd180a55dd0ace17,,,,,,,1982,UA,eu,a,a ka Crazy Wall,,,,,,,,
Space Attack,,0d96d79d22237312e217d8da8e2185e9245bdf47,,,,,,,1982,UA,"eu,us",a,a 1,,,,,,,,
Boxing,,0fc3a8a33f2e89b2b32ea0a962effcf3ee430d34,,,,,,,198x,UA,eu,,,,,,,,,,
Capture,,107c864252647a4f3569ff501c8a9a3c7dd6067f,,,,,,,1982,UA,"eu,us",,,,,,,,,,
"End, The",,1148aa1525d7b46640babb50b004c79abec45d3a,,,The End,,"End, The",,1982,UA,eu,a,a ka Space Pirates,,,,,,,,
Soccer,,1a575203b78af7ac992f109add1721dda8872fc1,,,,,,,1982,UA,"eu,us",a,a ka Football,,,,,,,,
Super Bug,,1e7f7b81ecd2f766c94bd5ff17763374fb0318f1,,,,,,,1983,UA,eu,,,,,,,,,,
Dictionary,,23d5d52e3403b3e9cd7864a16abac03508db8c97,,,,,,,198x,UA,,,[English + German],,,,,,,,
Space Attack,,25a27466dc3ffb6013cd4f632947834002c80105,,,,,,,1982,UA,"eu,us",,,,,,,,,,
Red Clash,,25c64048c71a7fc96d6c64afd81b7da61bd20be6,,,,,,,1982,UA,"eu,us",o,o 1,,,,,,,,
American Football,,2feb388ce4a6163fe7856c0d34fa42a0720dd66c,,,,,,,1982,UA,"eu,us",o,o 1,,,,,,,,
Star Chess,,348ca876b1113827d8e7ffb9b2422e863ba92b0f,,,,,,,1982,UA,"eu,us",a,a ka Video Chess,,,,,,,,
American Football,,359e938391b72742643c81228713fac804ff8244,,,,,,,1982,UA,"eu,us",,,,,,,,,,
Dr. Slump,,389259f1505deef5c0fb83f9cf8b0f7fa4ed5d04,,,,,,,1983,Bandai,jp,,,,,,,,,,
Breakaway,,396fe12bd34cc7cd555ad3b9b66f20e56e862385,,,,,,,1982,UA,"eu,us",a,a ka Evasion,,,,,,,,
Super Dimension Fortress Macross,,3d24ab9e42ff44a223bb53c5491dea7f41691df2,,,,,,,1983,Bandai,jp,,,,,,,,,,
Ocean Battle,,444146bf89c3a0e0e010f6a30e675be3f2b023a7,,,,,,,1982,UA,"eu,us",a,a ka Sea Battle,,,,,,,,
Mobile Soldier Gundam,,4b07a88b06008ddfc3676983e826e107caf3ba0f,,,,,,,1983,Bandai,jp,,,,,,,,,,
3D Soccer,,50e799c96be3613f937825c6c722521bc6df0162,,,,,,,1983,UA,eu,,,,,,,,,,
Soccer,,581c7dc666359e76781f3509f6d59b953166eb3a,,,,,,,1982,UA,"eu,us",b,a ka Football; b 1,,,,,,,,
Auto Race,,6182219b2b8c8747f67d627a056ac947754f0978,,,,,,,198x,UA,eu,,,,,,,,,,
Astro Invaders,,629330819642e55340aefd438ac30399fd1689c0,,,,,,,1980,UA,eu,o,o 1,,,,,,,,
Route 16,,6f6d0c0e2ae06112643c63cb6892f8c7269c98a6,,,,,,,1983,UA,eu,,,,,,,,,,
Horse Racing,,72dd8dea83bf9ab7d486931516e99b2209ca0a1d,,,,,,,198x,UA,eu,,,,,,,,,,
Crazy Climber,,75050c7a98ed6bcb1b89a475277d444d38b8bd6c,,,,,,,1982,UA,eu,b,a ka Crazy Wall; b 1,,,,,,,,
Auto Race,,7a6b67d4f83ae01ed39736ab13320dfd9882e546,,,,,,,198x,UA,eu,o,o 1,,,,,,,,
Red Clash,,7a94f4f1768e4c62209cc03adc0fbadb954d2c24,,,,,,,1982,UA,"eu,us",,,,,,,,,,
Golf,,7c9251e42fd03b9c26a13d0e25cdf9a838319a39,,,,,,,198x,UA,eu,,,,,,,,,,
Grand Prix de Monaco,,7dcc1387892fa7275514c91ce584f83a5d3e14d6,,,,,,,1982,UA,eu,,,,,,,,,,
Combat,,87addcdd0fccb5f36066f21938458235d5a37bd0,,,,,,,198x,UA,eu,a,a ka Combat Zone,,,,,,,,
Escape,,87f81511ea5b7a9671fb945cb22bb578bedb47c9,,,,,,,1982,UA,"eu,us",,,,,,,,,,
Alien Invaders,,8d17de81fbf70db8fe32830763c6a940aa9124c3,,,,,,,1983,UA,"eu,us",,,,,,,,,,
Jungler,,8d6e32ab3cc872017c597e61c076330015411435,,,,,,,1982,UA,"eu,us",,,,,,,,,,
Golf,,90c9ffa6c7439af65b045d1eb552ee7da5082f0b,,,,,,,198x,UA,eu,o,o 1,,,,,,,,
Mobile Soldier Gundam,,9754edf8205f478a02dc71f9c30d28938c7cf1b1,,,,,,,1983,Bandai,jp,b,b 1,,,,,,,,
Space Attack,,9e84d1884a002aafb84682eeb9e1cb2f29944d64,,,,,,Language proto,1982,UA,,,,,,,,,,,
