col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
Acidobacteriaceae bacterium URHE0068,HE68,Acidobacteria,Acidobacteria,1380348,JGI IMG,2556921018,Genome,6679185,5623,0.6,3,47,7.0,,21,positive,19,1,1,0,2,63,207,(-)
Bacillus sp. URHB0009,HB09,Firmicutes,Bacilli,1298866,JGI IMG,2522572150,Genome,5377210,5468,0.39,20,66,1.31,,42,negative,58,14,12,2,13,99,71,(+)
Blastococcus sp. URHD0036,HD36,Actinobacteria,Actinobacteria,380356,JGI IMG,2561511235,Genome,5177578,5035,0.74,8,49,2.78,1.55,43,undefined,26,2,28,0,5,72,48,(+)
Bradyrhizobium sp. URHA0002,HA02,Proteobacteria,Alphaproteobacteria,298867,JGI IMG,2522572128,Genome,6972827,6819,0.62,3,48,6.09,6.05,22,positive,40,72,38,2,5,226,41,(-)
Bradyrhizobium sp. URHA0013,HA13,Proteobacteria,Alphaproteobacteria,1380352,JGI IMG,2546825533,Genome,7193102,6937,0.64,3,51,5.73,5.9,26,positive,66,65,31,3,6,242,55,(-)
Bradyrhizobium sp. URHD0069,HD69,Proteobacteria,Alphaproteobacteria,1380355,JGI IMG,2561511129,Genome,6793945,6716,0.61,3,49,5.32,5.93,28,positive,35,47,17,3,1,192,46,(-)
Burkholderia sp. URHA0054,HA54,Proteobacteria,Betaproteobacteria,1298859,JGI IMG,2522572104,Genome,7244804,6498,0.63,10,48,2.43,2.31,25,positive,165,27,15,2,11,159,52,(-)
Caulobacter sp. URHA0033,HA33,Proteobacteria,Alphaproteobacteria,1298862,JGI IMG,2522572103,Genome,5642219,5142,0.69,3,47,2.9,,20,positive,16,7,14,1,4,15,164,(-)
Cellulomonas sp. URHD0024,HD24,Actinobacteria,Actinobacteria,1302620,JGI IMG,2556921112,Genome,4210445,4013,0.71,8,47,2.52,3.57,35,undefined,61,1,10,0,4,46,91,(+)
Cellulomonas sp. URHE0023,HE23,Actinobacteria,Actinobacteria,1380354,JGI IMG,2522572149,Genome,4467545,4141,0.71,5,46,3.57,2.34,40,undefined,67,1,3,0,4,49,82,(+)
Comamonadaceae bacterium URHA0028,HA28,Proteobacteria,Betaproteobacteria,1298913,JGI IMG,2523231025,Genome,4904121,4737,0.68,5,43,6.24,3.1,29,positive,23,92,12,3,5,134,42,(-)
Dongia sp. URHE0060,HE60,Proteobacteria,Alphaproteobacteria,1380391,JGI IMG,2556921676,Genome,6067264,5798,0.64,3,46,6.09,5.96,29,positive,142,9,6,2,1,154,60,(-)
Flavobacterium sp. URHB0058,HB58,Bacteroidetes,Flavobacteria,1298868,JGI IMG,2522572102,Genome,5264264,4682,0.34,8,48,3.33,3.59,19,undefined,9,5,1,1,1,9,152,(-)
Geodermatophilaceae bacterium URHA0031,HA31,Actinobacteria,Actinobacteria,1380393,JGI IMG,2556921099,Genome,5236918,4998,0.74,9,48,2.72,3.28,40,negative,47,8,23,0,5,66,81,(+)
Geodermatophilaceae bacterium URHB0048,HB48,Actinobacteria,Actinobacteria,1380347,JGI IMG,2562617054,Genome,4705879,4600,0.72,7,47,3.6,4.67,42,negative,39,4,17,0,8,68,49,(+)
Geodermatophilaceae bacterium URHB0062,HB62,Actinobacteria,Actinobacteria,1380353,JGI IMG,2556921017,Genome,5093035,4864,0.73,9,48,2.24,3.62,43,negative,55,7,12,1,7,61,61,(+)
Intrasporangiaceae bacterium URHB0013,HB13,Actinobacteria,Actinobacteria,1380370,JGI IMG,2558309151,Genome,4567713,4180,0.71,6,48,2.25,2.55,36,undefined,36,6,5,1,3,60,67,(+)
Lysobacter sp. URHA0019,HA19,Proteobacteria,Gammaproteobacteria,1298861,JGI IMG,2523231029,Genome,3223982,3093,0.67,5,46,5.26,1.87,29,undefined,4,4,3,0,0,15,26,(-)
Marmoricola sp. URHB0036,HB36,Actinobacteria,Actinobacteria,1298863,JGI IMG,2523231010,Genome,4829548,4705,0.7,3,49,3.88,3.99,41,undefined,49,3,19,1,3,41,53,(+)
Mesorhizobium sp. URHA0056,HA56,Proteobacteria,Alphaproteobacteria,1298858,JGI IMG,2522572099,Genome,6306952,6231,0.63,4,52,4.7,4.25,28,positive,171,13,9,2,6,180,61,(-)
Mesorhizobium sp. URHB0007,HB07,Proteobacteria,Alphaproteobacteria,1380351,JGI IMG,2558860968,Genome,6069513,5927,0.63,4,49,5.01,5.58,28,positive,159,9,13,0,4,159,68,(-)
Mesorhizobium sp. URHC0008,HC08,Proteobacteria,Alphaproteobacteria,1380350,JGI IMG,2556921042,Genome,7106298,6817,0.63,3,51,5.12,5.07,24,positive,224,5,11,1,6,203,75,(-)
Microbacterium sp. URHA0036,HA36,Actinobacteria,Actinobacteria,1298860,JGI IMG,2522572100,Genome,4034872,3890,0.68,6,46,1.82,2.45,40,undefined,71,6,5,0,7,94,50,(+)
Micromonosporaceae bacterium URHE0070,HE70,Actinobacteria,Actinobacteria,1380349,JGI IMG,2558860141,Genome,7372737,6631,0.7,10,47,4.16,,35,negative,75,2,16,1,2,76,177,(+)
Mycobacterium sp. URHB0044,HB44,Actinobacteria,Actinobacteria,1380386,JGI IMG,2556921043,Genome,7485871,7339,0.67,8,61,4.36,4.34,29,positive,51,11,61,0,10,69,51,(+)
Mycobacterium sp. URHD0025,HD25,Actinobacteria,Actinobacteria,1298864,JGI IMG,2522572101,Genome,6657122,6402,0.66,7,47,3.83,3.87,30,positive,33,9,61,0,11,74,37,(+)
Nocardioides sp. URHA0020,HA20,Actinobacteria,Actinobacteria,1380392,JGI IMG,2558860971,Genome,4684622,4479,0.72,12,46,6.28,5.41,40,undefined,35,6,17,0,3,33,55,(+)
Nocardioides sp. URHA0032,HA32,Actinobacteria,Actinobacteria,1380388,JGI IMG,2558860165,Genome,4560838,4578,0.72,5,47,4.82,4.44,42,undefined,32,1,15,0,5,57,56,(+)
Paenibacillus sp. URHA0014,HA14,Firmicutes,Bacilli,1380372,JGI IMG,2556921041,Genome,7371174,6641,0.45,23,80,1.43,,35,negative,176,6,2,2,2,35,296,(+)
Pseudomonas sp. URHB0015,HB15,Proteobacteria,Gammaproteobacteria,1380376,JGI IMG,2556921040,Genome,6208105,5722,0.61,8,58,0.96,2.52,36,positive,33,22,12,2,19,164,38,(-)
Rhodospirillales bacterium URHD0017,HD17,Proteobacteria,Alphaproteobacteria,1380357,JGI IMG,2590828823,Genome,8179139,8035,0.66,3,51,7.05,,29,positive,59,143,26,2,2,292,61,(-)
Rhodospirillales bacterium URHD0088,HD88,Proteobacteria,Alphaproteobacteria,1380394,JGI IMG,2546825534,Genome,6646877,6447,0.67,9,52,7.49,3.69,35,undefined,62,28,14,3,2,318,56,(-)
Solirubrobacter sp. URHD0082,HD82,Actinobacteria,Thermoleophilia,1298857,JGI IMG,2522572155,Genome,6640086,6557,0.72,3,76,6.11,4.95,40,negative,78,3,12,0,3,74,112,(+)
Solirubrobacterales bacterium URHD0059,HD59,Actinobacteria,Thermoleophilia,1380390,JGI IMG,2558860160,Genome,6572728,6463,0.72,3,48,4.74,6.29,33,negative,107,2,18,1,1,81,88,(+)
Sphingomonas sp. URHD0007,HD07,Proteobacteria,Alphaproteobacteria,1298856,JGI IMG,2523231013,Genome,2934896,2941,0.65,3,46,6.3,6.22,30,positive,11,2,3,0,1,5,48,(-)
Sphingomonas sp. URHD0057,HD57,Proteobacteria,Alphaproteobacteria,1380389,JGI IMG,2556921109,Genome,2785891,2889,0.65,3,45,6.78,,29,positive,5,4,3,0,0,7,23,(-)
Staphylococcus sp. URHA0057,HA57,Firmicutes,Bacilli,1380374,JGI IMG,2556921095,Genome,2549675,2561,0.31,13,46,0.75,,31,undefined,16,6,2,1,5,44,18,(+)
Streptomyces sp. URHA0041,HA41,Actinobacteria,Actinobacteria,1380346,JGI IMG,2561511090,Genome,8015544,7157,0.72,14,59,4.04,,22,positive,62,4,14,1,4,66,181,(+)
Variovorax sp. URHB0020,HB20,Proteobacteria,Betaproteobacteria,1380385,JGI IMG,2556921005,Genome,6632341,6391,0.65,12,50,8.33,7.13,29,positive,59,136,23,3,9,189,56,(-)
