col0,col1,col2,col3,col4,col5
GET,/profile(.:format),profiles,show,profile,{}
PATCH,/profile(.:format),profiles,update,,{}
PUT,/profile(.:format),profiles,update,,{}
DELETE,/profile(.:format),profiles,destroy,,{}
POST,/profile(.:format),profiles,create,,{}
GET,/products(.:format),products,index,products,{}
GET,/products/:id(.:format),products,show,product,{}
GET,/admin/brands(.:format),admin/brands,index,admin_brands,{}
POST,/admin/brands(.:format),admin/brands,create,,{}
GET,/admin/brands/:id(.:format),admin/brands,show,admin_brand,{}
PATCH,/admin/brands/:id(.:format),admin/brands,update,,{}
PUT,/admin/brands/:id(.:format),admin/brands,update,,{}
DELETE,/admin/brands/:id(.:format),admin/brands,destroy,,{}
POST,/comments/:id/upvote(.:format),comments,upvote,upvote_comment,{}
POST,/comments/:id/downvote(.:format),comments,downvote,downvote_comment,{}
GET,/comments/recent(.:format),comments,recent,recent_comments,{}
GET,/comments(.:format),comments,index,comments,{}
POST,/comments(.:format),comments,create,,{}
GET,/comments/:id(.:format),comments,show,comment,{}
PATCH,/comments/:id(.:format),comments,update,,{}
PUT,/comments/:id(.:format),comments,update,,{}
DELETE,/comments/:id(.:format),comments,destroy,,{}
GET,/posts(.:format),posts,index,posts,{}
POST,/posts(.:format),posts,create,,{}
GET,/posts/:id(.:format),posts,show,post,"{""id"":""(?-mix:[0-9A-Za-z\\-.]+)""}"
PATCH,/posts/:id(.:format),posts,update,,"{""id"":""(?-mix:[0-9A-Za-z\\-.]+)""}"
PUT,/posts/:id(.:format),posts,update,,"{""id"":""(?-mix:[0-9A-Za-z\\-.]+)""}"
DELETE,/posts/:id(.:format),posts,destroy,,"{""id"":""(?-mix:[0-9A-Za-z\\-.]+)""}"
GET,/photos/:id(.:format),photos,view,,{}
GET,/photos/:id/comments(.:format),photos,comments,photo_comments,{}
,/rack/app,,,,{}
GET,/,welcome,index,root,{}
