col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
2020-10-22,WWF,GLWD-level1,GLWD (lakes and wetlands),2004.0,2004.0,2004.0,vector,categorical,Global,primary,wetlands,,"Level 1 (GLWD-1) comprises the 3067 largest lakes (area ≥ 50 km2) and 654 largest reservoirs (storage capacity ≥ 0.5 km3) worldwide, and includes extensive attribute data",GLWD-level1,https://www.worldwildlife.org/publications/global-lakes-and-wetlands-database-large-lake-polygons-level-1,
2020-10-22,WWF,GLWD-level2,GLWD (lakes and wetlands),2004.0,2004.0,2004.0,vector,categorical,Global,primary,wetlands,,"Level 2 (GLWD-2) comprises permanent open water bodies with a surface area ≥ 0.1 km2 excluding the water bodies contained in GLWD-1. The approximately 250,000 polygons of GLWD-2 are attributed as lakes, reservoirs and rivers.",GLWD-level2,https://www.worldwildlife.org/publications/global-lakes-and-wetlands-database-small-lake-polygons-level-2,
2020-10-22,WWF,GLWD-level3,GLWD (lakes and wetlands),2004.0,2004.0,2004.0,vector,categorical,Global,primary,wetlands,,"Level 3 (GLWD-3) comprises lakes, reservoirs, rivers and different wetland types in the form of a global raster map at 30-second resolution",GLWD-level3,https://www.worldwildlife.org/publications/global-lakes-and-wetlands-database-lakes-and-wetlands-grid-level-3,
2020-10-28,CEC,North America land cover 2015,North America LC - CEC,2015.0,2015.0,2015.0,raster,categorical,North America,primary,various,,"19 land cover types, various years available at website",cec, http://www.cec.org/files/atlas,
2020-10-28,CEC,North America land cover 2010,North America LC - CEC,2010.0,2010.0,2010.0,raster,categorical,North America,primary,various,,"19 land cover types, various years available at website",cec, http://www.cec.org/files/atlas,
2021-04-13,StatsCan,2016 census data - Agricultural Regions,Agricultural Regions,2016.0,2016.0,2016.0,vector,categorical,Canada,ancillary,various,,,lcar000b16a_e,https://www12.statcan.gc.ca/census-recensement/2011/geo/bound-limit/bound-limit-2016-eng.cfm,
2021-04-13,StatsCan,2016 census data - Economic Regions,Economic Regions,2016.0,2016.0,2016.0,vector,categorical,Canada,ancillary,various,,,ler_000b16a_e,https://www12.statcan.gc.ca/census-recensement/2011/geo/bound-limit/bound-limit-2016-eng.cfm,
2021-04-13,StatsCan,2016 census data - Province/Territory,Province/Territory,2016.0,2016.0,2016.0,vector,categorical,Canada,ancillary,various,,,lpr_000b16a_e,https://www12.statcan.gc.ca/census-recensement/2011/geo/bound-limit/bound-limit-2016-eng.cfm,
2021-04-16,Open Canada,National Hydro Network - NHN - GeoBase Series,National Hydro Network,2016.0,2016.0,2016.0,vector,categorical,Canada,primary,various,,"Rivers, watersheds",nhn_rhn_10ca000_shp_en,https://open.canada.ca/data/en/dataset/a4b190fe-e090-4e6d-881e-b87956c07977,
2021-04-21,Natural Resources Canada ,2010 Land Cover of Canada ,LC of Canada,2010.0,2010.0,2010.0,raster,categorical,Canada,primary,various,,,CanadaLandcover2010,https://open.canada.ca/data/en/dataset/c688b87f-e85f-4842-b0e1-a8f79ebf1133,
