col0,col1,col2
61,19,cookies cakes
104,13,spices seasonings
94,7,tea
38,1,frozen meals
5,13,marinades meat preparation
11,11,cold flu allergy
98,7,juice nectars
116,1,frozen produce
120,16,yogurt
115,7,water seltzer sparkling water
31,7,refrigerated
119,1,frozen dessert
74,17,dish detergents
56,18,diapers wipes
103,19,ice cream toppings
35,12,poultry counter
79,1,frozen pizza
63,9,grains rice dried goods
40,8,dog food care
20,11,oral hygiene
49,12,packaged poultry
47,11,vitamins supplements
3,19,energy granola bars
41,8,cat food care
127,11,body lotions soap
121,14,cereal
81,15,canned jarred vegetables
123,4,packaged vegetables fruits
107,19,chips pretzels
131,9,dry pasta
106,12,hot dogs bacon sausage
69,15,soup broth bouillon
100,21,missing
64,7,energy sports drinks
78,19,crackers
83,4,fresh vegetables
58,1,frozen breads doughs
66,6,asian foods
87,17,more household
14,20,tofu meat alternatives
105,13,doughs gelatins bake mixes
22,11,hair care
134,5,specialty wines champagnes
23,19,popcorn jerky
111,17,plates bowls cups flatware
128,3,tortillas flat bread
50,19,fruit vegetable snacks
9,9,pasta sauce
96,20,lunch meat
92,18,baby food formula
89,13,salad dressing toppings
88,13,spreads
130,14,hot cereal pancake mixes
26,7,coffee
77,7,soft drinks
65,11,protein meal replacements
12,9,fresh pasta
95,15,canned meat seafood
19,13,oils vinegars
7,12,packaged meat
6,2,other
97,13,baking supplies decor
2,16,specialty cheeses
112,3,bread
10,17,kitchen supplies
51,13,preserved dips spreads
13,20,prepared meals
75,17,laundry
70,11,digestion
93,3,breakfast bakery
34,1,frozen meat seafood
62,5,white wines
21,16,packaged cheese
29,13,honeys syrups nectars
45,19,candy chocolate
118,11,first aid
4,9,instant foods
108,16,other creams cheeses
37,1,ice cream ice
109,11,skin care
91,16,soy lactosefree
24,4,fresh fruits
67,20,fresh dips tapenades
132,11,beauty
25,11,soap
129,1,frozen appetizers sides
46,19,mint gum
16,4,fresh herbs
52,1,frozen breakfast
17,13,baking ingredients
73,11,facial care
122,12,meat counter
42,1,frozen vegan vegetarian
59,15,canned meals beans
126,11,feminine care
33,6,kosher foods
1,20,prepared soups salads
8,3,bakery desserts
82,18,baby accessories
114,17,cleaning products
124,5,spirits
117,19,nuts seeds dried fruit
72,13,condiments
110,13,pickled goods olives
85,17,food storage
44,11,eye ear care
80,11,deodorants
101,17,air fresheners candles
84,16,milk
30,6,latino foods
27,5,beers coolers
90,7,cocoa drink mixes
48,14,breakfast bars pastries
133,11,muscles joints pain relief
53,16,cream
28,5,red wines
68,10,bulk grains rice dried goods
43,3,buns rolls
125,19,trail mix snack mix
57,14,granola
15,12,packaged seafood
55,11,shave needs
36,16,butter
54,17,paper goods
102,18,baby bath body care
60,17,trash bags liners
99,15,canned fruit applesauce
18,10,bulk dried fruits vegetables
39,12,seafood counter
71,16,refrigerated pudding desserts
113,1,frozen juice
86,16,eggs
32,4,packaged produce
76,6,indian foods
