col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
1,STEWARDS,46,ARS-IAWC-IAWC410,ARS,Land,70801050907,US:19:015,SRID=4269;POINT(-93.7590729 41.9505493),RM:OWW04440-0298:040825:RR:VEG_PROL,RIPDIST_COND,NARS_WQX,Riparian disturbance condition,National Rivers and Streams Assessment,FDEP Water Quality Standards Program,"(SOP) for Determination of Biological Indices, LT 7200,  Stream Condition Index (SCI) Determination","U.S. Environmental Protection Agency. Washington, DC 20460",18-DEC-13,EPA/841/D-13/001,0-37,Medium,,"SOURCE=""PhysicalHabitat_Condition""",12-JAN-1997
1,STEWARDS,36,ARS-IAWC-IAWC225,ARS,Stream,7100004,US:19:015,SRID=4269;POINT(-93.6982205 41.9607224),RM:OWW04440-0298:040825:RR:BANK_STR,L_XCMGW,Habitat,Log sum of Woody,DEP-SOP-001/01 FT 3000,Aquatic Ecology and Quality Assurance Section,,Lewis and Clark Community College,Need 21-JAN-23,PREDATOR 2008,,-0.1323718,,"IndexTypeName=""Log sum of Woody Canopy+Mid+Ground layer areal cover proportion used for condition"";L_XCMGW=""-0.132371831"";SOURCE=""PhysicalHabitat_Condition""",31-JUN-2018
2,NWIS,1353690,USGS-05425700,USGS-WI,Stream,7090002,US:55:021,SRID=4269;POINT(-89.0320546 43.3466571),RM:OWW04440-0298:040825:RR:BANK_STL,BEDSED_COND,Biological,Bed sediment condition,Stream Condition Index,FDEP Bureau of Assessment and Restoration,Contains the framework for the Stream Condition Index and summarizes the data and methods used to develop the index based on data collected in 1992-1994.,"MDNR, Enviromental Services Program",18-FEB-17,Habitat Score,,Good,,"IndexTypeName=""Bed sediment condition",25-APR-01
2,NWIS,1360035,USGS-431925089002701,USGS-WI,Well,7090102,US:55:021,SRID=4269;POINT(-89.0076094 43.3236024),RM:OWW04440-0298:040825:RR:CHAN_ALT,INSTRMCVR_COND,Biological,Instream cover condition,DEP-SOP-001/01 FT 3000 Aquatic Habitat Characterization,"Leska S. Fore - Statistical Design, Inc.","(SOP) for Determination of Biological Indices, LT 7200, Stream Condition Index (SCI) Determination",Lewis and Clark Community College,22-APR-15,EPA/841/D-13/001,,Fair,,"IndexTypeName=""Instream cover condition",02-MAY-2016
2,NWIS,12312312,USGS-433830088977331,USGS,Well,10090003,CN:55:013,,PHB:OWW04440-0359:1:PCT_FAST,L_XFC_NAT,Habitat,Burrower % Individuals,Streams Assessment,DEAR Aquatic Ecology,"This National Rivers and Streams Assessment 2008-2009: A Collaborative Survey (NRSA) presents the results of an unprecedented sampling effort undertaken by the U.S. Environmental Protection Agency and its state and tribal partners. It provides information on the ecological condition of the nations rivers and streams and the key stressors that affect them, both on a national and an ecoregional scale. It also discusses change in water quality conditions in streams sampled for an earlier study, the Wadeable Streams Assessment of 2004.","U.S. Environmental Protection Agency. Washington, DC 20460",09-NOV-03,SCI_2007,,-0.1976928,,"IndexTypeName=""Log sum of non-anthropogenic fish areal cover types used for condition"";L_XFC_NAT=""-0.19769284"";SOURCE=""PhysicalHabitat_Condition""",27-JUN-16
2,NWIS,61233184,USGS-11421000,USGS,Stream,18020107,US:06:115,SRID=4269;POINT(-121.5249647 39.1757251),PHB:OWW04440-0359:1:PCT_SLOW,LRBS_USE,Habitat,Log sum of non-anthropogenic fish,DEP-SOP-001/01 FT 3000 Aquatic Habitat Characterization,"Office of Wetlands, Oceans and Watersheds",Model,Lewis and Clark Community College,28-FEB-13,LVI2008_Avg,,-1.5394739,,"IndexTypeName=""Log relative bed stability to use in assessing BEDSED_COND",07-OCT-16
3,STORET,777,organization-siteId2,organization,siteType,0,XX:44:555,SRID=4269;POINT(-90.8989 43.333),RM:OWW04440-0298:040825:RR:CHAN_FLS,OE_COND2,NARS_WQX,Alternate condition class,Development of the Stream Condition Index (SCI),U.S. Environmental Protection Agency,Contains the framework for the Stream Condition Index and summarizes the data and methods used to develop the index based on data collected in 1992-1994.,"U.S. Environmental Protection Agency. Washington, DC 20460",08-FEB-16,Biorecon_1992,,O/E < 0.9,,"SOURCE=""Benthics_Counts""",18-FEB-16
3,STORET,888,organization-siteId,organization,siteType,0,XX:44:555,SRID=4269;POINT(-89.8989 43.333),RM:OWW04440-0298:040825:RR:SEDI_DEP,BENT_MMI_COND,Biological,Condition class based on benthic MMI score,Idaho Small Stream Ecological Assessment Framework,Quality Assurance Section,an ecoregional scale. It also discusses change in water quality conditions in the Wadeable Streams Assessment,"MDNR, Enviromental Services Program",17-OCT-10,Habitat Score,0-12,Poor,,"SOURCE=""Benthics_Counts""",10-NOV-2018
3,STORET,999,organization-siteId3,organization,siteType,0,XX:44:555,SRID=4269;POINT(-76.8989 43.333),RM:OWW04440-0298:040825:RR:EPIF_SUB,PERI_MMI_COND,Biological,Periphyton assemblage,National Rivers and Streams Assessment,Office of Research and Development,"(SOP) for Determination of Biological Indices, LT 7200, Stream Condition Index (SCI) Determination",FL Dept of Environmental Protection,28-MAY-14,EPA/841/D-13/001,0-11,Poor,A,"IndexTypeName=""Periphyton assemblage condition",22-JUN-15
3,STORET,1383,WIDNR_WQX-113086,WIDNR_WQX,Stream,70900011105,US:55:027,SRID=4269;POINT(-89.009255 43.348562),RM:OWW04440-0298:040825:RR:FLOWTYPE,MMI_PERI_PLNLOW,NARS_WQX,Periphyton multimetric,RiverWatch  Manual,DEAR Aquatic Ecology,Standard Operating Procedure,"U.S. Environmental Protection Agency. Washington, DC 20460",28-FEB-13,PREDATOR 2008,,38.5017834,,"IndexTypeName=""Periphyton multimetric index score for Plains and Lowlands"";MMI_PERI_PLNLOW=""38.50178349"";SOURCE=""Periphyton_Condition""",01-JAN-01
