col0,col1,col2,col3,col4,col5,col6
20th Century Ford,http://www.20thcenturyford.net,1090 Ford Way,Blackfoot,ID,83221,(208) 785-1900
Courtesy Ford Lincoln  Inc.,http://www.courtesyfordpocatello.com,1600 Yellowstone,Pocatello,ID,83202,(208) 238-1600
Broadway Ford Inc,http://www.broadway-ford.net,980 West Broadway,Idaho Falls,ID,83402,(208) 525-8500
Lithia Ford Lincoln of Boise,http://www.lithiafordboise.com,8853 West Fairview Ave.,Boise,ID,83704,(877) 332-6349
Kendall Ford,http://www.kendallford.net,250 East Overland,Meridian,ID,83642,855-609-4014
Corwin Ford,http://www.corwinfordnampa.net,5707 East Gate Boulevard,Nampa,ID,83687,(208) 466-4615
Goode Motor Ford,http://www.goodemotors.com,1096 E. Main Street,Burley,ID,83318,(800) 590-3673
Bob Bate Ford,http://www.bateford.com,126 N Main/P.O. Box 630,Cascade,ID,83611,(208) 382-4213
Parker Ford Lincoln,http://www.parkerfordcda.net,315 Clayton Avenue,Coeur D Alene,ID,83815,(208) 664-9211
Silver Creek Ford,http://www.silvercreekfordhailey.com,920 South Main,Hailey,ID,83333,(208) 788-2216
Woody Smith Ford,http://www.woodysmithford.com,535 S. Yellowstone Highway,Rexburg,ID,83440,(208) 356-3636
Joe Hall Ford Lincoln,http://www.joehallford.net,1617 21st Street,Lewiston,ID,83501,(208) 746-2391
Bear Lake Motor Co,http://www.bearlakeford.com,867 Washington,Montpelier,ID,83254,(208) 847-0421
Todd Hunzeker Ford  Inc.,http://www.toddhunzekerford.net,166 West 2nd South,Soda Springs,ID,83276,(208) 547-3324
Mountain Home Auto Ranch,http://www.mountainhomeford.net,2800 American Legion Blvd.,Mountain Home,ID,83647,(888) 229-8919
West Motor Ford  Inc.,http://www.westmotorford.com,801 North State Street,Preston,ID,83263,(208) 852-3853
Salmon River Motors  Inc.,http://www.salmonrivermotorsidaho.com,Highway 93 South,Salmon,ID,83467,(208) 756-4211
Rokstad Ford,http://www.rokstadfordsales.com,476600 Highway 95 North,Sandpoint,ID,83864,(208) 263-3127
Middlekauff Ford Lincoln,http://www.middlekauffflm.com,1243 Blue Lakes Blvd. North,Twin Falls,ID,83301,(208) 736-2480
Hometown Ford,http://www.hometownford.com,602 Highway 95,Weiser,ID,83672,(208) 549-3310
