col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41
subject,,,,cell_subset,,,gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vaccine,vaccine,pathogen,pathogen,pathogen
evidence,,,,,label,label,,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,url,label,label,label,label,label,label,label,file,file,,,,,
role,,,,tissue,observed,observed,gene_biomarker,observed,background,measured,background,background,observed,observed,background,background,background,observed,background,background,background,background,background,background,background,background,reference,observed,observed,observed,observed,background,background,background,observed,observed,vaccine,vaccine,pathogen,pathogen,pathogen
mime_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numeric_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
display_text,,,,tissue type,response component (original gene symbol),response component (original) count,response component (gene symbol),response component count,response behavior type,response behavior,comparison,subgroup,time point,time point units,baseline time,vaccine year (influenza only),exposure material - additional,cohort,adjuvant,route,publication reference (PMID),publication year,"signature source figure, table or text section",signature source url,comments and additional details,gene signature is a model,Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>,age group,age min.,age max.,age units,ID of observation within its own submission,Uniq ID of observation within its submission type,row key,response component (genes) file, response components including non-HGNC genes,exposure material 1 (VO),exposure material 2 (VO),target pathogen 1,target pathogen 2,target pathogen 3
,hipc_gene_21357945_6,2011.04,hipc_gene_21357945_6,peripheral blood mononuclear cell,E2F2,5,E2F2,5,gene expression,positively correlated,titer response index,low responders,3,Days,time of vaccination (first dose),2008,,Caucasian male adults (18-40),,,21357945,2011,Table 1,<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/' target='_blank'>table/tbl1</a>,Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged.,N,https://www.ncbi.nlm.nih.gov/pubmed/21357945,adults,18,40,years,6,13,21357945_6_13,hipc_gene_sig_21357945_6.txt,hipc_gene_sig_complete_21357945_6.txt,VO_0000045,VO_0000046,influenza A virus (A/Brisbane/59/2007(H1N1)),influenza A virus (A/Brisbane/10/2007(H3N2)),influenza B virus (B/Florida/4/2006)
,hipc_gene_21357945_6,2011.04,hipc_gene_21357945_6,peripheral blood mononuclear cell,PRDX2,5,PRDX2,5,gene expression,positively correlated,titer response index,low responders,3,Days,time of vaccination (first dose),2008,,Caucasian male adults (18-40),,,21357945,2011,Table 1,<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/' target='_blank'>table/tbl1</a>,Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged.,N,https://www.ncbi.nlm.nih.gov/pubmed/21357945,adults,18,40,years,6,13,21357945_6_13,hipc_gene_sig_21357945_6.txt,hipc_gene_sig_complete_21357945_6.txt,VO_0000045,VO_0000046,influenza A virus (A/Brisbane/59/2007(H1N1)),influenza A virus (A/Brisbane/10/2007(H3N2)),influenza B virus (B/Florida/4/2006)
,hipc_gene_21357945_6,2011.04,hipc_gene_21357945_6,peripheral blood mononuclear cell,PRDX3,5,PRDX3,5,gene expression,positively correlated,titer response index,low responders,3,Days,time of vaccination (first dose),2008,,Caucasian male adults (18-40),,,21357945,2011,Table 1,<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/' target='_blank'>table/tbl1</a>,Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged.,N,https://www.ncbi.nlm.nih.gov/pubmed/21357945,adults,18,40,years,6,13,21357945_6_13,hipc_gene_sig_21357945_6.txt,hipc_gene_sig_complete_21357945_6.txt,VO_0000045,VO_0000046,influenza A virus (A/Brisbane/59/2007(H1N1)),influenza A virus (A/Brisbane/10/2007(H3N2)),influenza B virus (B/Florida/4/2006)
,hipc_gene_21357945_6,2011.04,hipc_gene_21357945_6,peripheral blood mononuclear cell,PTEN,5,PTEN,5,gene expression,positively correlated,titer response index,low responders,3,Days,time of vaccination (first dose),2008,,Caucasian male adults (18-40),,,21357945,2011,Table 1,<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/' target='_blank'>table/tbl1</a>,Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged.,N,https://www.ncbi.nlm.nih.gov/pubmed/21357945,adults,18,40,years,6,13,21357945_6_13,hipc_gene_sig_21357945_6.txt,hipc_gene_sig_complete_21357945_6.txt,VO_0000045,VO_0000046,influenza A virus (A/Brisbane/59/2007(H1N1)),influenza A virus (A/Brisbane/10/2007(H3N2)),influenza B virus (B/Florida/4/2006)
