col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
1,EU1,5.8,B1,46.9,0.36527,-2.8,0,0.5783,31,0.9677,6,5.06,andro,1,1.5139,0.360790012550366,0,1,1,0,0,2,0,1,0,0
2,EU2,6.2,B6,82.2,0.37125,13.6,0,0.6755,26,0.9127,9,5.58,tabanid,10,1.4983,0.390842955349396,0,0,0,0,5,5,0,0,1,0
3,EU3,6.2,B7,46.8,0.36937,8.4,0,0.1966,6,1.0063,12,6.48,tabanid,18,1.5062,0.331894834683309,1,1,0,0,3,5,0,0,1,0
4,EU4,6.2,D6,34.4,0.37137,13.9,1,1.3413,4,1.0193,3,3.5,elong + andro,33,1.5036,0.322093641926044,0,2,1,1,3,7,0,1,0,1
5,EU5,5.9,Romero_Tray1_A1,51.4,0.37,10.1,4,0.8255,11,0.9035,10,3.34,control,20,1.502,0.398468708388815,3,13,1,1,2,20,0,0,0,0
6,EU6,5.8,D7,59.6,0.37327,19.1,2,0.4996,40,0.9469,8,-1.12,elong + andro,8,1.5145,0.374777154176296,0,0,1,0,0,1,0,1,0,1
7,EU7,5.9,A6,54.7,0.3662,-0.3,0,0.4121,22,1.055,2,7.54,leech,21,1.4987,0.296056582371389,0,1,1,0,3,5,1,0,0,0
8,EU8,5.9,C6,17.8,0.37384,20.6,0,0.4392,3,1.027,1,6.18,elong + leech,9,1.483,0.307484828051247,1,1,0,1,4,7,1,0,0,1
9,EU9,5.9,A2,43.8,0.36758,3.5,3,0.4636,16,0.9984,15,0.633333333333332,control,14,1.4692,0.320446501497414,1,9,0,1,5,16,0,0,0,0
10,EU10,5.8,C1,25.8,0.3666,0.8,1,0.6047,21,0.9676,7,7.8,elong,15,1.4885,0.349949613705072,1,0,0,0,4,5,0,0,0,1
11,EU11,6.1,C2,43.5,0.3656,-1.9,0,0.2599,33,0.9428,11,2.0,elong,11,1.4828,0.364175883463717,1,7,1,0,4,13,0,0,0,1
12,EU12,6.1,B2,43.0,0.37113,13.2,3,0.3769,35,0.9509,13,3.54,andro,38,1.487,0.360524546065905,1,8,0,0,1,10,0,1,0,0
13,EU13,6.0,C7,45.0,0.36562,-1.9,0,0.552,1,1.1099,4,4.78,elong + leech,34,1.5945,0.303919724051427,0,4,0,0,5,9,1,0,0,1
14,EU14,6.1,A7,30.3,0.36376,-7.0,1,0.5848,18,0.9956,16,1.22,leech,16,1.594,0.375407779171895,0,3,1,1,1,6,1,0,0,0
15,EU15,5.8,D1,68.7,0.37357,19.9,0,0.5857,12,0.8886,5,5.525,elong + tab,29,1.5112,0.411990471148756,0,5,1,0,3,9,0,0,1,1
16,EU16,6.1,D2,48.6,0.37066,12.0,2,0.4388,28,0.9341,14,5.76,elong + tab,2,1.4981,0.37647687070289,1,9,1,1,3,15,0,0,1,1
17,EU17,5.8,B3,34.3,0.36879,6.8,1,0.5124,7,0.8918,33,2.66,andro,5,1.4951,0.403518159320447,0,1,0,0,5,6,0,1,0,0
18,EU18,5.9,D8,47.7,0.36362,-7.4,3,0.7781,25,0.9135,23,3.44,elong + andro,28,1.4965,0.389575676578684,0,4,1,1,2,8,0,1,0,1
19,EU19,5.8,B8,50.6,0.36681,1.4,0,0.6549,34,0.9766,34,3.56,tabanid,17,1.4645,0.333151246159099,0,4,0,0,1,5,0,0,1,0
