col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Interested,Distressed,Excited,Upset,Strong,Guilty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,I sometimes feel resentful when I don't get my way.,"On a few occasions, I have given up doing something because I thought too little of my ability.",There have been times when I felt like rebelling against people in authority even though I knew they were right.,"No matter who I'm talking to, I'm always a good listener.","I can remember ""playing sick"" to get out of something.",There have been occasions when I took advantage of someone.,I'm always willing to admit it when I make a mistake.,I sometimes try to get even rather than forgive and forget.,"I am always courteous, even to people who are disagreeable.",I have never been irked when people expressed ideas very different from my own.,There have been times when I was quite jealous of the good fortune of others.,I am sometimes irritated by people who ask favors of me.,I have never deliberately said something that hurt someone's feelings.,id,id - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID33""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29""}","{""ImportId"":""QID28""}","{""ImportId"":""QID27""}","{""ImportId"":""QID26""}","{""ImportId"":""QID25""}","{""ImportId"":""QID24""}","{""ImportId"":""QID23""}","{""ImportId"":""QID22""}","{""ImportId"":""QID21""}","{""ImportId"":""QID20""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID17""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""id""}","{""ImportId"":""id_6990fad5ac344e7496d68209Topics""}"
2018-08-09 11:52:00,2018-08-09 11:54:15,0,100,135,1,2018-08-09 11:54:16,R_3Jr4eeQy43NsXlH,anonymous,EN,2,1,1,5,2,4,3,5,2,2,5,3,4,1,2,2,3,3,1,3,2,2,2,2,1,2,1,2,1,1,1,2,1,7180,
2018-08-09 11:56:06,2018-08-09 11:57:56,0,100,110,1,2018-08-09 11:57:57,R_3CnYliJjnZ0TwNr,anonymous,EN,2,2,2,4,1,1,2,4,1,2,3,3,3,3,2,2,3,3,3,4,1,1,2,2,2,2,2,2,2,2,1,1,2,8538,
2018-08-09 11:57:31,2018-08-09 11:59:06,0,100,95,1,2018-08-09 11:59:07,R_1jEdICMhqDp6Vho,anonymous,EN,1,3,1,1,3,1,2,4,1,5,3,1,1,1,1,3,2,3,4,1,1,1,1,2,1,1,2,1,2,2,1,1,2,6593,
2018-08-09 11:57:37,2018-08-09 11:59:36,0,100,119,1,2018-08-09 11:59:36,R_bwMsPV70ucBjLEZ,anonymous,EN,2,3,4,4,4,2,4,4,4,5,3,4,4,3,4,3,5,3,5,4,1,1,1,2,1,1,1,1,2,2,2,1,2,1572,
2018-08-09 12:28:50,2018-08-09 12:30:21,0,100,91,1,2018-08-09 12:30:21,R_aWfTNJpKFxvpFLj,anonymous,EN,1,2,1,2,5,1,1,1,5,1,1,5,1,5,1,2,3,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2754,
2018-08-09 11:52:03,2018-08-09 12:49:15,0,100,3432,1,2018-08-09 12:49:15,R_1CkmtwiE9GrExAE,anonymous,EN,3,1,4,1,5,1,1,2,3,5,2,1,2,4,1,5,4,3,3,1,1,1,1,2,1,1,2,2,2,1,1,1,2,3991,
2018-08-09 13:55:27,2018-08-09 13:59:21,0,100,233,1,2018-08-09 13:59:21,R_2cwS69HlvwSr8vn,anonymous,EN,2,5,3,5,4,5,4,5,3,4,2,2,5,3,5,1,1,5,4,4,2,1,2,1,2,2,1,2,1,1,1,2,1,2559,
2018-08-09 15:08:49,2018-08-09 15:13:36,0,100,287,1,2018-08-09 15:13:37,R_1LAQXQxq3x9arn6,anonymous,EN,1,4,3,4,3,4,4,3,3,3,2,3,5,2,4,2,2,4,3,4,1,1,1,2,1,1,2,2,2,2,2,2,1,3216,
2018-08-09 15:29:06,2018-08-09 15:30:36,0,100,90,1,2018-08-09 15:30:36,R_3qxiPWrksMtq8WA,anonymous,EN,2,4,3,4,2,2,3,5,2,4,2,3,5,3,2,3,3,3,3,4,1,1,1,2,1,2,1,1,1,2,1,1,2,9634,
2018-08-10 16:54:52,2018-08-10 16:57:29,0,100,156,1,2018-08-10 16:57:29,R_ePZ4XWYYE34bE0V,anonymous,EN,2,2,3,4,3,2,4,4,2,4,4,3,3,3,2,2,3,3,3,4,1,1,1,2,1,2,1,2,2,2,1,1,2,4764,
