col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42
B1FC77AC-9452-0F2F-5CBE-AD24CB5E235F,76,,8EDB0D45-1E5F-130C-2D9D-F27B2D53D62F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,FASILITAS_KAMAR,,,,3,1.0,,,,
97CB6C88-993B-F195-2653-B09881884E07,77,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,BANGUNAN,,,,3,40.0,,,,
2AEB4980-999C-4309-88FA-1E765D30ACC2,78,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,BANGUNAN,,,,8,1.0,,,,
ED97EB26-C269-664C-F998-8C89F8CA7745,79,,92DD10D6-EA39-ED32-AFC3-1A9826A2D92C,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,KAMAR,,,,5,,10.0,,,
E883DC94-1AF2-3368-906B-DDB5044E2A48,80,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,BANGUNAN,P,,,1,5.0,,,,
0D85E7FD-9987-3E1E-8F64-DFA3BF5E8B5E,81,,8EDB0D45-1E5F-130C-2D9D-F27B2D53D62F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,FASILITAS_KAMAR,P,,,1,5.0,,,,
DA4E38EE-7C4A-D569-E452-2F3FBEA69608,82,,92DD10D6-EA39-ED32-AFC3-1A9826A2D92C,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,C2EE2DE3-6051-6A6C-0160-65AE05668DCD,126.0,KAMAR,,F,Relation_8,6,5.0,,,,
F5D481E1-F842-9D98-1FCF-338DB25B9B45,83,,92DD10D6-EA39-ED32-AFC3-1A9826A2D92C,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,KAMAR,P,,,1,5.0,,,,
A7ECCD13-8BC6-9BA4-1679-CC1DAC5CC4B9,84,,73921090-F5CA-5C97-AA52-0FE24B90CA76,75,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,A4AE9A6B-5587-D227-6A37-C226FC939F1C,123.0,RIWAYAT_SEWA,,F,Relation_14,7,5.0,,,,
CF9664DF-8BAE-E809-DE38-4362F2D8D801,85,,77E2578E-8A67-A2D7-D86E-ACD9B1988F7A,73,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,KARYAWAN,P,,,1,5.0,,,,
AC9C3B73-79D7-CE90-39F1-697BACCD47F9,86,,184A5B00-2C96-45D4-8968-52E147C38BDC,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,PENYEWA,P,,,1,5.0,,,,
9AB0156A-0258-02A1-A2B6-441D4F144DFD,87,,73921090-F5CA-5C97-AA52-0FE24B90CA76,75,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,F1BE4849-A75A-D139-D401-8769A572EC87,122.0,RIWAYAT_SEWA,,F,Relation_13,6,5.0,,,,
0B1559F8-7223-9C12-0C0F-16BDAF8E8709,88,,73921090-F5CA-5C97-AA52-0FE24B90CA76,75,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,RIWAYAT_SEWA,P,,,1,,3.0,,,
0E244256-8877-C3AE-220D-0DEC11B1FE96,89,,184A5B00-2C96-45D4-8968-52E147C38BDC,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,PENYEWA,,,,3,1.0,,,,
D7520D0F-81D5-4AF3-F39F-C9D087AB9646,90,,77E2578E-8A67-A2D7-D86E-ACD9B1988F7A,73,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,KARYAWAN,,,,3,15.0,,,,
2F881D4E-1283-E6B6-A3FB-1685A149722B,91,,92DD10D6-EA39-ED32-AFC3-1A9826A2D92C,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,KAMAR,,,,3,,2.0,,,
D20AEB1B-0428-400F-959C-CD1E6D7D5B5B,92,,8EDB0D45-1E5F-130C-2D9D-F27B2D53D62F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,FASILITAS_KAMAR,,,,2,1.0,,,,
90644B8A-BAC7-1418-F536-02DBFF406749,93,,92DD10D6-EA39-ED32-AFC3-1A9826A2D92C,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,KAMAR,,,,4,10.0,,,,
888959AC-8CA7-9978-B019-615D9C289993,94,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,BANGUNAN,,,,9,1.0,,,,
21A728ED-ED6E-C1B8-783C-79586E0FFB73,95,,8EDB0D45-1E5F-130C-2D9D-F27B2D53D62F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,FASILITAS_KAMAR,,,,5,1.0,,,,
CD3C8632-28D4-DAC4-C036-7F1F12548F65,96,,8EDB0D45-1E5F-130C-2D9D-F27B2D53D62F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,FASILITAS_KAMAR,,,,6,1.0,,,,
58735BC0-CE65-8EDD-AE6D-46204B230141,97,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,BANGUNAN,,,,2,40.0,,,,
2D2BBD43-63BA-EB24-7228-11E586407A5E,98,,184A5B00-2C96-45D4-8968-52E147C38BDC,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,PENYEWA,,,,2,40.0,,,,
0EEBC26B-22D3-9427-BFA0-75809FBF7834,99,,77E2578E-8A67-A2D7-D86E-ACD9B1988F7A,73,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,KARYAWAN,,,,2,40.0,,,,
4479F51C-38F4-4C7C-9F82-9EB9C16D1100,100,,184A5B00-2C96-45D4-8968-52E147C38BDC,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,PENYEWA,,,,5,13.0,,,,
