col0,col1,col2,col3
101,営業職,1,1
102,医療関連営業職,2,1
103,金融関連営業職,3,1
201,マーケティング／企画／広告宣伝,4,2
202,購買／物流／貿易,5,2
203,エグゼクティブ／経営企画／事業統括,6,2
204,経理／財務／税務,7,2
205,総務／人事／法務／知財／広報・IR／内部監査,8,2
301,経理／財務,9,3
302,総務／法務／知財／広報,10,3
303,人事／採用／教育／労務,11,3
304,購買／物流／貿易,12,3
305,経営企画／事業統括,13,3
306,マーケティング／商品企画／広告宣伝,14,3
307,金融事務,15,3
308,英文事務,16,3
309,医療事務,17,3
310,秘書／受付,18,3
311,翻訳／通訳,19,3
313,その他,20,3
401,ITコンサルタント,21,4
402,プリセールス,22,4
403,アプリケーションエンジニア,23,4
404,インフラエンジニア,24,4
405,サポート・ヘルプデスク,25,4
407,社内情報システム,26,4
408,研究開発・R＆D,27,4
409,品質管理,28,4
501,基礎研究／製品企画,29,5
502,機械設計／金型設計,30,5
503,品質管理／品質保証,41,5
504,生産／製造／工場運営／プロセスエンジニア,42,5
505,技術営業／FAE／アプリケーションエンジニア／プロジェクトマネージャー,43,5
506,整備士／サービスエンジニア,44,5
507,その他,45,5
509,CADオペレーター（機械）,31,5
510,光学設計,32,5
511,CAE解析,33,5
512,回路設計（アナログ）,34,5
513,回路設計（デジタル）,35,5
514,回路設計（半導体）,36,5
515,レイアウト設計（配線設計含む）,37,5
516,シーケンス制御（PLC／シーケンス／ラダー）,38,5
517,組み込みソフトウェア開発,39,5
518,評価・実験・デバッグ,40,5
601,技術開発／部材開発／解析／調査,46,6
602,設計・デザイン／積算／測量,47,6
603,施工管理,48,6
610,その他,53,6
611,設計監理・施工監理／コンストラクションマネジメント,49,6
612,プラント関連職種,50,6
613,設備保守・設備メンテナンス,51,6
614,職人・現場作業員,52,6
701,研究,54,7
702,開発,55,7
704,生産／製造／工場運営,57,7
706,品質管理／品質保証,58,7
708,技術営業／アプリケーションエンジニア,59,7
710,その他,60,7
712,分析／評価,56,7
801,研究,61,8
802,臨床開発関連,62,8
803,製品・商品開発,63,8
804,分析／評価,64,8
805,薬事,65,8
807,品質管理／品質保証,66,8
808,技術サポート,67,8
809,生産／製造,68,8
810,学術・マーケティング関連,69,8
811,ライセンシング,70,8
812,医療関連職種,71,8
813,薬剤関連職種,72,8
814,福祉関連職種,73,8
901,開発,74,9
902,運用,75,9
903,投資銀行系業務,76,9
904,リサーチ,77,9
905,審査／査定,78,9
906,バックオフィス,79,9
1001,コンサルタント,80,10
1002,マーケティング,81,10
1004,不動産,82,10
1005,士業系専門職種,83,10
1101,店舗・販売系職種,84,11
1102,店舗・施設管理／店舗開発,86,11
1103,美容関連職種（理美容・エステ・マッサージ）,87,11
1104,旅行関連職種,88,11
1105,宿泊・ホテル／冠婚葬祭関連職種,89,11
1107,運輸・物流サービス,90,11
1108,警備／清掃／監視／保守,91,11
1109,テレマーケティング／カスタマーサポート,92,11
1110,教育／スクール,93,11
1111,バイヤー／MD,85,11
1201,出版・広告・販促,95,12
1203,映像・音響・イベント・芸能関連,96,12
1207,ファッション,98,12
1209,プロダクトデザイナー,97,12
1210,その他クリエイティブ系職種,99,12
1211,Web／モバイル／ゲーム,94,12
1301,国家・地方公務員,100,13
1303,教員,101,13
1304,農林水産関連職,102,13
