col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60
資料ID,データベース上のID,タイトル,注記,タイトルのヨミ,代替タイトル,定期刊行物フラグ,シリーズタイトル,シリーズタイトルのヨミ,,,著者,著者のヨミ,シリーズ著者,出版者,出版者のヨミ,出版日,巻（文字列）,巻（数字）,シリーズ巻号（文字列）,版（文字列）,版（数字）,号（文字列）,号（数字）,通号,ISBN,ISSN,DOI,資料の形態,資料の内容の種別,発行頻度,販売価格,受入価格,高さ,幅,厚さ,ページ数,開始ページ,終了ページ,,本棚の名称,請求記号,個別資料ID,付録あり,製本資料ID,製本資料請求記号,製本日時,JPNO,LCCN,件名(NDLSH),予算種別,書店,分類(NDC9),分類(DDC),言語,責任表示,出版地,個別資料の注記,個別資料のURL,インポート省略,この列は無視されます
,,test1,○ identifierなし、item_identifierなし,,,,,,,,test,てすと,,test2,,,invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,test2,○ identifierなし、item_identifierあり,,,,,,,,test||author//test1||illustrator,,,,,2001,,,,,,,,,,,,volume,text,monthly,,,,,,"xv, 213 pages",        ,,20cm,,,10101,t,9001,330|A,2014-08-16,,,,Public fund,Example store,007,,jpn,著者A; 著者B,東京,カバーなし,http://example.jp/item/1,,
101,,test3,× ダミー,,,,,,,,test,,,test2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public fund,Example store,,,,,,,,適当な値,
101,,test3,○ identifierあり、item_identifierなし,,,,主シリーズ,しゅしりーず,副シリーズ,ふくしりーず,test,,,test2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,test4,○ identifierあり、item_identifierあり,,,,主シリーズ,,副シリーズ,,test1,,シリーズの著者,test,,2001-1,,,シリーズ1号,,,,,,,,,,,,,,257,182,12,,1,200,,,,10102,,,,,,,,,,,,Japanese,,,,,,
101,,“test 5”,△ identifier重複、item_identifier非重複,,,,,,,,test1||author//test2||illustrator,てすと1//てすと2,シリーズの著者,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,10103,,,,,,,,,Example store,,,,,,,,,
102,,test6,× identifier重複、item_identifier重複,,,,,,,,test,,,test3,,,,,,,,,,,,,,,,,,,,,,,,,,,,10101,,,,,,,,,,,,,,,,,,
,,test7,○ ISBN不正、タイトルあり、所蔵情報あり,,,,,,,,,,,,,2001-1-1,第3巻,3,,初版,1,第10号,10,120,9000000000000,,example/2014.08.18,online_resource,still_image,,,,,,,,,,,first_shelf,007|A,10104,,,,,,,コンピュータ//図書館,Public fund,,007,003//004,,,,,,,
,,,× ISBN不正、タイトルなし,,,,,,,,,,,,,,,,,,,,,,22222222,,,,,,,,,,,,,,,,,10105,,,,,,,,,,,,,,,,,,
,,test8,○ ISBNなし、所蔵情報あり,,,,,,,,test,,,test4//test5,てすと4//てすと5,,,,,,,,,,,0387-5806 ,,,,,1000,0,,,,,,,,,,11111,,,,,,,,,,,,,,,,,,
,,test9,× item_identifier重複,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11111,,,,,,,,,,,,,,,,,,
,,,○ ISBN重複（シリーズ情報あり）、item_identifierなし,,,,,,,,,,,,,,,,,,,,,,978-4797336610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,△ ISBN重複（シリーズ情報なし）、item_identifier非重複,,,,,,,,,,,,,,,,,,,,,,4798002062,,,,,,,,,,,,,,,,,11112,,,,,,,,,,,,,,,,,,
,,,× ISBN重複、item_identifier重複,,,,,,,,,,,,,,,,,,,,,,4798002062,,,,,,,,,,,,,,,,,11111,,,,,,,,,,,,,,,,,,
,,,× ISBN重複（13桁）、item_identifierなし,,,,,,,,,,,,,,,,,,,,,,978-4798002064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,"ダブル""クォート""を含む資料",○ ダブルクォートを含む資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,test10,○ TSV中にタイトルがあれば他の項目もTSVファイル優先,,,,,,,,test3,,,test4,,,,,,,,,,,4797327030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,99999,,△ identifier重複、item_identifier非重複、タイトルなし。manifestation_identifierはmanifestation_idに優先する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11113,,,,,,,,,,,,,,,,,,
,1,,△ manifestation_id重複、item_identifier非重複、タイトルなし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11114,,,,,,,,,,,,,,,,,,
101,,,△identifier重複、item_identifierなし、タイトルなし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first_shelf,007|A,,,,,,,,,,,,,,,,,,,
105,,逐次刊行物,○serialがtrue,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first_shelf,007|A,,,,,,,,,,,,,,,,,,,
