col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
=,'6',AND,userid,=,'459',AND,state,IN,"('finished',",'abandoned'),,ORDER,BY,attempt,ASC
=,'6',AND,userid,=,'459',AND,state,IN,"('inprogress',",'overdue'),,ORDER,BY,attempt,ASC
=,'6',AND,userid,=,'459',,,,,,,,,,
=,'6',AND,,(,NOT,,(feedbacktext,=,''),),,LIMIT,"0,",1,
,,,,,,,,,,,,,,,
,,,,FROM,mdl_course_modules,cm,,,,,,,,,
,,,,,,,,,JOIN,mdl_modules,md,ON,md.id,=,cm.module
,,,,,,,,,JOIN,mdl_quiz,m,ON,m.id,=,cm.instance
,,,,,,,,,,,,,,,
,,,WHERE,cm.id,=,'63',AND,md.name,=,"'quiz'""",,,,,
quiz.id,=,'6',,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,FROM,mdl_course_modules,cm,,,,,,,,,
,,,,,,,,,JOIN,mdl_modules,md,ON,md.id,=,cm.module
,,,,,,,,,JOIN,mdl_quiz,m,ON,m.id,=,cm.instance
,,,,,,,,,,,,,,,
,,,WHERE,m.id,=,'6',AND,md.name,=,'quiz',,,,,
,,,,,,,,,AND,cm.course,=,"'18'""",,,
=,'6',AND,userid,=,'459',,,,,,,,,,
=,'6',AND,userid,=,'459',AND,state,IN,"('finished',",'abandoned'),,ORDER,BY,attempt,ASC
=,'6',AND,userid,=,'459',AND,state,IN,"('inprogress',",'overdue'),,ORDER,BY,attempt,ASC
=,'6',AND,userid,=,'459',,,,,,,,,,
=,'6',AND,,(,NOT,,(feedbacktext,=,''),),,LIMIT,"0,",1,
LIKE,'%mdl_quiz%',ORDER,BY,`general_log`.`event_time`,,DESC,,,,,,,,,
,,,,,,,,,,,,,,,
from,mysql.general_log,WHERE,argument,LIKE,,'%mdl_quiz%',ORDER,,BY,,`general_log`.`event_time`,,DESC,LIMIT,1
from,mysql.general_log,WHERE,argument,LIKE,,'%mdl_quiz%',ORDER,,BY,,`general_log`.`event_time`,,DESC,LIMIT,1
LIKE,'%mdl_quiz%',ORDER,BY,`general_log`.`event_time`,,DESC,,,,,,,,,
,,,,,,,,,,,,,,,
=,'prograv3_moodle',,AND,`table_name`,=,'mdl_quiz_statistics',,,,,,,,,
LIKE,'%mdl_quiz%',ORDER,BY,`general_log`.`event_time`,,DESC,,,,,,,,,
,,,,,,,,,,,,,,,
from,mysql.general_log,WHERE,argument,LIKE,,'%mdl_quiz%',ORDER,,BY,,`general_log`.`event_time`,,DESC,LIMIT,1
LIKE,'%mdl_quiz%',ORDER,BY,`general_log`.`event_time`,,DESC,,,,,,,,,
,,,,,,,,,,,,,,,
from,mysql.general_log,WHERE,argument,LIKE,,'%mdl_quiz%',ORDER,,BY,,`general_log`.`event_time`,,DESC,LIMIT,1
,,,,,,,,,,,,,,,
,,,,FROM,mdl_course_modules,cm,,,,,,,,,
,,,,,,,,,JOIN,mdl_modules,md,ON,md.id,=,cm.module
,,,,,,,,,JOIN,mdl_quiz,m,ON,m.id,=,cm.instance
,,,,,,,,,,,,,,,
,,,WHERE,cm.id,=,'63',AND,md.name,=,"'quiz'""",,,,,
quiz.id,=,'6',,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,FROM,mdl_course_modules,cm,,,,,,,,,
,,,,,,,,,JOIN,mdl_modules,md,ON,md.id,=,cm.module
,,,,,,,,,JOIN,mdl_quiz,m,ON,m.id,=,cm.instance
,,,,,,,,,,,,,,,
,,,WHERE,m.id,=,'6',AND,md.name,=,'quiz',,,,,
,,,,,,,,,AND,cm.course,=,"'18'""",,,
=,'6',AND,userid,=,'459',,,,,,,,,,
=,'6',AND,userid,=,'459',AND,state,IN,"('finished',",'abandoned'),,ORDER,BY,attempt,ASC
=,'6',AND,userid,=,'459',AND,state,IN,"('inprogress',",'overdue'),,ORDER,BY,attempt,ASC
=,'6',AND,userid,=,'459',,,,,,,,,,
=,'6',AND,,(,NOT,,(feedbacktext,=,''),),,LIMIT,"0,",1,
quiz.id,=,'6',,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,FROM,mdl_course_modules,cm,,,,,,,,,
,,,,,,,,,JOIN,mdl_modules,md,ON,md.id,=,cm.module
,,,,,,,,,JOIN,mdl_quiz,m,ON,m.id,=,cm.instance
,,,,,,,,,,,,,,,
,,,WHERE,m.id,=,'6',AND,md.name,=,'quiz',,,,,
,,,,,,,,,AND,cm.course,=,"'18'""",,,
=,'6',AND,userid,=,'459',,,,,,,,,,
=,'6',AND,userid,=,'459',AND,state,IN,"('finished',",'abandoned'),,ORDER,BY,attempt,ASC
=,'6',AND,userid,=,'459',AND,state,IN,"('inprogress',",'overdue'),,ORDER,BY,attempt,ASC
