col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39
subject,,,,cell_subset,,,gene,,,,,,,,,pathogen,,,,,,,,,,,,,,,,,,,,,,vaccine,vaccine
evidence,,,,,label,label,,label,label,label,label,label,label,label,label,,label,label,label,label,label,label,label,label,label,label,label,url,label,label,label,label,label,label,label,file,file,,
role,,,,tissue,observed,observed,gene_biomarker,observed,background,measured,background,background,observed,observed,background,pathogen,background,background,observed,background,background,background,background,background,background,background,background,reference,observed,observed,observed,observed,background,background,background,observed,observed,vaccine,vaccine
mime_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numeric_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
display_text,,,,tissue type,response component (original gene symbol),response component (original) count,response component (gene symbol),response component count,response behavior type,response behavior,comparison,subgroup,time point,time point units,baseline time,target pathogen,vaccine year (influenza only),exposure material - additional,cohort,adjuvant,route,publication reference (PMID),publication year,"signature source figure, table or text section",signature source url,comments and additional details,gene signature is a model,"Vahey et al. (2010) Expression of genes associated with immunoproteasome processing of major histocompatibility complex peptides is indicative of protection with adjuvanted RTS,S malaria vaccine. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=20078211' target='_blank'>20078211</a>",age group,age min.,age max.,age units,ID of observation within its own submission,Uniq ID of observation within its submission type,row key,response component (genes) file, response components including non-HGNC genes,exposure material 1 (VO),exposure material 2 (VO)
,hipc_gene_20078211_1,2010.02,hipc_gene_20078211_1,peripheral blood mononuclear cell,PSME2,4,PSME2,4,gene expression,up-regulated,vaccinated vs control,none,2,Weeks,time of vaccination (third dose),plasmodium falciparum,,,unknown,,,20078211,2010,Fig 6A,,,N,https://www.ncbi.nlm.nih.gov/pubmed/20078211,,,,,1,72,20078211_1_72,hipc_gene_sig_20078211_1.txt,hipc_gene_sig_complete_20078211_1.txt,VO_0003093,VO_0000774
,hipc_gene_20078211_1,2010.02,hipc_gene_20078211_1,peripheral blood mononuclear cell,PSMA4,4,PSMA4,4,gene expression,up-regulated,vaccinated vs control,none,2,Weeks,time of vaccination (third dose),plasmodium falciparum,,,unknown,,,20078211,2010,Fig 6A,,,N,https://www.ncbi.nlm.nih.gov/pubmed/20078211,,,,,1,72,20078211_1_72,hipc_gene_sig_20078211_1.txt,hipc_gene_sig_complete_20078211_1.txt,VO_0003093,VO_0000774
,hipc_gene_20078211_1,2010.02,hipc_gene_20078211_1,peripheral blood mononuclear cell,PSMB6,4,PSMB6,4,gene expression,up-regulated,vaccinated vs control,none,2,Weeks,time of vaccination (third dose),plasmodium falciparum,,,unknown,,,20078211,2010,Fig 6A,,,N,https://www.ncbi.nlm.nih.gov/pubmed/20078211,,,,,1,72,20078211_1_72,hipc_gene_sig_20078211_1.txt,hipc_gene_sig_complete_20078211_1.txt,VO_0003093,VO_0000774
,hipc_gene_20078211_1,2010.02,hipc_gene_20078211_1,peripheral blood mononuclear cell,PSMB9,4,PSMB9,4,gene expression,up-regulated,vaccinated vs control,none,2,Weeks,time of vaccination (third dose),plasmodium falciparum,,,unknown,,,20078211,2010,Fig 6A,,,N,https://www.ncbi.nlm.nih.gov/pubmed/20078211,,,,,1,72,20078211_1_72,hipc_gene_sig_20078211_1.txt,hipc_gene_sig_complete_20078211_1.txt,VO_0003093,VO_0000774
