col0,col1,col2,col3
2001007,2060002.0,2010002.0,B1
2001008,2060002.0,2010001.0,B2
2001009,2060002.0,2010088.0,B3
2001010,2060002.0,2010017.0,B5
2001011,2060002.0,2010030.0,B6
2001012,2060003.0,2010025.0,B2
2001014,2060005.0,2010002.0,B1
2001015,2060005.0,2010105.0,B2
2001016,2060005.0,2010107.0,B3
2001017,2060006.0,2010152.0,B4
2001018,2060006.0,2010153.0,B5
2001019,2060006.0,2010150.0,B3
2001020,2060006.0,2010149.0,B2
2001021,2060006.0,2010148.0,B1
2001023,2060008.0,2010148.0,B3
2001024,2060008.0,2010149.0,B2
2001025,2060008.0,2010150.0,B4
2001026,2060008.0,2010151.0,B1
2001027,2060009.0,2010372.0,B1
2001028,2060009.0,2010335.0,
2001029,2060009.0,2010103.0,B4
2001030,2060032.0,2010098.0,B7
2001031,2060009.0,2010651.0,B2
2001032,2060010.0,2010160.0,B2
2001033,2060010.0,2010172.0,B1
2001034,2060010.0,2010173.0,B4
2001035,2060010.0,2010159.0,B3
2001036,2060011.0,2010004.0,B2
2001037,2060011.0,2010016.0,B1
2001038,2060011.0,2010174.0,B3
2001039,2060022.0,2010035.0,B1
2001040,2060022.0,2010036.0,B2
2001041,2060022.0,2010037.0,B3
2001042,2060022.0,2010038.0,B4
2001044,2060023.0,2010184.0,B1
2001045,2060023.0,2010185.0,B3
2001046,2060023.0,2010186.0,B2
2001047,2060023.0,2010187.0,B4
2001048,2060024.0,2010188.0,B1
2001049,2060024.0,2010189.0,B3
2001050,2060024.0,2010190.0,B5
2001052,2060025.0,2010048.0,B8
2001053,2060025.0,2010049.0,B7
2001057,2060026.0,2010081.0,B1
2001058,2060026.0,2010069.0,B2
2001059,2060026.0,2010070.0,
2001061,2060025.0,2010060.0,B5
2001063,2060025.0,2010061.0,B6
2001064,2060025.0,2010085.0,B3
2001065,2060025.0,2010086.0,B2
2001066,2060025.0,2010087.0,B4
2001067,2060029.0,2010024.0,B4
2001068,2060030.0,2010024.0,B4
2001069,2060028.0,2010001.0,B3
2001070,2060027.0,2010001.0,B4
2001071,2060007.0,2010337.0,B1
2001073,2060024.0,2010192.0,B4
2001074,2060002.0,2010020.0,B7
2001077,2060003.0,2010027.0,B1
2001078,2060003.0,2010334.0,B3
2001081,2060007.0,2010145.0,B2
2001082,2060007.0,2010338.0,B3
2001083,2060027.0,2010373.0,B1
2001084,2060027.0,2010195.0,B4
2001086,2060028.0,2010373.0,B1
2001087,2060027.0,2010340.0,B2
2001088,2060028.0,2010340.0,B2
2001089,2060028.0,2010195.0,B3
2001091,2060029.0,2010001.0,B2
2001092,2060029.0,2010341.0,B1
2001093,2060029.0,2010013.0,B3
2001094,2060029.0,2010342.0,B5
2001095,2060030.0,2010001.0,B2
2001096,2060030.0,2010341.0,B1
2001097,2060030.0,2010013.0,B3
2001098,2060030.0,2010342.0,B5
2001099,2060024.0,2010001.0,B2
2001100,2060027.0,2010003.0,B6
2001101,2060028.0,2010003.0,B6
2001102,2060027.0,2010344.0,B7
2001103,2060028.0,2010344.0,B7
2001104,2060026.0,2010067.0,B1
2001105,2060009.0,2010345.0,B6
2001106,2060009.0,2010383.0,B5
2001107,2060005.0,2010002.0,B4
2001108,2060005.0,2010105.0,B5
2001109,2060005.0,2010107.0,B6
2001112,2060031.0,2010001.0,B2
2001113,2060031.0,2010372.0,B1
2001114,2060031.0,2010103.0,B3
2001115,2060031.0,2010090.0,B4
2001116,2060031.0,2010348.0,B5
2001117,,2010303.0,B2
2001118,2060031.0,2010089.0,B6
2001119,2060031.0,2010092.0,B7
2001120,2060002.0,2010032.0,B4
2001121,2060032.0,2010350.0,B1
2001122,2060032.0,2010349.0,B2
2001123,2060032.0,2010362.0,B5
2001124,2060032.0,2010363.0,B4
2001125,2060033.0,,
2001126,2060033.0,2010094.0,
2001127,2060034.0,2010365.0,
2001128,2060035.0,2010365.0,B1
2001129,2060036.0,2010016.0,B1
2001130,2060036.0,2010004.0,B2
2001131,2060036.0,2010351.0,B3
2001132,2060037.0,2010365.0,B1
2001133,2060038.0,2010365.0,
2001134,2060039.0,2010002.0,
2001135,2060039.0,2010378.0,
2001136,2060039.0,2010363.0,
2001137,2060039.0,2010367.0,
2001138,2060039.0,2010365.0,
2001139,2060040.0,2010371.0,B2
2001140,2060040.0,2010001.0,B3
2001142,2060040.0,2010013.0,
2001143,2060040.0,2010342.0,
2001144,2060041.0,2010365.0,
2001145,2060042.0,2010365.0,
2001148,2060046.0,,
2001149,2060046.0,2010003.0,
2001150,2060047.0,2010365.0,
2001151,2060048.0,2010365.0,
2001152,2060049.0,2010365.0,
2001153,2060050.0,2010365.0,
2001154,2060051.0,,
2001161,,2010369.0,B1
2001162,2060040.0,2010370.0,B1
2001163,2060040.0,2010016.0,B4
2001164,2060053.0,2010004.0,B2
2001165,2060053.0,2010016.0,B1
2001166,2060053.0,2010342.0,B4
2001167,2060053.0,2010379.0,B5
2001168,2060053.0,2010380.0,B6
2001169,2060053.0,2010381.0,B7
2001170,2060053.0,2010382.0,B7
2001171,2060053.0,2010013.0,B3
2001172,2060054.0,2010016.0,B1
2001173,2060054.0,2010004.0,B2
2001174,2060054.0,2010013.0,B3
2001175,2060054.0,2010342.0,B4
2001176,2060054.0,2010379.0,B5
2001177,2060054.0,2010380.0,B6
2001178,2060054.0,2010381.0,B7
2001179,2060054.0,2010382.0,B8
2001180,2060002.0,2010005.0,B12
2001181,2060002.0,2010007.0,B11
2001184,2060002.0,2010021.0,B10
2001186,2060002.0,2010006.0,B13
2001187,2060011.0,2010014.0,
2001188,2060011.0,2010015.0,
2001189,2060011.0,2010018.0,
2001190,2060002.0,2010019.0,B9
2001191,2060002.0,2010029.0,B8
2001192,2060007.0,2010028.0,
2001193,2060007.0,2010022.0,
2001194,2060003.0,2010026.0,B4
2001195,2060010.0,2010031.0,
2001196,2060007.0,2010034.0,
2001197,2060007.0,2010033.0,
2001198,2060023.0,2010040.0,
2001199,2060022.0,2010039.0,
2001200,2060022.0,2010041.0,
2001201,2060022.0,2010042.0,
2001202,2060022.0,2010043.0,
2001203,2060022.0,2010044.0,
2001204,2060022.0,2010045.0,
2001205,2060022.0,2010046.0,
2001206,2060022.0,2010047.0,
2001207,2060025.0,2010050.0,
2001208,2060025.0,2010051.0,
2001209,2060025.0,2010052.0,
2001210,2060025.0,2010053.0,
2001211,2060025.0,2010054.0,
2001212,2060025.0,2010057.0,
2001213,2060025.0,2010056.0,
2001214,2060025.0,2010055.0,
2001215,2060025.0,2010058.0,
2001216,2060025.0,2010059.0,
2001217,2060025.0,2010062.0,
2001218,2060025.0,2010063.0,
2001219,2060025.0,2010064.0,
2001220,2060025.0,2010065.0,
2001221,2060025.0,2010066.0,
2001222,2060026.0,2010068.0,
2001224,2060026.0,2010071.0,
2001225,2060026.0,2010072.0,
2001226,2060026.0,2010073.0,
2001227,2060026.0,2010074.0,
2001228,2060026.0,2010075.0,
2001229,2060026.0,2010076.0,
2001230,2060026.0,2010077.0,
2001231,2060026.0,2010078.0,
2001232,2060026.0,2010079.0,
2001233,2060026.0,2010080.0,
2001234,2060026.0,2010082.0,
2001235,2060026.0,2010084.0,
2001236,2060026.0,2010083.0,
2001237,2060011.0,2010023.0,
2001238,2060011.0,2010176.0,
2001239,2060011.0,2010175.0,
2001240,2060010.0,2010391.0,
2001241,2060010.0,2010392.0,
2001242,2060033.0,2010091.0,
2001243,2060040.0,2010093.0,
2001244,2060033.0,2010095.0,
2001245,2060035.0,2010097.0,
2001246,2060033.0,2010099.0,B6
2001247,2060035.0,2010096.0,
2001249,2060024.0,2010193.0,
2001250,2060024.0,2010648.0,
2001251,2060024.0,2010649.0,
2001252,2060024.0,2010650.0,
2001253,2060010.0,2010384.0,
2001254,2060010.0,2010385.0,
2001255,2060003.0,2010386.0,
2001256,2060003.0,2010387.0,
2001257,2060055.0,,
2001258,2060055.0,2010003.0,
2001259,2060046.0,,B2
2001260,2060007.0,2010336.0,
2001261,2060007.0,2010407.0,
2001263,2060009.0,2010651.0,
