col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
0,Louisiana Famous Fried Chicken,Fried Chicken Joint,77002,29.748251,-95.370186,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Almond
1,Your Pie,Pizza Place,77002,29.75177,-95.3686,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Brown sugar
2,Pappas Bar-B-Q,BBQ Joint,77002,29.7482711,-95.3685065,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Android green
3,Zydeco Louisiana Diner,Cajun / Creole Restaurant,77002,29.7509571,-95.36738192,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Atomic tangerine
4,Nara Express,Thai Restaurant,77002,29.74753569144,-95.37075714667664,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Bud green
5,Starbucks,Coffee Shop,77002,29.748771,-95.374428,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Artichoke
6,Starbucks,Coffee Shop,77002,29.74763306735804,-95.3668108630228,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Artichoke
7,Starbucks,Coffee Shop,77002,29.750396,-95.374605,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Artichoke
8,SUBWAY,Sandwich Place,77002,29.74778,-95.366115,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Amazon
9,Lone Star Saloon,Dive Bar,77002,29.75071644718359,-95.3713698939932,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Beau blue
10,Burger Theory,Burger Joint,77002,29.7519517383174,-95.3691423659771,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Arylide yellow
11,Nit Noi Cafe,Thai Restaurant,77002,29.75069094077945,-95.37416025776533,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0,Bud green
12,Pitch 25 Beer Park,Bar,77003,29.75168775951742,-95.35466790845337,2,CLOSED_TEMPORARILY,10508.0,4144.0,4713.0,3894.0,819.0,162600.0,Arctic lime
13,King's Court Bar and Kitchen,Indian Restaurant,77003,29.751209000000003,-95.35396,2,OPERATIONAL,10508.0,4144.0,4713.0,3894.0,819.0,162600.0,Bright yellow (Crayola)
14,Kaffeine Coffee & Internet Cafe,Coffee Shop,77004,29.722230657916068,-95.37875051253742,1,OPERATIONAL,32692.0,5660.0,16618.0,12802.0,3816.0,191700.0,Artichoke
15,Bar 5015,Bar,77004,29.723891900531125,-95.37823071859556,2,CLOSED_TEMPORARILY,32692.0,5660.0,16618.0,12802.0,3816.0,191700.0,Arctic lime
16,Denny's,Breakfast Spot,77004,29.721242606269808,-95.3762061056114,1,OPERATIONAL,32692.0,5660.0,16618.0,12802.0,3816.0,191700.0,Baby blue eyes
17,Crave Cupcakes,Cupcake Shop,77005,29.72204744336792,-95.41855340440937,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Bittersweet shimmer
18,Chipotle Mexican Grill,Mexican Restaurant,77005,29.72189677592756,-95.41898281837908,1,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Brandy
19,Big Easy Social & Pleasure Club,Dive Bar,77005,29.72084531045697,-95.4182865099868,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Beau blue
20,Benjy's,New American Restaurant,77005,29.71945579855275,-95.41636622336436,2,CLOSED_TEMPORARILY,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Barn red
21,Local Foods,Café,77005,29.71950458251861,-95.4165469246738,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Azure
22,Ben & Jerry's,Ice Cream Shop,77005,29.7225017,-95.4182868,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Beige
23,Fellini Caffè,Coffee Shop,77005,29.718539385345597,-95.41672651623776,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Artichoke
24,Seco's Latin Cuisine,Mexican Restaurant,77005,29.722382454329303,-95.418195654462,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Brandy
25,Fajitas A Go Go,Tex-Mex Restaurant,77005,29.72380706134707,-95.41891631165149,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Amaranth
26,Brown Bag Deli,Deli / Bodega,77005,29.7161019819653,-95.41797972248658,1,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Barbie Pink
27,Zoës Kitchen,Mediterranean Restaurant,77005,29.718267431524,-95.41682702282412,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Black coral
28,Helen Greek Food and Wine,Greek Restaurant,77005,29.71726101775787,-95.416103942268,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Azure (X11/web color)
29,Croissant-Brioche,Bakery,77005,29.71740112256145,-95.41629430676308,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Amaranth (M&P)
30,Coppa Osteria,Italian Restaurant,77005,29.71879749392952,-95.41509451172917,3,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Antique ruby
31,The Teahouse Tapioca & Tea,Bubble Tea Shop,77005,29.71767734546914,-95.4175259507976,1,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0,Amaranth red
32,Siphon Coffee,Coffee Shop,77006,29.738449636601253,-95.38823130871091,2,OPERATIONAL,19664.0,8720.0,13602.0,11809.0,1793.0,327300.0,Artichoke
33,Starbucks,Coffee Shop,77006,29.742142,-95.39064,2,OPERATIONAL,19664.0,8720.0,13602.0,11809.0,1793.0,327300.0,Artichoke
34,"Snooze, an A.M. Eatery",Breakfast Spot,77006,29.74368700909252,-95.39110186180008,2,OPERATIONAL,19664.0,8720.0,13602.0,11809.0,1793.0,327300.0,Baby blue eyes
35,Light Years Natural Wine Shop and Bar,Wine Bar,77006,29.738934000000004,-95.394927,2,OPERATIONAL,19664.0,8720.0,13602.0,11809.0,1793.0,327300.0,Cadet blue
36,Siphon Coffee,Coffee Shop,75033,29.738449636601253,-95.38823130871091,2,OPERATIONAL,,,,,,,Artichoke
37,Starbucks,Coffee Shop,75033,29.742142,-95.39064,2,OPERATIONAL,,,,,,,Artichoke
38,"Snooze, an A.M. Eatery",Breakfast Spot,75033,29.74368700909252,-95.39110186180008,2,OPERATIONAL,,,,,,,Baby blue eyes
39,Light Years Natural Wine Shop and Bar,Wine Bar,75033,29.738934000000004,-95.394927,2,OPERATIONAL,,,,,,,Cadet blue
