col0,col1,col2,col3,col4
1001001,EnemyParty,1001002,初めまして！ゴブリン組！,
1001002,EnemyParty,1001003,襲来！ゴブリン軍団！,
1001003,EnemyParty,1001004,ベタベタ！スライム！,黒魔術師アンロック
1001003,Character,106001,ベタベタ！スライム！,
1001004,EnemyParty,1001005,高速！妖怪コウモリ！,
1001005,EnemyParty,1001006,恐怖！墓場の防人！,
1001006,EnemyParty,1001007,ジメジメ池の仲間たち！,弓術士アンロック
1001006,Character,107001,ジメジメ池の仲間たち！,
1001007,EnemyParty,1001008,ゴブリン先輩と部下たち！,
1001008,EnemyParty,1001009,かたーいのと、やわーいの,
1001009,EnemyParty,1001010,夜の森に潜む者たち,
1001010,EnemyParty,1001011,死者と精霊が棲む地,
1001011,EnemyParty,1001012,魅惑のクチビルを追え！,
1001012,EnemyParty,1001013,闇夜に紛れる幽霊,ボクサーアンロック
1001006,Character,108001,ジメジメ池の仲間たち！,
1001013,EnemyParty,1001014,沼地の原住民,
1001014,EnemyParty,1001015,ゴブリン上司現る！,
1001015,EnemyParty,1001016,立入禁止！強酸の湖！,
1001016,EnemyParty,1001017,砂漠の来訪者,
1001017,EnemyParty,1001018,静かな洞窟の幻獣,
1001018,EnemyParty,1001019,砂地に眠る不死者たち,
1001019,EnemyParty,1001020,ゴブリン部長の同窓会！,
1001020,EnemyParty,1001021,ボス！イフリート！,
