col0,col1,col2,col3,col4,col5,col6
Age of donor,age,cgc_case_age_at_diagnosis,AGE,none,age at diagnosis. The TCGA metadata also contains age at death/treatment etc,"Acquired from the sample attributes page of ""https://www.gtexportal.org/home/datasets"".
 Age is presented in a range instead of a specific number"
Units of age - (Years / Months / Post Conception Weeks),age_units,"""Years""","""Years""",none,none,none
Sequencing technique,assay_type_s,"""RNA_seq""",smnabtcht_adjusted,none,none,"paste0(""RNA Seq, "", smnabtcht) 
This informs the type of RNA-extraction before RNA-seq"
Average read length,avgspotlen_l,auc_readcount_adjusted,avg_read_length,none,"auc / mapped_read_count * ifelse(paired_end, 2, 1) 
Calculating read length from auc, mapped read count, and number of ends",none
BioProject ID,bioproject_s,cgc_case_id,,none,"TCGA is not in SRA, as such this is the case ID instead of the project ID",
BioSample ID,biosample_s,xml_patient_id,,none,"TCGA is not in SRA, as such this is the patient ID instead of the sample ID",
Brain tissue repository source,brain_bank,gdc_cases.tissue_source_site.name,smcenter,none,none,none
Brodmann area for tissue from cerebral cortex - (1-52),brodmann_area,,smtsd,none,,"Anterior cingulate cortex (BA24) and Frontal Cortex (BA9) extracted
"
Cell line description,cell_line,,,none,,
Project center,center_name_s,gdc_center.name,"""Laboratory, Data Analysis and Coordinating Center (LDACC)""",none,none,none
Clinically relevant tissue sample information 1,clinical_stage_1,xml_neoplasm_histologic_grade_adjusted,,none,Format of the primary histological grade changed to match recount_brain,none
clinically relevant tissue sample information 2,clinical_stage_2,gdc_cases.samples.sample_type,,none,Format sample type to fit that of recount_brain,
data availability - (Public),consent_s,gdc_metadata_files.access.analysis,"""public""",none,none,none
State of human development - (Fetus/Infant/Child/Adulescent/Adult),development,"development_cgc_case_age_at_diagnosis
","""adult""",none,"The youngest GBM/LGG individual is 14, therefore individuals can be adult or adolescent. Developmental stage is based on age","The youngest individual is older than 20, therefore everyone is an adult"
Disease description,disease,gdc_cases.samples.sample_type,DTHHRDY_adjusted,none,none,"0 = ventilator, 1 = violent & fast death, 2 = fast but natural, 3 = ill but unexpected, 4 = ill and expected."
Nature of disease - (Disease / Control),disease_status,gdc_cases.samples.sample_type_adjusted,DTHHRY_status,none,"Solid Tissue Normal = Control, Disease Otherwise"," 1 = control, 3 & 4 = disease, 0 & 2 = either"
NCBI Experiment ID,experiment_s,gdc_metadata_files.file_id.experiment,experiment,none,none,none
Cerebral hemisphere - (Left/Right),hemisphere,,smtsd_adjusted,none,,"Putamen is in the right hemisphere, otherwise it's bilateral "
Length of sequence adaptors,insertsize_l,,,none,,
High throughput sequencing system,instrument_s,gdc_platform,"""Illumina TrueSeq RNA sequencing""",none,none,GTEx documentation states TrueSeq
Internal sample ID used by original study,library_name_s,gdc_file_id_adjusted,,,gdc_file_id adjusted so that everything is in uppercase allows TCGA metadata to be directly mapped to count data,
Sequencing layout ,librarylayout_s,"""paired""","""paired""",none,none,none
Sequencing library,libraryselection_s,gdc_cases.samples.sample_type_adjusted,"""cDNA""",none,"Solid Tissue Normal = cDNA, ctDNA Otherwise",none
Sequencing Source,librarysource_s,"""TRANSCRIPTOMIC""","""TRANSCRIPTOMIC""",none,none,none
Sequencing load date,loaddate_s,cgc_file_upload_date,smnabtchd,none,none,none
Megabases,mbases_l,,,none,,
