col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
movie_id,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0,,,,,,,,4.0,,,,5.0,4.0,,,,,,,,,,,,4.0,,4.0,,,,,,
2,5.0,5.0,,,,,,,,,,,,4.0,4.0,,,,,,5.0,,,,,,,,,,3.0,,,4.0
3,4.0,4.0,5.0,,,,,,,,,,5.0,,,,,,,,,3.0,3.0,,,,,,,,,,,
4,5.0,5.0,,5.0,5.0,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,
5,5.0,,,,,,,,5.0,,,,,,,,,,5.0,,4.0,,,,,,,,3.0,,3.0,2.0,5.0,5.0
6,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,4.0,3.0
7,5.0,,,2.0,,,,,,,,5.0,5.0,,,5.0,,,,,,5.0,5.0,,,,,,,,,,,4.0
8,4.0,,5.0,,,,,,,5.0,,,,5.0,,,,,,,,,3.0,,,,5.0,5.0,,,,,,
9,5.0,,5.0,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,5.0,4.0,,,,,
10,4.0,,4.0,,,,,4.0,,,,,5.0,,5.0,,,,,,,4.0,5.0,,,,,,5.0,,,,,
11,5.0,4.0,5.0,,,,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,,,3.0
12,5.0,,5.0,,,,,5.0,,,,,,3.0,5.0,,,,,,,,5.0,,,,,,,,,,,
13,4.0,,,,,,5.0,,,,,,4.0,,4.0,,,,,,,4.0,3.0,,,,,,,,,,,
14,5.0,4.0,5.0,,5.0,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,
15,5.0,,5.0,5.0,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,5.0,,,,,,
16,4.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,5.0,4.0
17,4.0,4.0,4.0,,5.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,
18,5.0,,5.0,,,,,,,,,,5.0,5.0,,,,,,,5.0,,,,5.0,,,,,,,,,
19,,5.0,,,,5.0,,,5.0,,,,,,5.0,4.0,,,,,5.0,5.0,3.0,5.0,5.0,,,,,,,,,
20,,5.0,,,5.0,,,,,,,,,4.0,,,,,,,,,4.0,5.0,,,,,,,3.0,,4.0,5.0
21,,4.0,,,3.0,,,3.0,,,4.0,,3.0,,,,,,,2.0,3.0,,,3.0,,4.0,,4.0,1.0,,,1.0,,
22,,4.0,,,,,4.0,,4.0,,,,,,,,,,3.0,,,5.0,,5.0,,,,,,,,,,
