col0,col1,col2,col3,col4,col5,col6,col7,col8
1,Gala Apples,gala-apples,1000-0001,1,0,1.jpg,,
2,Granny Smith Apples,granny-smith-apples,1000-0002,1,0,2.jpg,,
3,Organic Bananas,organic-bananas,2000-0001,2,0,3.jpg,,
4,Baby Bananas,baby-bananas,2000-0002,2,0,4.jpg,,
5,Blueberries,blueberries,3000-0001,3,0,5.jpg,,
6,Red Cherries,red-cherries,3000-0002,3,0,6.jpg,,
7,Season Grapefruit,season-grapefruit,4000-0001,4,0,7.jpg,,
8,Organic Blood Orange,organic-blood-orange,4000-0002,4,0,8.jpg,,
9,Baby Seedless Watermelon,baby-seedless-watermelon,5000-0001,5,0,9.jpg,,
10,Honeydew Melon,honeydew-melon,5000-0002,5,0,10.jpg,,
11,White Nectarine,white-nectarine,6000-0001,6,0,11.jpg,,
