col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
1,LMST01010390,IOMBMOCSWVAYQU-ZLHZNRRGSA-N,727.4771,0.94,[M+NH4]+,0:0,Fasciculic acid C,Cholesterol and derivatives,,OT
2,LMST01010313,GJQWMFNAGHAFDW-DNHZKMRASA-N,393.3091,3.5,[M+Na]+,0:0,19-norcholestenone,Cholesterol and derivatives,,OT
3,LMST01040193,BGCSDXFDUOTODX-NMDKGTOKSA-N,507.2721,3.52,[M+H]+,0:0,geodisterol-O-sulfite,Stigmasterols and C24-ethyl derivatives,,OT
4,LMST01010179,FADCOUQPHXGWQS-ZCDXYYCTSA-N,417.3369,4.03,[M+H]+,0:0,"2,22,25-trideoxyecdysone",Cholesterol and derivatives,,OT
5,LMST01010389,SWRXIGFQDQTNKP-WEYFBGBOSA-N,654.449,4.4,[M+NH4]+,0:0,Fasciculic acid B,Cholesterol and derivatives,,OT
6,LMST01040190,JFWKHVJJUMJZAN-RKDCWTDHSA-N,495.3073,5.17,[M+H]+,0:0,Norselic acid E,Stigmasterols and C24-ethyl derivatives,,OT
7,LMST01010309,KIWJAFCOUILVDK-LVXDJYSUSA-N,437.3146,5.53,[M+Na]+,0:0,"20S-Hydroxycholest-1-en-3,16-dione",Cholesterol and derivatives,,OT
8,LMST01010282,AQZKOFZGLJSRLJ-PXBBAZSNSA-N,421.3407,5.53,[M+Na]+,0:0,22-methylenecholesterol,Cholesterol and derivatives,,OT
9,LMST01040190,JFWKHVJJUMJZAN-RKDCWTDHSA-N,495.3055,5.87,[M+H]+,0:0,Norselic acid E,Stigmasterols and C24-ethyl derivatives,,OT
10,LMST01010282,AQZKOFZGLJSRLJ-PXBBAZSNSA-N,421.3529,6.03,[M+Na]+,0:0,22-methylenecholesterol,Cholesterol and derivatives,,OT
11,LMST01010385,PMBSWZWCNKVWLV-OLVLZXMISA-N,465.3441,7.78,[M+Na]+,0:0,3beta-acetoxy-cholest-5-en-7-one,Cholesterol and derivatives,,OT
12,LMST01010332,MLVSYGCURCOSKP-ZVXDAELJSA-N,449.3723,7.79,[M+Na]+,0:0,"4,4,14alpha-trimethyl-5alpha-cholest-9(11),24-dien-3beta-ol",Cholesterol and derivatives,,OT
13,LMST01040191,KTOLWQCZNYCQTO-SHAFGOBASA-N,457.3313,8.39,[M+H]+,0:0,Norselic acid B,Stigmasterols and C24-ethyl derivatives,,OT
