col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73
2008,116.0,135,2014-05-13,1,600.0,1,600.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2488,116.0,135,2014-08-27,1,1100.0,1,1100.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,99,99,99,99,2,2015-06-29 00:00:00,2015-06-29 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2013,117.0,136,2014-01-06,0,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,1,0,0,0,0,0,0,0,,0,0,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2476,117.0,136,2014-10-11,1,768.0,0,,0,,1,768.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,1,0,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,3,2015-06-29 00:00:00,2015-06-29 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2018,118.0,137,2014-04-16,1,500.0,0,,1,500.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,0,1,0,0,0,0,0,0,,1,0,99,0,99,0,99,0,99,0,99,1,99,0,99,99,,99,99,99,99,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2023,119.0,138,2014-06-16,0,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,,1,0,99,0,99,0,99,1,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2480,119.0,138,2014-10-02,0,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,,1,0,99,0,99,0,99,1,99,0,99,0,99,0,99,99,,99,99,99,99,3,2015-06-29 00:00:00,2015-06-29 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2028,120.0,139,2014-10-14,1,400.0,1,400.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,1,0,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2033,121.0,140,2014-01-15,1,632.0,0,,0,,0,,1,632.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2484,121.0,140,2014-04-20,1,632.0,0,,0,,0,,1,632.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,1,0,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,3,2015-06-29 00:00:00,2015-06-29 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
