col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47
c0ec43e5,gamificado,3.155555556,3.25,3.5,3.0,2.75,3.25,3.4,3.5,3.0,2.75,2,4,5,2,4,4,4,2,1,3,4,4,3,4,2,2,4,5,2,2,5,4,1,5,5,1,3,5,2,4,1,5,3,5,2,1
3054a6b0,gamificado,3.072222222,3.25,4.25,2.25,3.0,4.5,3.4,2.25,3.0,1.75,3,1,5,4,4,4,5,4,2,1,4,2,4,1,4,3,5,3,5,5,4,2,4,1,2,5,1,1,3,5,3,1,3,1,1,2
8d9eca7e,gamificado,2.155555556,1.25,2.0,3.5,2.75,2.25,1.4,3.0,1.5,1.75,1,1,2,1,2,1,3,2,5,2,2,5,3,2,4,2,2,1,3,3,1,1,2,2,3,3,3,3,2,2,1,1,2,1,1,3
500813fb,gamificado,1.95,2.0,1.25,2.75,2.0,2.0,1.8,2.25,1.75,1.75,2,2,2,2,1,1,1,2,4,1,5,1,1,1,1,5,1,1,3,3,1,3,3,2,3,2,3,1,4,1,1,1,2,1,3,1
2d7b15a3,não gamificado,2.088888889,1.5,1.75,2.5,2.75,2.0,1.8,2.0,2.25,2.25,1,1,1,3,2,2,1,2,3,3,2,2,2,3,2,4,3,3,1,1,3,1,1,3,3,2,2,1,3,2,2,2,1,2,4,2
f0edcc26,não gamificado,1.911111111,2.0,1.5,1.5,2.0,2.25,2.2,2.25,1.5,2.0,1,2,2,3,1,1,3,1,1,1,3,1,1,5,1,1,5,1,1,2,2,1,2,1,2,2,3,2,3,1,1,1,2,2,3,1
4d27a0e8,gamificado,4.083333333,3.0,4.0,4.25,4.5,4.0,4.0,5.0,4.75,3.25,3,3,2,4,2,5,4,5,4,5,5,3,3,5,5,5,3,4,4,5,4,4,3,4,5,5,5,5,5,4,5,5,5,3,1,4
90b1796d,não gamificado,2.061111111,2.0,2.25,2.75,2.5,1.75,1.8,2.25,1.0,2.25,3,1,1,3,3,1,3,2,5,3,2,1,1,5,1,3,2,2,2,1,1,2,2,3,3,1,3,2,1,1,1,1,2,2,3,2
b7c1ac58,não gamificado,3.938888889,3.5,4.75,4.5,3.25,2.75,4.2,3.25,5.0,4.25,2,4,4,4,5,5,5,4,4,4,5,5,5,4,3,1,1,3,3,4,5,5,5,4,3,3,3,4,5,5,5,5,4,5,4,4
6a5775dd,gamificado,2.738888889,3.25,2.25,4.25,2.25,1.75,3.4,2.5,2.0,3.0,5,2,1,5,1,3,2,3,4,4,4,5,1,4,3,1,1,1,4,1,2,3,3,4,1,3,3,3,1,1,1,5,2,2,4,4
