col0,col1,col2,col3,col4,col5
North Pacific Transition Zone and bordering currents,North Pacific,19.0,11135900.0,NP_19,11120933.159633404
EBSA No.16: Equatorial High-Productivity Zone,South Pacific,16.0,7075920.0,SP_16,7084233.475607417
Agulhas Front,Southern Indian Ocean,11.0,4213050.0,SIO_11,4208347.940208095
Sargasso Sea,Wider Caribbean and Western MidAtlantic,13.0,4177180.0,WC_13,4163460.150223313
Equatorial Productivity Zone,Eastern Tropical and Temperate Pacific,9.0,2693410.0,ETTP_9,2714276.438765716
Arabian Sea Oxygen Minimum Zone,North-West Indian Ocean and Adjacent Gulf Areas,14.0,2631620.0,NWIO_14,2604774.6775453887
Subtropical Convergence Zone,South East Atlantic,45.0,2240850.0,SEA_45,2307671.0875265994
Zone de Production Equatoriale de Thons,South East Atlantic,30.0,2059180.0,SEA_30,2046229.1640532752
Mozambique Channel,Southern Indian Ocean,19.0,2021450.0,SIO_19,2017500.165676636
Atlantic Equatorial Fracture Zone,Wider Caribbean and Western MidAtlantic,20.0,1916530.0,WC_20,1928980.025119432
Multi-Year Ice of the Arctic Ocean,Arctic,2.0,1856440.0,ARC_2,1871194.1365068832
Central Indian Basin,Southern Indian Ocean,34.0,1778320.0,SIO_34,1768594.981069185
Nazca and Salas y Gomez,Eastern Tropical and Temperate Pacific,18.0,1714530.0,ETTP_18,1685991.4465842196
Marginal Ice Zone and Seasonal Ice-Cover Over the Deep Arctic Ocean,Arctic,1.0,1566240.0,ARC_1,1576139.005521312
Focal foraging areas for Hawaiian albatrosses during egg-laying and incubation,North Pacific,20.0,1533810.0,NP_20,1562910.0509353755
"Prince Edward Islands , Del Cano Rise and Crozet Islands",Southern Indian Ocean,26.0,1230660.0,SIO_26,1227925.758715931
Amazonina-Orinoco Influenced Zone,Wider Caribbean and Western MidAtlantic,16.0,1163410.0,WC_16,1156169.8551562903
Corridor Marino,Eastern Tropical and Temperate Pacific,8.0,1089540.0,ETTP_8,1082127.6442038252
Zone de Convergence des Courants de Guin�e-Canarie,South East Atlantic,31.0,1038590.0,SEA_31,1031362.2426210413
Walvis Ridge,South East Atlantic,44.0,1038320.0,SEA_44,1034113.4160682872
EBSA No. 15: South Tasman Sea,South Pacific,15.0,936970.0,SP_15,939691.6728929501
