col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36
FARMVILLE,CB235T298,0,CLOVER_EMS,GEN.G1.Mw,GEN.G1.MVAR,GEN.G2.Mw,GEN.G2.MVAR,434.2000122,4.78,437.1000366,4.775268078,3,5,5,3,0,5,3,4,3,5,120,-12,ALARM,NORMAL,RAISE,LOWER,ON,OFF,CLOSE,TRIP,REMOTE,LOCAL,AUTO,MANUAL,-----------
FARMVILLE,CB235T298,0,CLOVER_EMS,GEN.G1.Mw,GEN.G1.MVAR,GEN.G2.Mw,GEN.G2.MVAR,434.2000122070313,4.775268077850342,437.10003662109375,4.775268077850342,3,5,5,3,0,5,3,4,3,5,120,-12,ALARM,NORMAL,RAISE,LOWER,ON,OFF,CLOSE,TRIP,REMOTE,LOCAL,AUTO,MANUAL,-----------
FARMVILLE,CB235T298,0,CLOVER_EMS,GEN.G1.Mw,GEN.G1.MVAR,GEN.G2.Mw,GEN.G2.MVAR,434.2000122070313,5.028587341308594,437.10003662109375,5.028587341308594,3,5,5,3,0,5,3,4,3,5,120,-12,ALARM,NORMAL,RAISE,LOWER,ON,OFF,CLOSE,TRIP,REMOTE,LOCAL,AUTO,MANUAL,-----------
FARMVILLE,CB235T298,0,CLOVER_EMS,GEN.G1.Mw,GEN.G1.MVAR,GEN.G2.Mw,GEN.G2.MVAR,434.2000122070313,5.2797136306762695,437.10003662109375,5.2797136306762695,3,5,5,3,0,5,3,4,3,5,120,-12,ALARM,NORMAL,RAISE,LOWER,ON,OFF,CLOSE,TRIP,REMOTE,LOCAL,AUTO,MANUAL,-----------
FARMVILLE,CB235T298,0,CLOVER_EMS,GEN.G1.Mw,GEN.G1.MVAR,GEN.G2.Mw,GEN.G2.MVAR,434.2000122070313,5.536183834075928,437.10003662109375,5.536183834075928,3,5,5,3,0,5,3,4,3,5,120,-12,ALARM,NORMAL,RAISE,LOWER,ON,OFF,CLOSE,TRIP,REMOTE,LOCAL,AUTO,MANUAL,-----------
FARMVILLE,CB235T298,0,CLOVER_EMS,GEN.G1.Mw,GEN.G1.MVAR,GEN.G2.Mw,GEN.G2.MVAR,434.2000122070313,5.79815149307251,437.10003662109375,5.79815149307251,3,5,5,3,0,5,3,4,3,5,120,-12,ALARM,NORMAL,RAISE,LOWER,ON,OFF,CLOSE,TRIP,REMOTE,LOCAL,AUTO,MANUAL,-----------
FARMVILLE,CB235T298,0,CLOVER_EMS,GEN.G1.Mw,GEN.G1.MVAR,GEN.G2.Mw,GEN.G2.MVAR,434.2000122070313,6.05769681930542,437.10003662109375,6.05769681930542,3,5,5,3,0,5,3,4,3,5,120,-12,ALARM,NORMAL,RAISE,LOWER,ON,OFF,CLOSE,TRIP,REMOTE,LOCAL,AUTO,MANUAL,-----------
FARMVILLE,CB235T298,0,CLOVER_EMS,GEN.G1.Mw,GEN.G1.MVAR,GEN.G2.Mw,GEN.G2.MVAR,434.2000122070313,6.33094596862793,437.10003662109375,6.33094596862793,3,5,5,3,0,5,3,4,3,5,120,-12,ALARM,NORMAL,RAISE,LOWER,ON,OFF,CLOSE,TRIP,REMOTE,LOCAL,AUTO,MANUAL,-----------
FARMVILLE,CB235T298,0,CLOVER_EMS,GEN.G1.Mw,GEN.G1.MVAR,GEN.G2.Mw,GEN.G2.MVAR,434.2000122070313,6.610109806060791,437.10003662109375,6.610109806060791,3,5,5,3,0,5,3,4,3,5,120,-12,ALARM,NORMAL,RAISE,LOWER,ON,OFF,CLOSE,TRIP,REMOTE,LOCAL,AUTO,MANUAL,-----------
FARMVILLE,CB235T298,0,CLOVER_EMS,GEN.G1.Mw,GEN.G1.MVAR,GEN.G2.Mw,GEN.G2.MVAR,434.2000122070313,6.899600982666016,437.10003662109375,6.899600982666016,3,5,5,3,0,5,3,4,3,5,120,-12,ALARM,NORMAL,RAISE,LOWER,ON,OFF,CLOSE,TRIP,REMOTE,LOCAL,AUTO,MANUAL,-----------
