col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,administrator,1,,,,,Yes,[],[],4,0,0.0,14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-peacock-sp100,1260193,nemali,nemali,9.0,Grade 8,No,[],[],4,0,0.0,14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-ant-mz17,17995,,,,,Yes,[],[],4,2,50.0,14,7,50.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,2,1,0,1,0,0,0,0,0,0,1,2
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-horse-mz17,18029,,,,,Yes,[],[],4,2,50.0,14,2,14.285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-tiger-mz17,18062,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-owl-mz17,18040,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-peacock-mz17,18043,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-squirrel-mz17,18058,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-shark-mz17,18053,,,,,Yes,[],[],4,2,50.0,14,8,57.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,0,0,1,1,0,0,0,0,2,1
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-sunflower-mz17,18060,,,,,Yes,[],[],4,1,25.0,14,4,28.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,2,0
