col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
0,refCMC26,opls-aa,-77.57,0.11,-99.15,0.05,3.76,0.02,1.0,0.996875,0.9785714285714284,0.9890625,refCMC26,-1.3,0.01
1,refJMC11,opls-aa,-82.61,0.18,-91.5,0.31,1.55,0.06,1.0,0.996875,0.9642857142857144,0.9875,refJMC11,1.42,0.01
2,refJMC12,opls-aa,-89.0,0.3,-95.37,0.04,1.11,0.05,0.915,0.996875,0.6857142857142857,0.9828125,refJMC12,-1.02,0.01
3,refJMC13,opls-aa,-80.47,0.22,-89.86,0.04,1.64,0.04,0.99,0.9921875,0.7714285714285716,0.9859375,refJMC13,0.17,0.01
4,refJMC14,opls-aa,-114.33,0.12,-119.53,0.04,0.91,0.02,1.0,0.9921875,0.9428571428571428,0.9859375,refJMC14,-1.23,0.06
5,SM25,opls-aa,-85.72,0.18,-107.62,0.04,3.81,0.03,0.99,0.99375,0.9714285714285714,0.9859375,SM25,2.67,0.01
6,SM26,opls-aa,-88.94,0.11,-96.75,0.04,1.36,0.02,1.0,0.996875,0.9607142857142856,0.9859375,SM26,1.04,0.01
7,SM27,opls-aa,-71.73,0.12,-81.88,0.04,1.77,0.02,0.995,0.99375,0.9535714285714286,0.990625,SM27,1.56,0.11
8,SM28,opls-aa,-93.06,0.35,-104.32,0.04,1.96,0.06,0.98,0.9921875,0.942857142857143,0.9890625,SM28,1.18,0.08
9,SM29,opls-aa,-80.52,0.21,-87.52,0.04,1.22,0.04,1.0,0.99375,0.9464285714285714,0.9875,SM29,1.61,0.03
10,SM30,opls-aa,-74.79,0.17,-100.25,0.04,4.43,0.03,0.995,0.990625,0.975,0.978125,SM30,2.76,0.19
11,SM31,opls-aa,-75.3,0.19,-98.29,0.05,4.0,0.03,1.0,0.9921875,0.95,0.984375,SM31,1.96,0.14
12,SM32,opls-aa,-75.22,0.22,-95.53,0.05,3.54,0.04,0.995,0.99375,0.9392857142857144,0.975,SM32,2.44,0.17
13,SM33,opls-aa,-74.78,0.14,-105.4,0.05,5.33,0.02,0.99,0.99375,0.9607142857142856,0.9859375,SM33,2.96,0.21
14,SM34,opls-aa,-69.75,0.21,-103.6,0.04,5.89,0.04,0.995,0.9890625,0.9678571428571427,0.9828125,SM34,2.83,0.2
15,SM35,opls-aa,-102.69,0.47,-111.07,0.04,1.46,0.08,0.9,0.9921875,0.85,0.9828125,SM35,0.88,0.02
16,SM36,opls-aa,-106.15,0.51,-128.43,0.04,3.88,0.09,0.98,0.9953125,0.8785714285714286,0.98125,SM36,0.76,0.05
17,SM37,opls-aa,-91.06,0.34,-115.79,0.04,4.31,0.06,0.995,0.996875,0.9285714285714286,0.98125,SM37,1.45,0.1
18,SM38,opls-aa,-137.17,0.37,-126.83,0.04,-1.8,0.06,0.96,0.99375,0.8107142857142858,0.98125,SM38,1.03,0.07
19,SM39,opls-aa,-152.07,0.31,-157.9,0.04,1.01,0.05,0.965,0.99375,0.6285714285714287,0.98125,SM39,1.89,0.13
20,SM40,opls-aa,-116.29,0.59,-134.23,0.03,3.12,0.1,0.93,0.996875,0.8357142857142857,0.98125,SM40,1.83,0.05
21,SM41,opls-aa,-92.39,0.11,-105.58,0.05,2.3,0.02,1.0,0.99375,0.9857142857142858,0.9921875,SM41,0.58,0.02
22,SM42,opls-aa,-91.47,0.23,-120.0,0.04,4.97,0.04,0.99,0.9953125,0.9642857142857144,0.984375,SM42,1.76,0.03
23,SM43,opls-aa,-85.85,0.37,-113.51,0.04,4.82,0.06,0.98,0.9953125,0.8392857142857143,0.9859375,SM43,0.85,0.01
24,SM44,opls-aa,-94.41,0.11,-110.14,0.04,2.74,0.02,0.995,0.9953125,0.9821428571428572,0.990625,SM44,1.16,0.03
25,SM45,opls-aa,-93.17,0.11,-124.98,0.05,5.54,0.02,1.0,0.99375,0.975,0.9828125,SM45,2.55,0.04
26,SM46,opls-aa,-84.42,0.13,-114.16,0.05,5.18,0.02,0.995,0.99375,0.9857142857142857,0.990625,SM46,1.72,0.01
