col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
507121,CMP,circular,12,,no,Good,,12/07/2005,10:56:30am,5.2,2.0,Postprocessed Code,GeoXT,12/07/2005,10:56:52am,New,Driveway,050712TR2819.cor,2,2,MS4,1331,226625.0,1131.323,3.1,1.3,0.897088,557904.898,2212577.192,401,F
507122,CMP,circular,12,,no,Good,,12/07/2005,10:57:34am,4.9,2.0,Postprocessed Code,GeoXT,12/07/2005,10:57:37am,New,Driveway,050712TR2819.cor,1,1,MS4,1331,226670.0,1125.142,2.8,1.3,,557997.831,2212576.868,402,F
507123,CMP,circular,12,,no,Good,,12/07/2005,10:59:03am,5.4,4.4,Postprocessed Code,GeoXT,12/07/2005,10:59:12am,New,Driveway,050712TR2819.cor,1,1,MS4,1331,226765.0,1127.57,2.2,3.5,,558184.757,2212571.349,403,F
507125,CMP,circular,12,,no,Good,,12/07/2005,11:02:43am,3.4,1.5,Postprocessed Code,GeoXT,12/07/2005,11:03:12am,New,Driveway,050712TR2819.cor,1,1,MS4,1331,227005.0,1125.364,3.2,1.6,,558703.723,2212562.547,405,F
5071210,CMP,circular,15,,no,Good,,12/07/2005,11:15:20am,3.7,2.2,Postprocessed Code,GeoXT,12/07/2005,11:14:52am,New,Driveway,050712TR2819.cor,1,1,MS4,1331,227705.0,1118.605,1.8,2.1,,558945.763,2212739.979,410,F
5071216,CMP,circular,12,,no,Good,,12/07/2005,12:13:23pm,4.4,1.8,Postprocessed Code,GeoXT,12/07/2005,12:13:57pm,New,Driveway,050712TR2819.cor,1,1,MS4,1331,231250.0,1117.39,3.1,1.2,,559024.234,2212856.927,416,F
5071217,CMP,circular,12,,no,Good,,12/07/2005,12:16:46pm,4.4,1.8,Postprocessed Code,GeoXT,12/07/2005,12:17:12pm,New,Driveway,050712TR2819.cor,1,1,MS4,1331,231445.0,1125.714,3.2,1.3,,559342.534,2213340.161,417,F
5071219,CMP,circular,12,,no,Plugged,,12/07/2005,12:22:55pm,4.4,1.8,Postprocessed Code,GeoXT,12/07/2005,12:22:22pm,New,Driveway,050712TR2819.cor,1,1,MS4,1331,231755.0,1110.786,2.5,1.1,,559578.776,2213560.247,419,F
5071224,CMP,circular,12,,no,Good,,12/07/2005,12:37:17pm,4.1,1.7,Postprocessed Code,GeoXT,12/07/2005,12:38:32pm,New,Driveway,050712TR2819.cor,1,1,MS4,1331,232725.0,1077.924,2.8,1.4,,560582.575,2213759.022,424,F
5071225,CMP,circular,12,,no,Good,,12/07/2005,12:39:48pm,4.0,1.7,Postprocessed Code,GeoXT,12/07/2005,12:39:52pm,New,Driveway,050712TR2819.cor,1,1,MS4,1331,232805.0,1082.99,2.0,1.0,,560678.501,2213716.657,425,F
5071229,CMP,circular,12,,no,Good,,12/07/2005,12:49:05pm,3.7,1.7,Postprocessed Code,GeoXT,12/07/2005,12:49:07pm,New,Driveway,050712TR2819.cor,1,1,MS4,1331,233360.0,1096.86,2.4,1.2,,560126.094,2213720.301,429,F
5071231,CMP,circular,12,,no,Plugged,,12/07/2005,12:53:58pm,3.0,1.6,Postprocessed Code,GeoXT,12/07/2005,12:54:02pm,New,Driveway,050712TR2819.cor,1,1,MS4,1331,233655.0,1105.113,1.8,1.1,,559952.331,2213689.001,431,F
5071232,CMP,circular,12,,no,Plugged,,12/07/2005,12:55:47pm,3.5,1.7,Postprocessed Code,GeoXT,12/07/2005,12:55:47pm,New,Driveway,050712TR2819.cor,2,2,MS4,1331,233760.0,1101.939,2.1,1.1,1.223112,559870.352,2213661.918,432,F
5071236,CMP,circular,12,,no,Plugged,,12/07/2005,01:08:40pm,3.3,1.6,Postprocessed Code,GeoXT,12/07/2005,01:08:42pm,New,Driveway,050712TR2819.cor,1,1,MS4,1331,234535.0,1125.517,1.8,1.2,,559195.031,2213046.199,436,F
