col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
Kappler C.J.,,[No title available],1904,Indian Affairs: Laws and Treaties,,,,,,,142,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-0003821643
Schambach F.F.,,Some new interpretations of Spiroan culture history,1993,Archaeology of Eastern North America: Papers in Honor of Stephen Williams,,,,187.0,230.0,,12,,,[No abstract available],,,,,,,Scopus,2-s2.0-0141700007
Schambach F.F.,,"Spiro and the Tunica: A New Interpretation of the Role of the Tunica in the Culture History of the Southeast and the Southern Plains, A.D. 1100-1750",1999,Arkansas Archaeology: Essays in Honor of Dan and Phyllis Morse,,,,169.0,224.0,,10,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-0141811430
Daniel Rogers J.,43861219200;,Stable isotope analysis and diet in eastern Oklahoma,2011,Southeastern Archaeology,30.0,1.0,,96.0,107.0,,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959946117&partnerID=40&md5=befc5769bc29215b2d4e0f651f62324e,"Over the last three decades, significant quantitative information on prehistoric diets has come to light from a variety of locations in the Caddoan archaeological area, a region encompassing eastern Oklahoma, western Arkansas, northeast Texas, and northwest Louisiana. Most of this research is based on macro-botanical and faunal remains analysis. As an additional line of evidence for the growing body of botanical and faunal data, stable carbon and nitrogen isotopes in bone collagen were analyzed from 82 human and faunal samples from the Arkansas basin and Ozark Highlands in eastern Oklahoma. The research investigates the role of maize in diets through time and across sex and status dimensions. Spanning six phases, within the time range 300 B.C. to A.D. 1650, mean δ13C values increase from -19.2 to -12.7 parts per million (%o). Although present prior to A.D. 1000 substantial increases in the use of maize do not begin until the Harlan phase (A.D. 1050-1250). Even with increased use, maize never dominates the diet to the extent seen in Mississippian period sites farther east.",,archaeological evidence; diet; fauna; isotopic analysis; stable isotope; Arkansas; Louisiana; Oklahoma [United States]; Texas; United States; Zea mays,,Article,Final,,Scopus,2-s2.0-79959946117
Schambach F.L.,,Spiroan Entrepots at and beyond the Western Border of the Trans-Mississippi South,1993,Caddoan Archeology Newsletter,4.0,2.0,,11.0,26.0,,5,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-33748347638
Alex D.K.,,The first conference on the caddoan archaeological area,1947,American Antiquity,12.0,,,198.0,207.0,,4,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-69549094655
Brooks R.L.,,Analyzing the Arkansas River caddoan cultural landscape,2010,Caddo Archeology Journal,20.0,,,31.0,51.0,,3,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-84857080933
Wyckoff D.G.,6602616871;,Intertwined legacies: The Wichita and Dr. Robert E. Bell,2008,Plains Anthropologist,53.0,208.0,,377.0,380.0,,3,10.1179/pan.2008.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58249115015&doi=10.1179%2fpan.2008.027&partnerID=40&md5=11788aa47e3b8f74776e0c36f722fe71,[No abstract available],,,,Article,Final,,Scopus,2-s2.0-58249115015
Schambach F.F.,,Continuing the discussion of the spiroans and their entrepots: A reply to brooks's critique of my new paradigm for the archeology of the arkansas valley,1997,Caddoan Archeology,7.0,,,17.0,46.0,,3,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-33748346787
[No author name available],[No author id available],"An earspool from near ada, pontotoc county, oklahoma?",2011,Caddo Archaeology Journal,21.0,,,163.0,167.0,,2,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-84857074557
"Brooks R.L., Cox J.E.",8900061300;54992816300;,The Allcorn (34ML1) and Nagle (340K4) sites in central Oklahoma and their relationships to the Arkansas River Caddoan area,2011,Plains Anthropologist,56.0,218.0,,121.0,141.0,,2,10.1179/pan.2011.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857075929&doi=10.1179%2fpan.2011.012&partnerID=40&md5=9431068d657cf1f5258df063d3f08b89,"Fronto-occipital cranial deformation on human remains and prestigious funerary objects at the Nagle (340K4) and Allcorn (34ML1) sites attest to the presence of Arkansas River basin Caddoans in central Oklahoma. Reexamination of the data from Nagle reaffirms that this was principally a cemetery from a currently unidentified village, whereas previously unanalyzed materials from the Allcorn site suggest that this was a Caddoan village with associated cemetery. Radiocarbon dates from the Nagle site and relative dating of diagnostic materials from Allcorn suggest an occupation around A.D. 1200, toward the end of the Harlan phase or perhaps the beginning of the Norman phase. More in-depth analysis of materials from the two sites as well as surrounding Plains Village settlements do not support a previous argument that Arkansas River basin Caddoans in central Oklahoma were traders. It is argued that the presence of these Caddoan people was probably more related to religious and political practices. Final comments address the complexity of their living on what represented the western periphery of the Caddoan area.",Plains/Caddoan interaction; Prestige goods; Religious/political migration,,,Article,Final,,Scopus,2-s2.0-84857075929
[No author name available],[No author id available],The pickett switch site (34PN1) and the presence of Arkansas River Basin Caddoans in East Central Oklahoma,2012,Caddo Archeology Journal,22.0,,,77.0,95.0,,1,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-84864244337
Perttula T.K.,,A caddo archeology map,2012,Caddo Archeology Journal,22.0,,,17.0,20.0,,1,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-84864223424
"Brooks R.L., Cox J.E.",,The allcorn site and its relationship to the Arkansas River Basin Caddoan Area,2010,Oklahoma Anthropological Society Bulletin,58.0,,,25.0,46.0,,1,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-84864263350
[No author name available],[No author id available],[No title available],1963,"Indian Affairs: Laws and Treaties, Vol. VII, Laws",28.0,,,,,,1,,,[No abstract available],,,,,Final,,Scopus,2-s2.0-84864273625
