col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25
activity_id,fields.libraryscreening,activity,,fields.activity/activity_id,,0,,True,Activity ID,Activity ID,True,,,[d],,string,link,{ 'hrefTemplate': ',,,,,,,
date_of_activity,fields.libraryscreening,activity,,fields.activity/date_of_activity,,1,,True,Date the activity was performed,Date Performed,True,,,[l;d],[c;u],date,link,{ 'hrefTemplate': ',,,,,,,
type,fields.libraryscreening,activity,,fields.activity/type,,3,Note: read only for library screening,True,Type,Type,True,,activity.type.screening,[l;d],[],string,link,{ 'hrefTemplate': ',,,,,,,
classification,fields.libraryscreening,activity,,fields.activity/classification,,101,Note: read only for library screening,True,Class,Activity Class,True,,activity.class,[],[],string,,,select,,,FALSE,,,
serviced_user,fields.libraryscreening,activity,,fields.activity/serviced_user,,102,Note: not used for library screening,,User the service activity was performed for,Serviced User,True,,,[],[],,,,,,,,,,
funding_support,fields.libraryscreening,custom,,,,101,"Note: hide for Library Screening, uses screen_funding_supports",True,Funding support,Funding Support,True,,,[],,,,,,,,,,,
number_of_replicates,fields.libraryscreening,screening,,,,21,,True,Number of replicates,Replicates,True,,,[l;d;e],[c;u],integer,,{ 'hrefTemplate': ',,,,,,,
volume_transferred_per_well_to_assay_plates,fields.libraryscreening,screening,,,,22,,True,Volume transferred per replicate,Volume Transferred per Replicate,True,,,[l;d;e],[c;u],decimal,siunit,"{ 'decimals': 1, 'multiplier': 1, 'symbol': 'L' , 'defaultUnit': 1e-9, 'maxunit': 1e-6, 'minunit': 1e-9, 'widthClass': 'col-sm-2'  }",,,,,,0.0,
volume_transferred_per_well_from_library_plates,fields.libraryscreening,lab_activity,,,,23,,True,Total volume transferred per well from library plates,Total Volume Transferred per Well from Library Plates,True,,,[l;d;e],[c;u],decimal,siunit,"{ 'decimals': 1, 'multiplier': 1, 'symbol': 'L' , 'defaultUnit': 1e-9, 'maxunit': 1e-6, 'minunit': 1e-9, 'widthClass': 'col-sm-2'  }",,,,,,0.0,
is_for_external_library_plates,fields.libraryscreening,library_screening,,,,24,,True,True if for plates from an external library,External Library Plates,True,,,[l;d],[c;u],boolean,,,,,,,,,
libraries_screened_count,fields.libraryscreening,custom,,,,25,,True,Libraries screened count,Libraries Screened Count,True,,,[d],,integer,,,,,,,,,
library_plates_screened,fields.libraryscreening,custom,,,,26,,False,Library copy plates screened,Library Plates Screened,False,,,[d;e],[c;u],list,,,custom,,,,(([^:]+):)?([^:]+):(\d+)(-(\d+))?,,
library_plates_screened_count,fields.libraryscreening,custom,,,,27,,True,Library copy plates screened count,Library Plates Screened Count,True,,,[d],,integer,,,,,,,,,
screened_experimental_well_count,fields.libraryscreening,,,,,28,,True,Experimental well count,Experimental Well Count,True,,,[d],,integer,,,,,,,,,
comments,fields.libraryscreening,activity,,,,29,,True,Comments,Comments,True,,,[l;d;e],[c;u],string,,,,,,,,,
assay_protocol_type,fields.libraryscreening,screening,,,,26,Todo: deprecated,True,Protocol type,Protocol Type,True,,assayprotocol.type,,,string,,,select,,,,,,
assay_protocol_last_modified_date,fields.libraryscreening,screening,,,,27,Todo: deprecated,False,Date this assay protocol was last modified,Last Modified,False,,,,,date,,,,,,,,,
assay_protocol,fields.libraryscreening,screening,,,,28,Todo: deprecated,True,Assay protocol,Protocol,True,,,,,string,,,textarea,,,,,,
screen_facility_id,fields.libraryscreening,,,fields.activity/screen_facility_id,,7,,,,,,,,[l],[c],,,,,,,TRUE,,,
