col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
pf.33,pf.33,3A,K18v3GRNA,SC,Pfa,FieGam,33,Plasmodium falciparum,72.2,1755,3.244524512,63466,4.80254797,36.51719031,49.86134308,63.36778748,83.67945041,False,True,F,F,0.603517292
pf.34,pf.34,3B,K18v3GRNA,SC,Pfa,FieGam,34,Plasmodium falciparum,59.2,1307,3.116607744,101641,5.007073202,36.48232505,49.09436153,65.796283,89.43733336,False,True,M,M,0.53431998
pf.69,pf.69,5E,K18v3RRNA,SC,Pfa,FieRing,69,Plasmodium falciparum,43.2,770,2.887054378,220259,5.342935635,75.04392556,84.86009652,93.56167058,99.76436831,False,True,2,2,0.445014656
pf.83,pf.83,6C,K18v3GRNA,SC,Pfa,FieGam,83,Plasmodium falciparum,73.6,2009,3.303196057,152959,5.184577875,36.13451971,48.06516779,61.94535791,82.04813054,False,True,F,F,0.609841477
pf.98,pf.98,7B,K18v3GRNA,SC,Pfa,FieGam,98,Plasmodium falciparum,66.5,831,2.920123326,243607,5.386691546,55.19094279,70.73688359,86.17978958,99.30584918,False,True,2,2,0.504835716
pf.177,pf.177,12A,K18v3GRNA,SC,Pfa,FieGam,177,Plasmodium falciparum,76.3,2311,3.36398783,100652,5.002826724,31.50856416,44.11040019,57.74649287,77.14402098,False,True,F,F,0.651328426
pf.243,pf.243,4C,K18v2GRNA,SC,Pbe,FieGam,243,Plasmodium falciparum,56.0,1222,3.087426457,184723,5.266523324,32.61748672,48.42277356,67.8583609,92.75888763,False,True,M,M,0.542003161
pf.260,pf.260,5D,K18v2GRNA,SC,Pbe,FieGam,260,Plasmodium falciparum,71.4,1252,3.097951071,261919,5.418168662,36.76289234,50.81800099,68.57921724,91.53746005,False,True,M,M,0.550604913
pf.263,pf.263,5G,K18v2GRNA,SC,Pbe,FieGam,263,Plasmodium falciparum,79.0,2074,3.317018101,167696,5.224525293,30.82244061,43.0821248,57.58873199,78.75858697,False,True,F,F,0.615713012
pf.264,pf.264,5H,K18v2GRNA,SC,Pbe,FieGam,264,Plasmodium falciparum,78.1,2192,3.341038632,181388,5.258610947,31.00480737,43.77908131,57.7932388,78.48810285,False,True,F,F,0.629094094
pf.277,pf.277,6E,K18v2GRNA,SC,Pbe,FieGam,277,Plasmodium falciparum,46.3,692,2.840733235,451496,5.654654869,50.55061396,71.68945018,92.23492567,99.94086326,False,True,F,F,0.443597655
pf.280,pf.280,6H,K18v2GRNA,SC,Pbe,FieGam,280,Plasmodium falciparum,69.5,1387,3.142389466,287454,5.458569867,33.73931133,46.99291017,63.96640854,88.9756274,False,True,M,M,0.549005421
pf.338,pf.338,10B,K18v9GRNA,SC,Pbe,FieGam,338,Plasmodium falciparum,65.0,2025,3.306639441,156840,5.195459603,28.99069115,42.76651364,58.78092323,81.14384086,False,True,F,F,0.635978205
pf.340,pf.340,10D,K18v9GRNA,SC,Pbe,FieGam,340,Plasmodium falciparum,80.8,2292,3.360404055,552070,5.741994934,41.243864,53.80295977,68.4599779,86.70404115,False,True,F,F,0.628546765
pf.341,pf.341,10E,K18v9GRNA,SC,Pbe,FieGam,341,Plasmodium falciparum,52.5,1294,3.112269768,598894,5.777350687,42.04066162,59.57832271,77.32353305,95.4549553,False,True,M,M,0.527542021
pf.353,pf.353,11A,K18v9GRNA,SC,Pbe,FieGam,353,Plasmodium falciparum,55.3,1185,3.074084689,259384,5.413944858,40.70605743,55.26131141,73.06233229,94.97270456,False,True,M,M,0.520124486
pf.354,pf.354,11B,K18v9GRNA,SC,Pbe,FieGam,354,Plasmodium falciparum,67.1,1844,3.26599637,126196,5.101049031,28.27902628,42.72005452,59.51218739,82.31956639,False,True,F,F,0.64202308
pf.356,pf.356,11D,K18v9GRNA,SC,Pbe,FieGam,356,Plasmodium falciparum,71.2,1926,3.284881715,103853,5.016423228,29.85566137,43.45083917,59.28764696,81.99859417,False,True,F,F,0.592769829
pf.357,pf.357,11E,K18v9GRNA,SC,Pbe,FieGam,357,Plasmodium falciparum,61.7,1241,3.094121596,367151,5.564845898,41.62837634,56.35610416,73.46759235,94.71443629,False,True,M,M,0.488515276
pf.370,pf.370,12B,K18v9GRNA,SC,Pbe,FieGam,370,Plasmodium falciparum,38.0,1323,3.121887985,59231,4.772556397,36.67842853,52.93005352,71.66855194,93.12015667,False,True,F,F,0.58048073
pf.371,pf.371,12C,K18v9GRNA,SC,Pbe,FieGam,371,Plasmodium falciparum,66.2,2159,3.334453751,188659,5.27567983,27.6355753,41.08311822,56.62173551,78.46219899,False,True,F,F,0.629679476
pf.373,pf.373,12E,K18v9GRNA,SC,Pbe,FieGam,373,Plasmodium falciparum,49.0,1266,3.102776615,164692,5.216675141,35.03388143,52.14643091,72.06482404,94.360989,False,True,M,M,0.525286269
