col0,col1
group_id,permission_id
user_id,group_id
user_id,permission_id
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
book_id,author_id
1,1
2,3
app_label,model
admin,logentry
auth,group
auth,permission
auth,user
books,author
books,book
books,publisher
contenttypes,contenttype
sessions,session
session_data,expire_date
.eJxVjDEOwjAMRe-SGUUxTkRgZOcMkR27pIASqWknxN1ppQ6wvvf-f5tEy1zS0nVKo5iLAXP4ZUz5qXUT8qB6bza3Ok8j2y2xu-321kRf1739OyjUy7omCawZEaMbIAQ3BJHI4DEiAMcs7EUBkFesdOIzczh6p4KeiSmazxf42jjR:1kaD7t:toiqSk0BwlUAA-E-2E06OHT6Z8x6FduQ0Cwy0Fbhl7w,2020-11-18 07:22:37.825486
