col0,col1,col2,col3,col4
1,HRReD7ew1Yg,2470,1,laugh
2,HRReD7ew1Yg,4410,1,laugh
3,HRReD7ew1Yg,9220,2,other
4,HRReD7ew1Yg,9460,1,laugh
5,HRReD7ew1Yg,9520,2,other
6,HRReD7ew1Yg,9580,2,other
7,HRReD7ew1Yg,1230,2,laugh
8,iQVZ-0EMeVQ,6060,2,laugh
9,iQVZ-0EMeVQ,9510,2,laugh
10,WiuzZ2JJfz0,21000,2,other
11,ML2BL29P5pk,28,2,other
12,3Aa_0OnEwXM,3,2,other
13,3Y8bje73CwQ,5050,3,other
14,3Y8bje73CwQ,21040,5,other
15,PsPNJjuIKzQ,1007,4,other
16,WIM-8DT-F_k,5002,4,other
17,2nyCpVDbhGY,242800,4,other
18,ud5PsDhhOcQ,20400,4,other
19,drzq1x0mqjo,16900,3,other
20,kGAWgItUboE,14100,3,other
21,0W-Y-HYTsA4,18023,5,laugh
22,HRReD7ew1Yg,61700,2,laugh
23,JN2SQ4m7M04,31000,2,laugh
24,CcO0RTI1a5I,60020,3,other
25,_OBlgSz8sSM,4000,4,laugh
26,zef3mDlV5e8,32900,2,laugh
27,zef3mDlV5e8,47600,2,laugh
28,tkmsWugSxHI,192000,2,laugh
29,FJ3oHpup-pk,47010,3,other
30,8RZfZ3qpAMk,21700,4,laugh
31,DVmB6u5BbfA,94900,2,laugh
32,rxmXpzcl4MI,85200,2,laugh
33,Wfxh_If7fvk,80070,2,other
34,Wfxh_If7fvk,604800,3,laugh
35,EffPnse4WQs,26700,2,laugh
36,4-94JhLEiN0,126900,4,other
37,lj3iNxZ8Dww,11100,4,other
38,rv7Bb8mV7CI,604090,4,laugh
39,moMESWIzmE8,93100,3,laugh
40,61F-k1CFbBg,0,3,laugh
41,wCF3ywukQYA,5060,3,other
42,5YGc4zOqozo,24060,2,other
43,6bVa6jn4rpE,17600,3,other
44,iQVZ-0EMeVQ,78800,2,laugh
45,0Kh_KmRPHuQ,64700,4,other
46,iQVZ-0EMeVQ,671420,2,laugh
47,bKT6fVAQZcI,90080,2,laugh
48,bKT6fVAQZcI,189100,4,laugh
49,xTnPrTUFYE8,109200,3,other
50,0Kh_KmRPHuQ,64430,3,other
51,lZwtqqKWNdM,324000,3,other
52,VIhJFjabs_8,321600,3,other
53,bAKqzAzfXKQ,181800,3,other
54,wF7B14g1iLQ,314400,4,other
55,CPxmGrgVfeY,76200,3,other
56,gMfMppm5jvY,573000,3,other
57,uH3hesncsK0,136800,2,other
58,BG0ZYS5EAio,251400,2,other
59,VNM7Z7hir_I,321600,2,other
60,XJjzCBRMaso,183000,2,other
61,lqaJrwnZMpo,19800,2,other
62,dCk6fSQ21rY,22800,3,other
63,Y-yAsuff-Fc,2361000,3,other
64,Hm8dB80PEUs,203400,4,other
65,t23AgyCT4rg,82800,3,other
66,L7o6HtX8Vg,6000,3,other
67,PFCAj22nC4U,313800,4,other
68,Z0tDxjgMB_o,0,3,other
69,P8C0kv4RUbU,0,3,other
70,W7h-Yho8EB0,124800,2,other
71,08BlTV3B4Do,9000,3,other
72,FKa6QvGk7ps,602400,3,other
73,bkbce6zc5tU,0,3,other
74,LIHwqDMgbhw,30600,2,other
75,XIWYdWBnJt0,0,3,other
76,ge-KKMs_Kog,0,3,laugh
77,f_zcphpDi6c,248400,2,laugh
78,_yu2Zl6T7F8,246000,2,laugh
79,vxBcyNI3STY,373200,3,laugh
80,qtFwSulBnmE,61200,5,laugh
81,0qxIyOFkJeY,93600,3,laugh
82,HiatFJhUcx4,258000,3,laugh
83,HiatFJhUcx4,313800,3,laugh
84,W7rJpRqK-8E,750000,3,laugh
85,Et0bG8V1cCk,445200,3,laugh
86,PnCL4_lhh7M,195000,4,laugh
87,fjsbPc_73xA,33000,3,laugh
88,Ih1YK9023ew,67040,3,laugh
89,j63O3Ndnz9Y,70000,2,laugh
90,W7rJpRqK-8E,47000,5,laugh
91,W7rJpRqK-8E,480700,5,laugh
92,w3X3r93FMFc,49000,4,laugh
93,w3X3r93FMFc,127000,6,laugh
94,w3X3r93FMFc,348000,3,laugh
95,w3X3r93FMFc,602000,3,laugh
96,-bhBxJphhtk,18000,2,laugh
97,-bhBxJphhtk,415000,3,laugh
98,_SiIXyU5qGw,72000,4,laugh
99,qZzv7YvibtU,97000,4,laugh
100,73D91p6edIE,194000,5,laugh
