col0,col1,col2,col3,col4,col5,col6
0,3,kr-vs-kp,1,class,,
1,6,letter,1,class,,
2,11,balance-scale,1,class,,
3,12,mfeat-factors,1,class,,
4,14,mfeat-fourier,1,class,,
5,15,breast-w,1,Class,,
6,16,mfeat-karhunen,1,class,,
7,18,mfeat-morphological,1,class,,
8,22,mfeat-zernike,1,class,,
9,23,cmc,1,Contraceptive_method_used,,
10,28,optdigits,1,class,,
11,29,credit-approval,1,class,,
12,31,credit-g,1,class,,
13,32,pendigits,1,class,,
14,37,diabetes,1,class,,
15,44,spambase,1,class,,
16,46,splice,1,Class,,['Instance_name']
17,50,tic-tac-toe,1,Class,,
18,54,vehicle,1,Class,,
19,151,electricity,1,class,,
20,182,satimage,1,class,,
21,188,eucalyptus,1,Utility,,
22,38,sick,1,Class,,
23,307,vowel,2,Class,,
24,300,isolet,1,class,,
25,458,analcatdata_authorship,1,Author,,
26,469,analcatdata_dmft,1,Prevention,,
27,554,mnist_784,1,class,,
28,1049,pc4,1,c,,
29,1050,pc3,1,c,,
30,1053,jm1,1,defects,,
31,1063,kc2,1,problems,,
32,1067,kc1,1,defects,,
33,1068,pc1,1,defects,,
34,1590,adult,2,class,,
35,4134,Bioresponse,1,target,,
36,1510,wdbc,1,Class,,
37,1489,phoneme,1,Class,,
38,1494,qsar-biodeg,1,Class,,
39,1497,wall-robot-navigation,1,Class,,
40,1501,semeion,1,Class,,
41,1480,ilpd,1,Class,,
42,1485,madelon,1,Class,,
43,1486,nomao,1,Class,,
44,1487,ozone-level-8hr,1,Class,,
45,1468,cnae-9,1,Class,,
46,1475,first-order-theorem-proving,1,Class,,
47,1462,banknote-authentication,1,Class,,
48,1464,blood-transfusion-service-center,1,Class,,
49,4534,PhishingWebsites,1,Result,,
50,6332,cylinder-bands,2,band_type,,"['timestamp', 'cylinder_number']"
51,1461,bank-marketing,1,Class,,
52,4538,GesturePhaseSegmentationProcessed,1,Phase,,
53,1478,har,1,Class,,
54,23381,dresses-sales,2,Class,,
55,40499,texture,1,Class,,
56,40668,connect-4,2,class,,
57,40966,MiceProtein,4,class,MouseID,"['Genotype', 'Treatment', 'Behavior']"
58,40982,steel-plates-fault,3,target,,
59,40994,climate-model-simulation-crashes,4,outcome,,"['Study', 'Run']"
60,40983,wilt,2,class,,
61,40975,car,3,class,,
62,40984,segment,3,class,,"['region.centroid.col', 'region.centroid.row', 'region.pixel.count']"
63,40979,mfeat-pixel,3,class,,
64,40996,Fashion-MNIST,1,class,,
65,41027,jungle_chess_2pcs_raw_endgame_complete,1,class,,
66,23517,numerai28.6,2,attribute_21,,
67,40923,Devnagari-Script,1,character,,
68,40927,CIFAR_10,1,class,,
69,40978,Internet-Advertisements,2,class,,
70,40670,dna,1,class,,
71,40701,churn,1,class,,
