col0,col1,col2,col3,col4,col5
Sample 1,TVF.2004.Loc4.D10.Rep1.414474,125955,soil,Alaskan fire chronosequence - Tanana Valley,QDB_1030
Sample 2,sp1565.486407,291052,marine,Metagenome and transcriptome of filtered sea water samples from mesocosms under different CO2 partial pressure. CO2 pressures were increased in multiple mesocosms and samples within each were taken during an elongated period of time.,QDB_1235
Sample 3,sp0193.486346,250350,marine,Metagenome and transcriptome of filtered sea water samples from mesocosms under different CO2 partial pressure. CO2 pressures were increased in multiple mesocosms and samples within each were taken during an elongated period of time.,QDB_1235
Sample 4,SE.20100928.GY.NF008.BC.093.a.673660,137862,marine sediment,"Jansson_Gulf_Oil_Spill_Sediments
",QDB_1197
Sample 5,E3E04.826190,131117,organismal,Bird Egg Shells from Spain,QDB_1632
Sample 6,sp1017.486420,218280,marine,Metagenome and transcriptome of filtered sea water samples from mesocosms under different CO2 partial pressure. CO2 pressures were increased in multiple mesocosms and samples within each were taken during an elongated period of time.,QDB_1235
Sample 7,ANT04.S2M1.607431,225448,marine sediment,Polluted Polar Coastal Sediments,QDB_1198
Sample 8,UQ288.591065,105828,soil,New Zealand Terrestrial Antarctic Biocomplexity survey (NZTABS),QDB_1035
Sample 9,sp0759.486364,241854,marine,Metagenome and transcriptome of filtered sea water samples from mesocosms under different CO2 partial pressure. CO2 pressures were increased in multiple mesocosms and samples within each were taken during an elongated period of time.,QDB_1235
Sample 10,nest.WY.2008.3.712186.739059,222978,organismal,Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds,QDB_1098
Sample 11,SE.20101009.GY.ALTFF002.BC.225.415346,114409,marine sediment,Gulf_Oil_Spill_Sediment,QDB_1046
Sample 12,1204BCDNA.486523,204339,ocean surface water,"Marine heterotrophic bacterial diversity and activity at time series station L4, western English Channel between 2009 and 2010",QDB_1240
Sample 13,Zambon.Leftpalm.983763,22201,human skin,Personal Genome Project,QDB_1189
Sample 14,H55Kc.735962,17778,indoor,Home Life: Factors structuring the bacterial diversity found within and between homes,QDB_1772
Sample 15,Myr.tri.Seat.4.03H10.653706,15152,gut,Convergence of gut microbiomes in myrmecophagous mammals,QDB_1056
Sample 16,10.8.12.rk.st.0800.1123130,12276,feces,Knight_ABTX_r4_comp,QDB_2045
Sample 17,EM086.441698,10931,human gut,"Composition, variability, and temporal stability of the intestinal microbiota of the elderly.",QDB_0486
Sample 18,C.3037.01.S1.405123,11435,human gut,Linking Long-Term Dietary Patterns with Gut Microbial Enterotypes,QDB_1011
Sample 19,NA.15.T0.830848,14937,Fecal sample taken from individual NA.15,"Ercolini_whole_grain_feces
",QDB_1481
Sample 20,soil1.T3U1.536591,18661,microbial 16S timeseries of corpse decomposition on sterile and untreated soil,Mouse_Decomp_Forensics_2011,QDB_0714
Sample 21,SSBE21Aug08.618423,17068,freshwater,Temperate Bog Lakes,QDB_1288
Sample 22,Turkey.Stool.983766,26289,human gut,Personal Genome Project,QDB_1189
Sample 23,TBH12Aug08.618303,33843,freshwater,Temperate Bog Lakes,QDB_1288
Sample 24,P.Dois.Rios.SB.414865,78598,marine sediment,Rio de aneiro Coastline,QDB_1039
Sample 25,H60Do.735986,2941,indoor,Home Life: Factors structuring the bacterial diversity found within and between homes,QDB_1772
Sample 26,SPM1x040108.142616,1741,Feces,The effect of diet on the human gut microbiome: a metagenomic analysis in humanized gnotobiotic mice.,QDB_0457
Sample 27,L08A095.799873,5871,rhizosphere microbiome,Diversity and heritability of the maize rhizosphere microbiome under field conditions,QDB_1792
Sample 28,F31Forr.140586,1702,right forearm,Bacterial Community Variation in Human Body Habitats Across Space and Time,QDB_0449
Sample 29,B.2004.01.S1.405609,3087,human gut,Linking Long-Term Dietary Patterns with Gut Microbial Enterotypes,QDB_1010
Sample 30,PM8x30308.142380,2067,mouse gut microbiome,The effect of diet on the human gut microbiome: a metagenomic analysis in humanized gnotobiotic mice.,QDB_0456
Sample 31,TS152.2.299097,1981,human gut,A core gut microbiome in obese and lean twins,QDB_0077
