col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
1,<E>,-,-,-,aller,-,-,+,de,en,+,~,~,~,~,~,~,~,~,~,~,~,Max va de surprise en surprise
2,s',+,-,-,assortir,-,-,+,en,Loc,~,~,~,~,~,~,~,~,~,~,~,~,Ce libraire s'assortit en livres chez ce grossiste
3,<E>,-,-,-,changer,-,+,-,de,pour,+,-,-,-,+,+,-,-,+,+,-,-,Max a changé de chapeau avec Luc
4,<E>,-,-,-,communier,-,+,-,dans,avec,+,-,+,-,-,+,-,-,+,-,-,-,Max communie avec Luc dans ses idées
5,se,+,-,-,compromettre,-,-,+,dans,avec,+,-,+,-,-,+,-,-,+,-,-,-,Max s'est compromis avec des crapules dans ce trafic
6,<E>,-,-,-,conspirer,-,+,-,contre,avec,+,-,+,-,+,-,-,-,+,-,-,-,Max conspire avec Luc contre le président
7,<E>,-,-,-,contribuer,-,+,-,à,pour,+,-,-,-,-,+,+,-,-,+,+,-,Max contribue pour dix francs à cette oeuvre
8,se,+,-,-,décharger,-,-,+,de,sur,+,-,-,-,-,+,+,-,+,-,-,-,Max se décharge de ses tâches sur Luc
9,s',+,-,-,enquérir,-,-,+,de,auprès de,~,~,~,~,~,~,~,~,~,~,~,~,Paul s'est enquis de Léa auprès de Luc
10,<E>,-,-,-,être dévolu,-,+,-,à,par,-,+,-,-,+,-,-,-,-,+,-,-,Cette mission a été dévolue à Luc par le chef
11,<E>,-,-,-,intercéder,-,+,-,pour,auprès de,+,-,-,-,+,+,+,-,+,-,-,-,Max intercède pour Léa auprès du juge
12,<E>,-,-,-,intervenir,-,-,+,pour+en faveur de,auprès de,+,-,-,-,+,+,+,-,+,-,-,-,Max intervient auprès de Max en faveur de Luc
13,<E>,-,-,-,intriguer,-,+,-,contre,auprès de,+,-,-,-,+,+,-,-,+,-,-,-,Max intrigue auprès de Luc contre Léa
14,<E>,-,-,-,jouer,-,+,-,de,auprès de,+,-,-,-,-,+,+,+,+,-,-,-,Paul joue de sa force auprès des petits
15,<E>,-,-,-,lutter,-,+,-,de,avec,+,+,+,+,-,+,-,+,+,-,-,-,Max lutte de vitesse avec Luc
16,<E>,-,-,-,marcher,-,+,-,dans,avec,+,-,+,-,-,+,-,-,+,-,-,-,Max marche avec Luc dans ce projet
17,<E>,-,-,-,mener,-,+,-,sur,par,+,-,-,-,+,-,-,-,-,+,+,-,Notre équipe mène sur l'adversaire par 3 à 0
18,<E>,-,-,-,monter,-,+,-,de,sur,~,~,~,~,~,~,~,~,~,~,~,~,Max monte de 1000 F sur son concurrent
19,<E>,-,-,-,parler,-,+,-,à,en,+,-,-,-,+,-,-,-,-,+,-,-,Max a parlé à Luc en anglais
20,<E>,-,-,-,parler,-,+,-,de,avec,+,-,+,-,+,+,-,-,+,-,-,-,Max a parlé du problème avec le chef
21,s'en,+,+,-,rapporter,-,-,+,à,pour,+,-,-,-,+,-,-,-,-,+,-,+,Max s'en rapporte à moi pour que tout soit en ordre
22,se,+,-,-,recommander,-,-,+,de,auprès de,~,~,~,~,~,~,~,~,~,~,~,~,Max se recommande de Bob auprès de Luc
23,<E>,-,-,-,répliquer,-,+,-,à,par,+,-,-,-,-,+,+,-,-,+,-,-,Max a répliqué à cette injure par une claque
24,<E>,-,-,-,répondre,-,+,-,à,par,~,~,~,~,~,~,~,~,~,~,~,~,Max a répondu à cette attaque par le mépris
25,<E>,-,-,-,rétrograder,-,+,-,de,en,~,~,~,~,~,~,~,~,~,~,~,~,Max rétrograde de 3ème en seconde
26,<E>,-,-,-,riposter,-,+,-,à,par,+,-,-,-,-,+,-,-,-,+,-,-,Max a riposté à cette attaque par une injure
27,<E>,-,-,-,rivaliser,-,+,-,de,avec,+,+,+,+,-,+,-,+,+,+,-,+,Max rivalise de générosité avec Luc
28,se,+,-,-,signaler,-,-,+,à,par,+,-,-,-,+,-,-,-,-,+,-,-,Max s'est signalé à la foule par des cris
29,<E>,-,-,-,suppléer,-,+,-,à,par,+,-,-,-,-,+,-,-,-,+,-,-,Max supplée à cette déficience par un radiateur électrique
30,ne,-,-,+,tarir,+,+,-,de,sur,+,+,-,-,-,+,-,+,+,+,-,+,Max ne tarit pas de(détails+descriptions)sur ce pays
31,<E>,-,-,-,trinquer,-,+,-,à,avec,+,-,+,-,-,+,+,-,+,-,-,-,Max a trinqué avec Luc à ce succès
32,<E>,-,-,-,venir,-,-,+,à,de,-,+,-,-,+,-,-,-,+,-,-,-,(Ce bahut+cette manie) vient à Max de sa mère
33,ne,-,-,+,vouloir,+,+,-,de,Loc,+,-,-,-,+,+,-,-,+,+,-,-,Max ne veut pas de ce bruit chez lui
