col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109
2018,3,8,31,5,2018-08-31,UA,19977,UA,N75432,2429,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1601,1559,-2.0,0.0,0.0,-1,1600-1659,17.0,1616,1756,6.0,1818,1802,-16.0,0.0,0.0,-2,1800-1859,0.0,,0.0,257.0,243.0,220.0,1.0,1605.0,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,8,31,5,2018-08-31,UA,19977,UA,N461UA,2427,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11884,1188402,31884,GEG,"Spokane, WA",WA,53,Washington,93,1932,1926,-6.0,0.0,0.0,-1,1900-1959,45.0,2011,2132,5.0,2128,2137,9.0,9.0,0.0,0,2100-2159,0.0,,0.0,236.0,251.0,201.0,1.0,1498.0,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,8,31,5,2018-08-31,UA,19977,UA,N76514,2426,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1327,1636,189.0,189.0,1.0,12,1300-1359,20.0,1656,1949,7.0,1642,1956,194.0,194.0,1.0,12,1600-1659,0.0,,0.0,135.0,140.0,113.0,1.0,846.0,4,0.0,54.0,5.0,0.0,135.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,8,31,5,2018-08-31,UA,19977,UA,N76533,2425,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,600,550,-10.0,0.0,0.0,-1,0600-0659,16.0,606,703,7.0,730,710,-20.0,0.0,0.0,-2,0700-0759,0.0,,0.0,90.0,80.0,57.0,1.0,337.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,8,31,5,2018-08-31,UA,19977,UA,N35204,2423,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,2140,2141,1.0,1.0,0.0,0,2100-2159,31.0,2212,2313,4.0,2311,2317,6.0,6.0,0.0,0,2300-2359,0.0,,0.0,91.0,96.0,61.0,1.0,447.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,8,31,5,2018-08-31,UA,19977,UA,N15751,2422,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,2015,2116,61.0,61.0,1.0,4,2000-2059,27.0,2143,28,3.0,2324,31,67.0,67.0,1.0,4,2300-2359,0.0,,0.0,129.0,135.0,105.0,1.0,733.0,3,0.0,33.0,6.0,0.0,28.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,8,31,5,2018-08-31,UA,19977,UA,N19136,2421,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,800,1230,270.0,270.0,1.0,12,0800-0859,18.0,1248,1324,7.0,912,1331,259.0,259.0,1.0,12,0900-0959,0.0,,0.0,192.0,181.0,156.0,1.0,1222.0,5,23.0,0.0,0.0,0.0,236.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,8,31,5,2018-08-31,UA,19977,UA,N485UA,2420,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11003,1100303,31003,CID,"Cedar Rapids/Iowa City, IA",IA,19,Iowa,61,1320,1326,6.0,6.0,0.0,0,1300-1359,13.0,1339,1600,4.0,1607,1604,-3.0,0.0,0.0,-1,1600-1659,0.0,,0.0,107.0,98.0,81.0,1.0,692.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,8,31,5,2018-08-31,UA,19977,UA,N411UA,2419,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1723,1936,133.0,133.0,1.0,8,1700-1759,26.0,2002,2219,9.0,2003,2228,145.0,145.0,1.0,9,2000-2059,0.0,,0.0,160.0,172.0,137.0,1.0,997.0,4,0.0,0.0,12.0,0.0,133.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,8,31,5,2018-08-31,UA,19977,UA,N404UA,2418,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1605,1605,0.0,0.0,0.0,0,1600-1659,14.0,1619,1820,8.0,1759,1828,29.0,29.0,1.0,1,1700-1759,0.0,,0.0,234.0,263.0,241.0,1.0,1482.0,6,0.0,0.0,29.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
