col0,col1,col2
60032211,University of Texas System,"60003467, 60013372, 60111532, 60023539, 60008232, 60008067, 60021976, 60009415, 60074122, 60007801, 60003212, 60019188, 60002228, 60027512, 60019421, 60031369, 60010860, 60011339, 60013847, 60008237, 60021568, 60024044, 60000325, 60031885, 60026167, 60017008, 60003241, 60012516, 60009137, 60018573, 60003415, 60015023, 60110913, 60110914, 60020948, 60023800, 60010346, 60014569, 60019495, 60018998, 60002735, 60001006, 60011933, 60009766, 60028577, 60031571, 60002707, 60002678, 60017552, 60003810, 60026695, 60092486, 60075964, 60013612, 60000323, 60031391, 60028702, 60027372, 60020751, 60007282, 60019950, 60014739, 60102360, 60017371, 60013769, 60027364, 60026200, 60009717, 60019465, 60027560, 60029744, 60032133, 60028268, 60025227, 60010135, 60007686, 60025505, 60009347, 60014398, 60030014"
60005745,University of Minnesota System,"60026963, 60015026, 60009875, 60090960, 60019707, 60022682, 60000149, 60029445, 60031617, 60000204, 60091372, 60028932, 60022372, 60015427, 60015787, 60008772, 60091342, 60001356, 60030576, 60005693, 60076934, 60017478, 60007191, 60076954, 60020255, 60090965, 60090966, 60013223, 60076825, 60013589, 60092177, 60091378"
60002337,State University of New York System,"60020273, 60082170, 60097800, 60097971, 60099757, 60027061, 60008756, 60098810, 60011073, 60014235, 60012851, 60101148, 60007595, 60025800, 60101151, 60021582, 60031856, 60028269, 60097954, 60015902, 60073784, 60018741, 60028589, 60013072, 60007645, 60029725, 60026415, 60098166, 60003544, 60002053, 60103212, 60019701, 60099768, 60023247, 60015258, 60015640, 60015845, 60018819, 60101149, 60101150, 60075193, 60030085, 60009812, 60003560, 60011666, 60097871, 60101147, 60003627, 60032083, 60075201, 60111916, 60019150, 60090009, 60101632"
60031203,University of California System,"60014567, 60094793, 60007174, 60094766, 60026175, 60009164, 60110341, 60005193, 60096549, 60096550, 60095611, 60096587, 60095612, 60098598, 60094794, 60008493, 60032012, 60025038, 60110006, 60095700, 60029392, 60094766, 60096755, 60026629, 60072522, 60013468, 60104850, 60104819, 60104820, 60026436, 60014439, 60000000, 60072478, 60114421, 60086298, 60114422, 60096498, 60114420, 60017696, 60114206, 60114314, 60003160, 60022586, 60014673, 60028407, 60023317, 60000018, 60095694, 60025834, 60114423, 60096717, 60007278, 60010861, 60030703, 60029346, 60007988, 60006322, 60082838, 60027550, 60016081, 60085729, 60003672, 60023227, 60078126, 60109559, 60102801, 60009835, 60029270, 60032655, 60005247, 60087034, 60006511, 60007783, 60020418, 60014575, 60012606, 60007781, 60032419, 60032023, 60085730, 60026999, 60001207, 60101299, 60029526, 60004268, 60030612, 60025135, 60023018, 60110665, 60003262, 60001708, 60002974, 60086300, 60018246, 60003444, 60014754, 60002582, 60023691, 60076081, 60033068, 60008261, 60002860, 60004084, 60014751, 60028203, 60029881, 60001294, 60030839, 60017805, 60033399, 60033283, 60006491, 60074643, 60004950, 60031970, 60029241, 60094746, 60020760, 60020819, 60024941, 60085982, 60004014"
60016429,The University of Tennessee System,"60028617, 60032956, 60093002, 60002804, 60020057, 60025245, 60016127, 60028296, 60002194, 60014451, 60012655, 60018156, 60016512, 60000798, 60008047, 60000417, 60029912, 60018360, 60024950, 60022833, 60003025, 60000592, 60015661, 60015574, 60030751, 60019390, 60032656, 60033164, 60011335, 60012576, 60019343"
60017717,The University of North Carolina System,"60020441, 60016280, 60011517, 60018917, 60005579, 60015564, 60032941, 60008749, 60004923, 60027175, 60076793, 60103625, 60093602, 60025111, 60005053, 60076794, 60028045, 60030945, 60016639, 60020469, 60006951, 60018474, 60028785, 60029194, 60013450, 60007289, 60017036"
60024842,University of Missouri System,"60024728, 60073939, 60016312, 60101959, 60018751, 60030417, 60006173, 60005927, 60012585, 60030454, 60073927, 60109451, 60014240, 60009341, 60006864, 60032181, 60002659, 60014045, 60004627, 60026741, 60013460, 60008953, 60011377, 60015441, 60005704, 60031665, 60006078, 60007056, 60030148, 60020359, 60022836, 60030171, 60011638, 60002201, 60017395, 60014910"
60013894,University of Massachusetts System,"60014313, 60027098, 60024063, 60009060, 60033461, 60000986, 60003999, 60027143, 60033168, 60007147, 60029319, 60016523"
60029042,University of Hawaii System,"60018101, 60026636, 60016136, 60009516, 60024412, 60001977, 60022894, 60027443, 60019537, 60014837, 60013791, 60014760, 60008308, 60018511, 60006819, 60029584, 60021761, 60000218, 60003579, 60015716, 60021013, 60010430, 60003755, 60024634, 60020867, 60001511, 60027796, 60012250, 60002807, 60017047"
60032759,Oklahoma State University System,"60025022, 60012988, 60020756, 60022564, 60003572, 60006514, 60018238, 60000535, 60009265, 60029002, 60016855, 60021502, 60000556"
