col0,col1,col2,col3,col4,col5,col6,col7,col8
int,varchar,int,int,varchar,varchar,varchar,int,varchar
cs,c,cs,cs,n,c,c,c,c
序号(CS),(C),不同ID对应不同类型材料(CS),提供的数值(CS),备注(N),物品来源，1=普通关卡，2=每日关卡，3=挑战关卡，依次类推(C),图标(C),稀有度(C),描述(C)
1,初级经验芯片,1,20,,"{{1,10101},{1,10201},{2,101},{3,1001}}",icon_exp_100,2,用以进行经验训练的初级芯片，为什么是芯片的模样大国主表示保密。
2,中级经验芯片,1,100,,"{{1,10101},{1,10201},{2,101},{3,1001}}",icon_exp_1000,3,用以进行经验训练的中级芯片，为什么是芯片的模样大国主表示保密。
3,高级经验芯片,1,500,,"{{1,10101},{1,10201},{2,101},{3,1001}}",icon_exp_5000,4,用以进行经验训练的最高级芯片，为什么是芯片的模样大国主表示保密。
4,核心晶体γ-I,2,20,,"{{1,10101},{1,10201},{2,101},{3,1001}}",icon_equip_exp_100,2,特殊处理之后可以用来小幅强化装备，原理不详。
5,核心晶体γ-II,2,100,,"{{1,10101},{1,10201},{2,101},{3,1001}}",icon_equip_exp_1000,3,特殊处理之后可以用来中幅强化装备，原理不详。
6,核心晶体γ-III,2,500,,"{{1,10101},{1,10201},{2,101},{3,1001}}",icon_equip_exp_5000,4,特殊处理之后可以用来大幅强化装备，原理不详。
7,红宝石,3,1,觉醒所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",2,4,
8,绿宝石,3,1,觉醒所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",3,4,
9,蓝宝石,3,1,觉醒所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",4,4,
10,黄宝石,3,1,觉醒所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",5,4,
11,玛瑙石,3,1,觉醒所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",1,4,
12,一级可乐,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",2,4,
13,二级可乐,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",3,4,
14,三级可乐,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",4,4,
15,四级可乐,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",5,4,
16,五级可乐,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",1,4,
17,一级雪碧,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",2,4,
18,二级雪碧,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",3,4,
19,三级雪碧,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",4,4,
20,四级雪碧,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",5,4,
21,五级雪碧,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",1,4,
22,一级芬达,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",2,4,
23,二级芬达,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",3,4,
24,三级芬达,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",4,4,
25,四级芬达,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",5,4,
26,五级芬达,4,1,星盘解锁所需材料,"{{1,10101},{1,10201},{2,101},{3,1001}}",1,4,
